 	Denovo A	Denovo B
SBS1	0.19983561306031772	0.10824723433468264
SBS2	0.0025053002290895687	0.6259560649553226
SBS3	0.4518787175788982	0.3394727920855547
SBS4	0.2719084904722733	0.15426470221003008
SBS5	0.3406881296735874	0.45369348885074356
SBS6	0.19376541925674773	0.18639556454735606
SBS7a	0.009206432828049005	0.9637950553486302
SBS7b	0.026208961903782413	0.7843663505532139
SBS7c	0.15901696039686208	0.13170526145960704
SBS7d	0.14606030750762344	0.12825049422260526
SBS8	0.3843529750882887	0.153418925331399
SBS9	0.23033386460102756	0.15892721212779792
SBS10a	0.07821637613949073	0.0444387932221757
SBS10b	0.043591657631154024	0.30589732849237905
SBS11	0.05278479745687914	0.6286166326524634
SBS12	0.19492278685850128	0.10009916294936028
SBS13	0.28434401857779457	0.08049055373916958
SBS14	0.09788995903024145	0.044779115540598324
SBS15	0.21983898225440568	0.17386204317573606
SBS16	0.15629545174303794	0.10157262110650345
SBS17a	0.07043583966471834	0.03407047321540935
SBS17b	0.03409658894815448	0.01027987596884583
SBS18	0.28602936762314546	0.1731651702379322
SBS19	0.04133026466838974	0.41095123021364377
SBS20	0.09487905540413233	0.09772737865826664
SBS21	0.1552876950008345	0.06206382522563003
SBS22	0.08988603347385782	0.04466132420221536
SBS23	0.04381943155274681	0.3915284510229926
SBS24	0.2598358539954331	0.15198373111377672
SBS25	0.29834192958965566	0.252962195812648
SBS26	0.16108130391130948	0.07828748712716282
SBS27	0.06777009910859011	0.0841127704606407
SBS28	0.06416043552154138	0.027028438667030197
SBS29	0.3468643744908986	0.12090069285995375
SBS30	0.05136286344268881	0.743687406823254
SBS31	0.146532193993549	0.4083390655345478
SBS32	0.17076866425886617	0.39181346854666244
SBS33	0.1205615795651711	0.08509233402406624
SBS34	0.08672483569495337	0.03738181896559878
SBS35	0.282653593536218	0.2668005657759338
SBS36	0.19684088080197037	0.11376997054149651
SBS37	0.23083038813425738	0.11402232126139578
SBS38	0.07589022285038016	0.05114483071143494
SBS39	0.4755699697464615	0.19825655578768098
SBS40	0.4001912530506664	0.4939557806981747
SBS41	0.27199984983264724	0.17134824642219204
SBS42	0.15442978855349643	0.301823623492515
SBS43	0.08513076580521695	0.022615057042127185
SBS44	0.15244620280544174	0.10233912160247605
SBS45	0.08290378278319432	0.03721877759706227
SBS46	0.23055357877640703	0.2050508501471533
SBS47	0.1484709942074185	0.2405427783356331
SBS48	0.02387477046352382	0.007720477949049398
SBS49	0.034260907163200294	0.011167154735037932
SBS50	0.36104976664231536	0.523943695398812
SBS51	0.11789034933388265	0.10871927585838981
SBS52	0.14243151922882413	0.050301319861755456
SBS53	0.07443911580564533	0.06801635962705699
SBS54	0.08607346471361321	0.03785736093783554
SBS55	0.07893981398939154	0.060546207530121965
SBS56	0.13383924301244488	0.0456977493323637
SBS57	0.1606196926349085	0.19781151549983567
SBS58	0.12469803739295826	0.32083692288647225
SBS59	0.06704128634659434	0.020797217365887022
SBS60	0.02904566713359935	0.013296461718276031
SBS84	0.09147966103700522	0.22405140092099773
SBS85	0.1927432416476481	0.13168615560696517
