	SBS3	SBS5	SBS40c	SBS92	SBS94
Sample1	0.26147941884708803	0.10321568151609538	0.16312355501594164	0.32150865686052527	0.15067268776034964
Sample2	0.22533553748874216	0.3383110704567123	0.05334217008921069	0.18954300271440194	0.19346821925093297
Sample3	0.2375645280224981	0.1792771179140105	0.27459876414969125	0.14880744011056815	0.15975214980323205
Sample4	0.20777450653432303	0.21235693820248389	0.10773903412269749	0.27669767561377623	0.19543184552671944
Sample5	0.11620096506435806	0.3776608584353579	0.14581123669643933	0.09510371645239075	0.265223223351454
Sample6	0.11744929858660626	0.33868564524442274	0.17956599844270915	0.18279953106519053	0.18149952666107136
Sample7	0.16695264981859678	0.23770401383293216	0.1564585644772293	0.27671813260286754	0.16216663926837413
Sample8	0.28157478803405367	0.125028892581163	0.1890250994535415	0.22827101642278055	0.17610020350846123
Sample9	0.22076924486101754	0.21584917833499326	0.12655228546762237	0.2139725994176757	0.2228566919186912
Sample10	0.15632057621325526	0.12082943524652963	0.320056399204185	0.18081878810356874	0.2219748012324613
Sample11	0.20439687535566523	0.2904483176896145	0.2367852453054387	0.07942183279390534	0.18894772885537628
Sample12	0.20786784528314786	0.22427263046647491	0.19164745701352887	0.235523574740055	0.14068849249679333
Sample13	0.26575645323048747	0.21078295857696486	0.23584681929395546	0.17512512424305834	0.112488644655534
Sample14	0.3519351606681489	0.30433386187661243	0.08864511766569698	0.15707294666907676	0.0980129131204648
Sample15	0.0	0.24068762903166965	0.24538473069926836	0.24584029601678015	0.2680873442522819
Sample16	0.25515628306782445	0.17523090239694816	0.08701057812132172	0.2150878190373072	0.2675144173765985
Sample17	0.2881960541778624	0.21882754517143588	0.09779483441484987	0.24431783504555246	0.15086373119029944
Sample18	0.22443205137573077	0.18988147517221174	0.12739610520889383	0.3013774510793742	0.15691291716378955
Sample19	0.21800533555374613	0.20254527645937737	0.21023923837468025	0.12576132952775163	0.2434488200844447
Sample20	0.3317147781987662	0.0792303172292364	0.13732557101471213	0.29419743161940726	0.15753190193787808
Sample21	0.23522739395872272	0.1306750241212745	0.22542011261940842	0.2359593519170005	0.17271811738359386
Sample22	0.27796523508519205	0.09257941959692771	0.24654434525561597	0.22756523897132525	0.15534576109093898
Sample23	0.0	0.3037483269717255	0.2479456389303999	0.23737333840987798	0.21093269568799664
Sample24	0.2655337509708177	0.15068767747490686	0.2878423423362456	0.1327658615109076	0.16317036770712215
Sample25	0.1340179606580897	0.2984916426600089	0.1416269674075408	0.18973128528700808	0.23613214398735255
Sample26	0.25925921575925426	0.19702227247629395	0.1411848343992313	0.20085297345450298	0.2016807039107175
Sample27	0.18226838792813366	0.41197385827819516	0.04835788033579179	0.10218798774756666	0.2552118857103128
Sample28	0.21969858858004906	0.10931385830082554	0.20393025853912547	0.18356094245466636	0.28349635212533364
Sample29	0.15501800997311124	0.3046911781871327	0.06971147548528714	0.2897489955678231	0.18083034078664575
Sample30	0.31254399273123845	0.24793374379248617	0.0	0.2969156299698068	0.14260663350646863
Sample31	0.29239200432901835	0.11713871819948059	0.15060879068476332	0.27585958287433254	0.1640009039124051
Sample32	0.22392400929320513	0.16995639038673338	0.1731274533768593	0.23302183013926628	0.19997031680393607
Sample33	0.29255468288883674	0.20866773216299078	0.1071254502876717	0.275315500983826	0.11633663367667486
Sample34	0.24633220461790142	0.28823721578511774	0.0	0.2041771184356479	0.26125346116133286
Sample35	0.204062745887772	0.22514899041453687	0.18021635502186256	0.16061312770448644	0.22995878097134215
Sample36	0.23227057162707201	0.09926133593090705	0.206158585300566	0.22393592505621723	0.2383735820852377
Sample37	0.15611240454690742	0.26284491427785195	0.20407553737218678	0.12559073211722127	0.2513764116858326
Sample38	0.1695345099398808	0.201821863117628	0.218461345533157	0.23600172223437177	0.17418055917496236
Sample39	0.11761367346527667	0.23608569266230092	0.2193116471397897	0.22867092240829032	0.19831806432434243
Sample40	0.0	0.31052778161882116	0.36441311766268086	0.08024299162951282	0.24481610908898518
Sample41	0.24211090440899946	0.1900686605639882	0.20811790994002663	0.14353711948301884	0.2161654056039669
Sample42	0.2333290578150066	0.20700517358009418	0.18078746576643542	0.18997925856841932	0.1888990442700445
Sample43	0.2319280981662886	0.026030615201330095	0.34075173849172885	0.2045707321112104	0.19671881602944202
Sample44	0.15865824523340974	0.2782778283383205	0.23157817831217115	0.11236315014135967	0.2191225979747389
Sample45	0.11008628320599274	0.2586103342279178	0.17044039337484007	0.1646548485930081	0.2962081405982414
Sample46	0.1941806078161469	0.04553367795316415	0.18496327182862793	0.326296576140364	0.24902586626169695
Sample47	0.2125908066770875	0.08639623797294385	0.32909566028149695	0.18485702959012595	0.18706026547834584
Sample48	0.2203031362987787	0.23550908757145053	0.12059887895297261	0.1416779614999722	0.2819109356768259
Sample49	0.21362265371393657	0.1099014046734241	0.19319202793733445	0.344221537340592	0.13906237633471288
Sample50	0.08579724235718758	0.34080165062892714	0.26114211782530095	0.08518640230312227	0.227072586885462
Sample51	0.301164822874014	0.1600436223025764	0.1409349449408726	0.22273667575237513	0.1751199341301619
Sample52	0.1997744310520482	0.1307117830373447	0.27357507057318076	0.1492153446808954	0.24672337065653097
Sample53	0.14567848278761586	0.15778484591050518	0.21874528154142914	0.27434848382110005	0.2034429059393498
Sample54	0.15338116704858074	0.22442865127975914	0.24075078986998566	0.21407737306942434	0.16736201873225004
Sample55	0.20666559342020888	0.2653942545025667	0.16338865285152976	0.1726976826104366	0.19185381661525797
Sample56	0.25387356666475586	0.3364614691348988	0.12345173224487821	0.07506070659165208	0.21115252536381504
Sample57	0.2552657345603323	0.17887619364034063	0.056831825901593865	0.2740895749402929	0.23493667095744022
Sample58	0.03053253671947517	0.1646573464361083	0.24469077149365276	0.2501603248360195	0.3099590205147442
Sample59	0.2244982788195392	0.12831795406903815	0.2110200663293703	0.28376475277338115	0.1523989480086713
Sample60	0.21771277059644858	0.2183340170093235	0.24370951878200497	0.20182938478050536	0.11841430883171764
Sample61	0.1789546045174881	0.33549688837350905	0.14005235139210448	0.1033542951226687	0.24214186059422957
Sample62	0.28996540392994774	0.08347556093309474	0.16033761775012412	0.2608129274526773	0.20540848993415617
Sample63	0.1944805746213864	0.12395694292331921	0.3027440575734106	0.19131026072530655	0.1875081641565772
Sample64	0.22201656432467368	0.21726018784810025	0.3061931905010678	0.09701108907073935	0.15751896825541908
Sample65	0.16311434244422737	0.07536059781090367	0.24180861766057943	0.34124871608142904	0.17846772600286043
Sample66	0.21790481075190943	0.19352986432717115	0.12575707781419038	0.2686952446540335	0.19411300245269572
Sample67	0.18722468027760117	0.01966445505944129	0.3743588835866782	0.292223785622161	0.12652819545411836
Sample68	0.26733341786138914	0.3068466649028329	0.08104228220989275	0.1577057417451897	0.18707189328069537
Sample69	0.14632558590013547	0.10840340635010869	0.16600457752098952	0.3189655246621422	0.2603009055666242
Sample70	0.20880577379941642	0.25508987648904946	0.12475659873615692	0.2211231400801162	0.19022461089526113
Sample71	0.19181553579714464	0.34454340970860015	0.13691977645660036	0.12944129305215527	0.19727998498549948
Sample72	0.2504746564249779	0.1286934539330391	0.10665056192389577	0.3031534326056952	0.21102789511239187
Sample73	0.15013221173376792	0.06614414821026653	0.3239474700941088	0.2932050683969202	0.1665711015649366
Sample74	0.19412911944365993	0.06921617187695372	0.3149873569162	0.20551081872645763	0.2161565330367287
Sample75	0.25338988105568977	0.20936265211567748	0.06395754359727102	0.22796665335992497	0.24532326987143677
Sample76	0.21371290650325608	0.34188298608904955	0.042792572187507386	0.2021697006258288	0.19944183459435819
Sample77	0.19132577704339374	0.3253235895900987	0.17925387572357754	0.11633645447569678	0.18776030316723333
Sample78	0.24222358988970857	0.03937923299891151	0.33321075118812715	0.2050166050908328	0.18016982083241995
Sample79	0.2899182113095747	0.15198146828756665	0.09777420063053421	0.26630794020381127	0.19401817956851333
Sample80	0.1610176101223798	0.04314700005060245	0.3838681860983531	0.2196473339985304	0.19231986973013426
Sample81	0.24711131207892	0.12391667097215184	0.18668250649908297	0.26202822320405145	0.18026128724579366
Sample82	0.3235864283144627	0.21129982051479232	0.15500490876102585	0.1715331336759304	0.13857570873378885
Sample83	0.2682787219373087	0.1389227601899566	0.17821287090484056	0.24550020925675847	0.16908543771113566
Sample84	0.2260996550943945	0.3190261382174088	0.08514643655977418	0.1958232439917722	0.1739045261366505
Sample85	0.0	0.3933622360997892	0.22526025643267192	0.17977605228080695	0.20160145518673192
