SBS3	SBS5	SBS40c	SBS92	SBS94
1	0	0	0	0
0	0	0.634615384615385	0	0.365384615384615
0	0	0.463636363636364	0	0.536363636363636
0.642857142857143	0	0	0.357142857142857	0
0	1	0	0	0
0	1	0	0	0
0.643564356435644	0	0	0.356435643564356	0
0	0	1	0	0
0	0	0	1	0
0	0.683760683760684	0	0	0.316239316239316
0.505376344086022	0	0	0.494623655913978	0
0.597701149425287	0	0	0	0.402298850574713
0	0.494252873563218	0	0	0.505747126436782
0	0	0	0.53	0.47
0	0	1	0	0
0	0	1	0	0
0	0	1	0	0
0	1	0	0	0
0	0	0	0.574074074074074	0.425925925925926
0	0.43	0	0	0.57
0	0	0	1	0
0.552380952380952	0	0	0.447619047619048	0
0	1	0	0	0
0.646551724137931	0	0	0	0.353448275862069
0	0	0	0.386138613861386	0.613861386138614
0	0	1	0	0
0	0	1	0	0
0	0	0.721153846153846	0	0.278846153846154
0	1	0	0	0
0	0.679245283018868	0	0	0.320754716981132
0	1	0	0	0
0.272727272727273	0	0	0.337662337662338	0.38961038961039
0	0	1	0	0
0	0.618556701030928	0	0	0.381443298969072
0	0	1	0	0
0	1	0	0	0
0.45	0	0	0.55	0
0	0	1	0	0
0	0	0.645833333333333	0	0.354166666666667
0	0	0	1	0
0	0	1	0	0
1	0	0	0	0
0	0	1	0	0
0	0	0.540816326530612	0	0.459183673469388
0	0	0.409090909090909	0	0.590909090909091
0	0	0	0.510416666666667	0.489583333333333
0.465346534653465	0	0	0.534653465346535	0
0	0	1	0	0
0	0	0.684210526315789	0	0.315789473684211
0	0	0.669724770642202	0	0.330275229357798
0	0.523255813953488	0	0	0.476744186046512
0.237113402061856	0	0	0.371134020618557	0.391752577319588
0	0	1	0	0
0	0	0.721153846153846	0	0.278846153846154
0	0	1	0	0
1	0	0	0	0
0.512396694214876	0	0.487603305785124	0	0
0	0	0.625	0	0.375
0	0.707865168539326	0	0	0.292134831460674
0	0	0.660550458715596	0	0.339449541284404
0	0	0.675675675675676	0	0.324324324324324
0	0	1	0	0
0	0	1	0	0
0.608695652173913	0	0	0	0.391304347826087
0.65625	0	0	0.34375	0
0	0.712328767123288	0	0	0.287671232876712
0	0	0	0.722222222222222	0.277777777777778
0.697916666666667	0	0	0.302083333333333	0
0	0	0.71	0	0.29
0	0.618556701030928	0	0	0.381443298969072
0	0	0	0.414414414414414	0.585585585585586
0	1	0	0	0
0	0	0.585365853658537	0	0.414634146341463
0.706422018348624	0	0	0.293577981651376	0
0	1	0	0	0
0.5	0	0	0.5	0
1	0	0	0	0
0	1	0	0	0
0	1	0	0	0
0	0	0	0.614457831325301	0.385542168674699
0	0.457446808510638	0	0	0.542553191489362
0	0.695652173913043	0	0	0.304347826086957
0	0	0.720430107526882	0	0.279569892473118
0.458333333333333	0	0	0.541666666666667	0
0.303921568627451	0	0	0.313725490196078	0.382352941176471
0	0	0.702702702702703	0	0.297297297297297
0.181818181818182	0.434343434343434	0	0	0.383838383838384
0	0	0.69811320754717	0	0.30188679245283
0.608695652173913	0.391304347826087	0	0	0
0	1	0	0	0
0	1	0	0	0
0	0	1	0	0
0	0	1	0	0
0.571428571428571	0	0	0.428571428571429	0
0	0	0	1	0
0	1	0	0	0
0	0.675675675675676	0	0	0.324324324324324
0	0	0	1	0
0	0.458333333333333	0	0	0.541666666666667
0	0.682352941176471	0	0	0.317647058823529
