	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS18	SBS19	SBS20	SBS21	SBS22a	SBS22b	SBS23	SBS24	SBS25	SBS26	SBS27	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS44	SBS45	SBS46	SBS47	SBS50	SBS51	SBS53	SBS54	SBS56	SBS57	SBS58	SBS59	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS98	SBS99
Sample1	0.0	0.0	0.08901535499165038	0.0	0.1092298245745417	0.0	0.0	0.0	0.0	0.0	0.06667898546342227	0.0	0.0	0.0	0.0	0.0	0.0	0.033820827181533765	0.026638696690693065	0.0	0.0	0.047439589124190634	0.0	0.0	0.018929454080243928	0.005123614819609192	0.0	0.013529470242531018	0.0	0.027366789493796964	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034774543317594525	0.016693591111187758	0.033388260873503266	0.0	0.0	0.14031822358890558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007655554765616571	0.0	0.0	0.0	0.0	0.0	0.0	0.0026509384709693115	0.0	0.0	0.0	0.0	0.154695068091162	0.0	0.134422598658041	0.0	0.0012207947898733495	0.009299569732313105	0.0	0.02710824993862081
Sample2	0.0	0.0	0.07036749919003406	0.0	0.1493517371253471	0.0	0.0	0.0	0.0	0.0	0.032447753072679594	0.0	0.0	0.0	0.0	0.0	0.0	0.07793749363119964	0.0	0.0	0.0	0.0	0.00979743587918339	0.0	0.0	0.0	0.0026852636457350694	0.0	0.0	0.0	0.0	0.02475235994945441	0.0	0.0	0.0	0.0	0.023652858486158126	0.025464867964149845	0.0	0.0	0.0	0.0	0.0	0.0	0.04403380814740885	0.0	0.0	0.04182750503018218	0.0	0.0	0.0	0.0	0.0	0.0	0.03455893440633771	0.0	0.0	0.0	0.0	0.0	0.0	0.01623521104044915	0.01441028249288056	0.0	0.0	0.0	0.03458200995553604	0.0	0.0	0.1670072705265329	0.02473707445335551	0.17825702079117817	0.0	0.019329403956832247	0.0	0.0	0.00856421025536544
Sample3	0.0	0.0	0.1370988198265225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02422485495119511	0.0	0.0	0.0	0.0	0.0	0.0	0.005166713477416495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021904615760567583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025392961198430285	0.025108579747826126	0.0	0.0	0.0	0.0	0.0	0.0	0.008732129578976126	0.0	0.0	0.20108086964634472	0.0	0.0	0.0	0.03129969104234382	0.0	0.0	0.0	0.0	0.0	0.0348036927489996	0.0	0.0	0.051152256958945	0.0	0.0	0.0	0.03312939124459525	0.0	0.0689974847418469	0.06359662710653385	0.0	0.17009664423614823	0.0	0.07417250673827198	0.0	0.0081050283766041	0.0	0.015937132618432465	0.0
Sample4	0.0	0.0	0.10098465624802509	0.0	0.1804452600506717	0.0	0.0	0.0	0.0	0.0	0.029160312977355128	0.0	0.0	0.0	0.0	0.0	0.0	0.003234516092691387	0.0	0.0	0.0	0.043027742270140085	0.013236658416045034	0.0	0.0	0.0	0.0	0.01179167769572215	0.0	0.0	0.0	0.0	0.034504790733039144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0880991288463429	0.0	0.0	0.0	0.002811668756971569	0.0	0.0	0.0	0.0	0.0	0.009414077071000313	0.0	0.0	0.010869690271298638	0.0	0.0	0.0	0.03081263519229705	0.0	0.0	0.03376408637242602	0.0	0.18532504740429423	0.0	0.20587719115599482	0.0	0.0	0.016640860445684722	0.0	0.0
Sample5	0.0	0.0	0.014194451162036398	0.0	0.048926654717985255	0.0	0.04192930612136558	0.0	0.0	0.028972258414717244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05438230308156948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0008980108448181752	0.0	0.0	0.014083052796145983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1035857321753973	0.0678273419994346	0.0	0.055044345690103115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008247002297465212	0.041410834395180514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029752366728178423	0.0	0.11729479431774575	0.0	0.2804864940180633	0.0	0.0754477642540227	0.011472447164533734	0.006044839821237283	0.0
Sample6	0.0	0.0	0.059308308206388355	0.011965952727126918	0.17825209058798744	0.0	0.0	0.027619540282890025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07241197882897756	0.012859909789058434	0.0	0.0	0.0	0.0	0.023833127762900308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.022512269747413827	0.03667293579567257	0.031585616679994905	0.0	0.0	0.0	0.0	0.06657916808081965	0.0	0.023927850375151005	0.0	0.02241522961527604	0.07540449313105958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011417971197186605	0.010895827588625858	0.0	0.0	0.0	0.0	0.0	0.0	0.011707702876329057	0.0	0.0	0.0	0.0	0.11153779199269659	0.0	0.1806882884756943	0.0	0.008403946258751259	0.0	0.0	0.0
Sample7	0.0	0.0	0.002725735496402485	0.050009196095450736	0.005078769977577392	0.0	0.0	0.04976513085820502	0.0	0.0	0.07542853752695523	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08460407345212782	0.0	0.0	0.013689676366522118	0.0	0.0	0.0	0.0	0.010530755169214846	0.020387197479387276	0.0	0.06588493912999363	0.0	0.0	0.0	0.0	0.03379409254523589	0.0	0.0	0.039703006049299876	0.0	0.07037596428541242	0.0	0.043221919656570754	0.0	0.0	0.100560595154388	0.0	0.025022623940402926	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024731179658105836	0.0	0.0	0.0	0.0	0.025635237942535877	0.0	0.010252185066673821	0.0	0.0	0.04769743840185704	0.0	0.1072949860956568	0.0	0.08508888626273234	0.0	0.0030556395570366796	0.005462233832255322	0.0	0.0
Sample8	0.0	0.0	0.165264974468343	0.002795624514032643	0.06417955714938074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07877680204603235	0.02374618488144142	0.0	0.022282862131422783	0.0	0.0	0.018315864054252538	0.0	0.0	0.0	0.0	0.010255844281534223	0.0	0.0	0.0	0.012224329101932179	0.0	0.0	0.0	0.020443196168739533	0.0	0.016303588926681534	0.0	0.0	0.08808043670164054	0.008203950301692058	0.08247044555125711	0.0	0.03342167231826624	0.0	0.026305422685428147	0.0	0.0	0.01790682667773479	0.0	0.0	0.027038224863890698	0.0	0.0	0.0	0.0	0.0	0.0	0.024161897660976414	0.0	0.0	0.0050741481267787564	0.0	0.11618909768530142	0.0	0.11692173007623892	0.0	0.0	0.0	0.0	0.019637319627001985
Sample9	0.0	0.0	0.06985055447377235	0.0	0.08091409278601897	0.0	0.0	0.0418146017449737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05484617440441058	0.011148005020826381	0.0	0.0	0.033796017031185795	0.016908704580119976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04288396873573871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07581158755659037	0.0	0.007824644352835714	0.10594968881126957	0.0	0.0	0.0	0.0055681709466310686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013501335773098144	0.027575562316767756	0.0	0.1177270968398877	0.0	0.21174775585845781	0.0	0.04621068821240571	0.02778236830697257	0.0	0.00813898224803716
Sample10	0.0	0.0	0.0	0.018275563126775668	0.10955222997082262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030251916576663204	0.04055796966341924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014165163123894396	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03475448034122055	0.0	0.0	0.06629125142041438	0.0	0.0	0.013419717296943173	0.07608413559481952	0.0	0.02546749301527655	0.1794603970614175	0.0	0.0	0.0	0.007036064997073208	0.0	0.0	0.0	0.0	0.0	0.03103847816261087	0.0	0.0	0.0	0.0	0.0009658940014293215	0.0	0.012711347058326244	0.0	0.0	0.0	0.0	0.12162225285403991	0.0	0.16727349943887995	0.0	0.0	0.030634706846059588	0.0	0.020437439449914097
