"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS10c"	"SBS10d"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22a"	"SBS22b"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40a"	"SBS40b"	"SBS40c"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"	"SBS86"	"SBS87"	"SBS88"	"SBS89"	"SBS90"	"SBS91"	"SBS92"	"SBS93"	"SBS94"	"SBS95"	"SBS96"	"SBS97"	"SBS98"	"SBS99"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0379254050958197	0	0	0	0	0.0115174241043727	0.0249701648548986	0	0	0	0	0.0315418824868516	0	0	0	0	0	0	0	0	0.191746824827947	0	0	0.0201305733890625	0.00120280656729162	0	0	0	0.0149651444644675	0.354556432261186	0	0	0	0	0	0	0	0.057254370388472	0.0178958201433347	0	0	0.0230262317101773	0	0.0753449921768258	0	0.0246725106833409	0.00451935191512251	0	0	0	0.0199171141665817	0	0	0	0	0	0.0443651295444831	0	0	0.0444478212197642	0	0	0	0	0	0	0	0	0
0	0	0	0.0359184951848866	0	0	0	0	0	0	0	0	0	0	0	0	0.0451723174458987	0	0	0	0	0.158788625821183	0.0707978228656768	0	0	0.0542474256922465	0.0545708546503605	0	0	0	0	0	0	0.0233285226322236	0	0	0	0	0	0.0399910583377259	0	0	0	0	0	0	0.112980495926605	0	0	0	0	0	0	0	0.0969390144420146	0.059027698585362	0	0	0	0	0	0	0	0.0814935526641534	0.016639027663316	0	0	0.00190289325795923	0	0.0156828122285523	0	0	0	0.0011179173653492	0	0	0	0	0	0	0.0661550933299888	0	0	0.00305570220053398	0	0.0621906697059636
0	0.00247852925962317	0	0	0	0	0	0	0	0.00453000389531225	0	0	0	0	0	0	0	0.0264241974739242	0	0.048943576472831	0	0	0.00978117359057053	0	0	0.0155274703902542	0.0388494290163856	0	0	0	0	0	0	0	0	0.00621368441063022	0	0	0	0.102230279248889	0	0	0.080669014232707	0	0	0	0.0331646749738239	0	0	0	0	0	0.0236046684336898	0	0	0	0	0	0	0	0	0	0	0.0472954024894863	0	0	0.00447789594760884	0	0	0.00850822722378445	0	0	0	0	0.0364321618229714	0	0	0	0	0	0.362138521044959	0	0.128044952285746	0.0206861377868037	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412336915570307	0.0304809329519708	0	0	0	0.0206944271384341	0	0	0	0	0	0	0	0	0	0	0	0	0.0689529883241259	0	0.0581997190995931	0.142341715141005	0.0170578628180435	0	0.00858158233300495	0	0.000777129315458546	0	0.0286619130552865	0.0974861480139246	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325137548463576	0	0.126917151733129	0.048272219934505	0	0	0	0.00216083521835459	0.00672087008270892	0	0	0	0	0.0338310898672744	0	0.0702877202569972	0	0	0.100942702140623	0.0599054406309127	0	0	0	0.00398010554126074	0	0
0.011289328023913	0	0	0	0	0	0.0890485590012541	0	0	0	0	0	0.0113388233563378	0	0	0	0	0.0869414948707004	0	0	0	0	0	0	0	0.0158305736661425	0	0.0425625336780658	0.0391437461985399	0	0	0.0387339429092595	0	0	0	0	0	0	0.0607814881882308	0.0746275855972505	0	0	0.0435629201545095	0	0.115611610000255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000496467245803603	0.0181845683452075	0	0.00996969028090652	0	0	0	0	0	0	0	0	0	0.124756820256092	0.0770601909119754	0.0107270234804388	0	0	0	0.0563092266588164	0	0.0730234071763015	0	0	0
0	0	0	0	0	0	0	0	0	0.0232183509704847	0.0620676813808425	0	0.00541705567992723	0	0	0	0	0.250933741839159	0	0	0	0	0	0	0	0	0	0	0.0124836900351864	0	0	0	0	0	0.00458993517195073	0.00582650251378671	0	0	0.0446554457468518	0	0	0.0217532739607966	0	0	0	0	0.0964527364862142	0	0	0	0	0.151375365586883	0	0	0	0	0	0	0	0	0	0	0	0.0247025778472994	0.0146087814152362	0	0	0	0	0	0	0	0	0	0	0	0	0.0164684244799029	0.146268223800653	0	0	0	0.0448777359364303	0.0241965487976852	0.0267439819536294	0.0233599463970805
0	0	0	0	0	0	0.00809561921403479	0	0.0606144554414921	0	0	0	0.0098639523402703	0.0275407158214213	0	0	0.00583219313515847	0	0.0179380513484143	0	0	0.0711545148548316	0.0259356741482973	0.0281169191137	0	0.0192930181372981	0	0	0	0	0.0240021353992929	0	0	0	0	0.00348016402222748	0	0	0.204189711863761	0	0.0212233934696824	0.00243466389937094	0	0	0.0306793080460006	0	0	0	0	0	0	0.0249127002700198	0	0	0	0	0	0	0.00376163288453731	0.0644347734531366	0	0	0	0.018094480127964	0	0	0.00515275904232702	0.0346695331713769	0.00256234443082751	0	0	0	0.120522259202191	0.0178461380646665	0	0	0	0	0	0	0.147648889097699	0	0	0	0	0
0	0	0	0.0679688655415068	0	0	0.0310033033995765	0.0188469481150994	0.07141795350967	0.00888595142760738	0	0	0	0	0	0	0	0	0	0	0	2.30469512380961e-05	0	0.0015710666484612	0	0.00610341013145519	0.0844049084620723	0	0	0.122507838863588	0	0.0174964306378828	0	0	0.0123360284889839	0.0383147019463256	0.0127995656280791	0	0	0.124209396278159	0	0	0	0	0	0	0.0911123423780459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.156603308963995	0	0	0	0	0	0	0	0	0	0	0	0	0.0213381113368717	0	0.0173403788801321	0	0	0	0.0681534558591468	0.00562463270666142	0	0.0219383538454427
0	0	0	0	0	0	0	0.00487375296675546	0	0.0178225881282232	0	0	0	0.00537736541937569	0	0	0	0.0814706154285184	0.015800101371461	0	0.0487311388897311	0.223622411097757	0	0.00570764937096964	0	0.100096814187	0.00126768848646782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0915016881043816	0	0	0	0	0	0	0	0	0.0825122318816573	0	0	0	0	0	0.0100248007152588	0.00944861012467804	0	0	0	0	0.0414126296579946	0	0	0.00614197876968024	0	0.0236062894508784	0.0109742127235568	0.0418376284740705	0.00454235019456436	0.0106217169262612	0	0.0495211991212489	0	0	0	0	0	0.0157738312113089	0	0	0.0973107072982003	0	0
0	0.00597409091304853	0	0	0	0	0	0	0.0503540061895635	0.000552558122797681	0	0	0	0	0	0	0	0	0	0	0	0.0682384611947446	0.0249292125604523	0.00295956448308757	0	0	0	0	0	0	0	0.0504042636992445	0.105940058326983	0.0437761145223429	0	0	0	0.00360905662140732	0.0082074806408127	0.0329805612203602	0	0	0	0	0	0.0778796494862437	0	0	0.0972225590610261	0	0	0.0301648253444355	0	0.0460787545813898	0	0	0	0.00709520655791519	0	0	0	0	0.00875911413353852	0.0215794882759593	0.00208358919320366	0	0.106745005134645	0	0.00197097840047902	0	0.0330402613928231	0	0.0686701399277371	0	0.026848003687989	0	0	0	0.0685001963210197	0	0	0	0	0.00543680000675064	0	0
