	SBS3	SBS4	SBS5	SBS8	SBS9	SBS12	SBS25	SBS26	SBS29	SBS35	SBS37	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS44	SBS46	SBS89	SBS92	SBS93	SBS94	SBS95	SBS96	SBS98	SBS99
Sample1	0.0	0.0	0.2334944451061484	0.0	0.0	0.0	0.07139683610031791	0.0	0.0	0.0	0.0	0.20944546834113076	0.0	0.0	0.22079578311062886	0.0	0.0	0.0	0.0	0.0	0.0	0.21850911553807534	0.0	0.0	0.0	0.04635835180369858
Sample2	0.2751188848088929	0.006910840162325077	0.029485458548066702	0.0	0.0	0.0	0.0	0.026923820885690855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04569774429717793	0.19209495063807042	0.01150662345759835	0.20099980443883572	0.0	0.1620475895394499	0.0	0.0	0.0	0.049214283223892
Sample3	0.0	0.011369565595297058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03445881278905256	0.0	0.0	0.0	0.08014110938287947	0.1654612530233655	0.0	0.0	0.01752198439073057	0.09787624495657507	0.0	0.0	0.45739609797547726	0.0	0.1357749318866224	0.0	0.0
Sample4	0.12596439877284207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0564518971877782	0.0	0.0	0.018006084798354357	0.06134001156241658	0.0	0.0	0.0227916803272367	0.3992485020187222	0.09244433145107901	0.18827645073807664	0.0	0.0	0.03547664314349438	0.0
Sample5	0.0	0.0	0.0	0.0	0.0	0.16822977528839594	0.0	0.0	0.0	0.08809921144382618	0.07883694804867585	0.0	0.4154668498875525	0.0	0.0	0.0	0.0	0.0	0.0	0.02330665805921034	0.0	0.025848454799609833	0.0	0.20021210247272941	0.0	0.0
Sample6	0.0	0.0	0.0	0.1327976826507865	0.0	0.17700248271512856	0.0	0.0	0.0	0.0	0.0	0.07785833230453636	0.038208519889913826	0.0	0.0	0.0	0.0	0.0	0.0	0.33348833743339995	0.0	0.0	0.0	0.09709837371467395	0.0278649007808306	0.11568137051073031
Sample7	0.0	0.0	0.4024777676916716	0.0	0.0	0.0	0.0	0.0	0.0	0.14026785691887497	0.0	0.10288753310791394	0.0	0.0	0.07748357848866719	0.05113071024794664	0.0	0.0	0.0	0.06916076038055284	0.0	0.15659179316437277	0.0	0.0	0.0	0.0
Sample8	0.0	0.13443757948517548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012750108821132061	0.0	0.0	0.0	0.003721020191950177	0.6467171542285052	0.07175667026646353	0.0	0.0	0.12063162854736065	0.0	0.0	0.0	0.0	0.0	0.0	0.00998583845941269
Sample9	0.0	0.0	0.26144431504803767	0.0	0.0	0.0	0.0	0.0	0.0	0.11816324291796707	0.05444650317037304	0.0	0.0	0.0	0.0	0.0	0.07541884833317627	0.0	0.0	0.490527090530446	0.0	0.0	0.0	0.0	0.0	0.0
Sample10	0.0	0.0	0.04259878773588464	0.0	0.038887983237228474	0.0	0.108414553175983	0.008228097760554168	0.0	0.0	0.0	0.07943263195867221	0.0	0.193182311072743	0.0	0.0	0.09112811014904011	0.043493566442864166	0.0	0.1832023704615242	0.0	0.21143158800550607	0.0	0.0	0.0	0.0
