	SBS2	SBS3	SBS4	SBS5	SBS7a	SBS7b	SBS7c	SBS8	SBS9	SBS11	SBS12	SBS16	SBS19	SBS20	SBS23	SBS24	SBS25	SBS26	SBS29	SBS31	SBS32	SBS35	SBS37	SBS38	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS42	SBS44	SBS45	SBS46	SBS50	SBS53	SBS58	SBS84	SBS87	SBS89	SBS92	SBS93	SBS94	SBS95	SBS96	SBS97	SBS98	SBS99
Sample1	0.0	0.023745181154504108	0.0	0.04078203586039148	0.0	0.0	0.0	0.03111887969343076	0.0	0.0	0.0021514272011549217	0.0	0.0	0.0	0.0	0.0	0.05557746200199145	0.07230572245045373	0.0	0.07792483582370069	0.0	0.019240812738518763	0.0	0.0	0.07557837065901381	0.0	0.03695754461429346	0.07667232903852315	0.05786020898378094	0.11347710887376808	0.01993310114629848	0.0	0.04390732207076878	0.0	0.0	0.0	0.0	0.0	0.04525519204151868	0.1015519384687972	0.0	0.10596052717909145	0.0	0.0	0.0	0.0	0.0
Sample2	0.0	0.11570472364743262	0.0	0.11068855744839357	0.0	0.0	0.01817452402780801	0.09039215328322271	0.0	0.0	0.018733181111535473	0.09393025560407638	0.0	0.0	0.0	0.0	0.0387279762672907	0.05565685780352184	0.0	0.0	0.0	0.0	0.0	0.0	0.07537711019081993	0.0	0.0	0.12019225607123842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09096290799356357	0.0	0.16736740806932562	0.0	0.004092088481771263	0.0	0.0	0.0
Sample3	0.0	0.027499147040277942	0.0	0.08754630417196203	0.0	0.0	0.0	0.08713101171812472	0.06982109976515449	0.0	0.03355428795932516	0.128903108674098	0.0	0.0	0.0	0.0	0.004321579624599246	0.017637534489793622	0.0	0.0	0.11295214369505331	0.0	0.0	0.0	0.08622713411783098	0.0	0.0	0.04293695649127942	0.0	0.0	0.0	0.0	0.0	0.0	0.03907538794468443	0.0	0.0	0.0	0.07893345867982825	0.07149381914421378	0.0	0.10114335484726751	0.0	0.0028859506490625576	0.0	0.0	0.007937720987444462
Sample4	0.0	0.09018229736001512	0.0	0.05066852686873787	0.0	0.0	0.0	0.0	0.0	0.0	0.07973364601958924	0.031687048314475615	0.0	0.051871714914779155	0.0	0.0	0.025443357905804865	0.007881601373150056	0.0	0.0	0.07429886335581502	0.0	0.03102777253286406	0.0	0.10023594883448117	0.0	0.0	0.02189609419274173	0.0	0.0	0.013437995683539442	0.0	0.03820805480039868	0.0	0.0	0.0	0.058592720471013215	0.0	0.08194359300247435	0.08807483848763552	0.0	0.13752307107926395	0.0	0.0	0.0	0.0	0.01729285480322097
Sample5	0.0	0.06496596953001205	0.057360431617082853	0.024084305956466684	0.0	0.08459619468018649	0.031197171296218438	0.04942751211337688	0.0	0.0	0.0702913442364265	0.033418905159652935	0.0	0.0	0.0	0.0	0.0	0.002622288998574637	0.0	0.010884252661806872	0.0	0.02992090497077451	0.0	0.0	0.08030051048705909	0.0	0.0	0.11621073476569137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03461702689156166	0.08952738202548723	0.0	0.16010449851109396	0.0	0.0	0.023412474569958597	0.0	0.03705809152856922
Sample6	0.0	0.0888503418511714	0.0	0.1034964274736992	0.0	0.0	0.0	0.06339506030388802	0.0	0.0	0.043313845876855196	0.0	0.0	0.0	0.0	0.0	0.06030718829408042	0.051671530008243344	0.0	0.0	0.0	0.0	0.0	0.0	0.08427473344788666	0.0	0.008913923569942339	0.11242287743446938	0.013503191619893794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000577175280962416	0.13474975331806524	0.0	0.12562018401727293	0.0	0.01222410250854429	0.06595018946983604	0.0	0.030729475525189363
Sample7	0.0	0.09225082724227782	0.0	0.07011145911001852	0.0	0.0	0.0	0.0	0.0	0.0	0.008345664878165576	0.10573026598164677	0.0	0.0	0.0	0.0	0.11245743013731133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09862773132382317	0.0	0.09102453677274501	0.06603643596168819	0.0	0.0	0.0	0.0	0.0525913112304091	0.0	0.0	0.09659665520997933	0.0	0.0	0.009205633765304071	0.1422138426439619	0.0	0.0	0.0	0.05480820574266926	0.0	0.0	0.0
Sample8	0.0	0.10288527732168586	0.0	0.05010754243437996	0.0	0.0	0.0	0.0	0.0	0.0	0.07182922780696024	0.06784394345927144	0.0	0.0	0.0	0.0	0.0	0.0754437536047448	0.0	0.0	0.0	0.0	0.0	0.0	0.05489452456236166	0.0	0.0	0.06928629448779347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08502492220477448	0.12696591529979637	0.0	0.17221449597249347	0.0	0.0	0.05014211771181441	0.0	0.07336198513392385
Sample9	0.0	0.07472293194316934	0.0	0.06362460574669117	0.0	0.0	0.00880025482944116	0.03453670776449588	0.0	0.0	0.0	0.06554808172885035	0.0	0.0	0.0	0.0	0.02799181283695952	0.024697513301898052	0.0	0.0	0.0	0.0	0.0	0.0	0.09663390725978657	0.0	0.06263431412419132	0.13290631154530277	0.03215623008540784	0.0	0.05822018777925678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15835774671852207	0.0	0.15786930082575631	0.0	0.00130009351027089	0.0	0.0	0.0
Sample10	0.0	0.007261802720980071	0.01241865331483246	0.006776731529966131	0.0	0.0	0.0	0.07705120990696611	0.0	0.0	0.0	0.05435149960903892	0.0	0.015176192234742989	0.0	0.0	0.0	0.015971164356086653	0.02128719796100271	0.0	0.10986829189947964	0.0	0.0	0.0	0.1354342316624529	0.016946919640994037	0.026710853043758465	0.07143306599832762	0.0	0.0	0.02933658079126051	0.023488820343960243	0.04014642809742917	0.0	0.0	0.0	0.0	0.0	0.025959722441973542	0.1718913790794508	0.028786282650802356	0.1097029727164946	0.0	0.0	0.0	0.0	0.0
