"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS10c"	"SBS10d"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22a"	"SBS22b"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40a"	"SBS40b"	"SBS40c"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"	"SBS86"	"SBS87"	"SBS88"	"SBS89"	"SBS90"	"SBS91"	"SBS92"	"SBS93"	"SBS94"	"SBS95"	"SBS96"	"SBS97"	"SBS98"	"SBS99"
0	0	0	0	0	0	0	0	0	0	0.0503091531316872	0	0.0413439658346382	0	0	0	0	0.208579407565243	0.0669571790829355	0	0	0	0.0297895183506736	0	0	0.135318285150017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20149184071416e-08	0	0	0	0	0	0	0	0	0	0	0.0803188628824481	0	0	0	0	0	0.0282968351497964	0	0.0244098310359392	0	0	0	0.0156490516827514	0.0363667832745868	0	0	0	0	0	0	0.282661104844365	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0253619265035589	0	0	0	0	0	0	0	0.166428596662597	0	0	0	0.022893614546512	0.0383635003544948	0	0	0.143900571780815	0	0	0	0	0	0.175381079998377	0	0	0	0	0	0	0.0430340602991814	0	0	0	0.0322351770876198	0	0	0	0	0	0	1.56916515323528e-08	0	0	0	0	0	0	0	0	0	0	0.0147974277029814	0	0	0.025697060298228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311906969073983	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243621444190702	0	0	0.245878510333362	0	0.0517701632217802	0	0.194987228523847	0.141884237853932	0.13187003622161	0	0	0	0	0	0.0263559738591075	0	0	0	0	0	0	0	0.0687917560937508	0	0	0	0.0707011241337353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0265793586157816	0	0	0	0	0.0168194667240232	0	0
0	0	0	0	0	0	0	0.0091112272931502	0	0	0.150015519160778	0	0	0	0	0	0	0	0	0	0	0.152160232851671	0	0.0217396508059468	0	0	0	0	0.0538637972558386	1.43981028688882e-08	0	0	0	0	0.018732873307658	0	0	0	0	0.0830294751732553	0	0.111389842323224	0	0	0	0.056933584042394	0	0	0	1.4801763937652e-08	0	0	0	0.113913910619776	0	0	0	0	0	0.0173973483094081	0	0	0	0.0124998765189421	0	0	0	0	0	0	0.0163433854116748	0	0	0	0	0	0	0	0	0	0	0	0.0820790962370575	0	0	0.10079015148936
0.00599767801996394	0	0	0	0	0	0	0.0637058099140694	0	0	0	0	0	0	0.0447082656796595	0	0	0	0.0837434441795175	0	0.0931568240390631	0.367897150401828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.030773734134277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0398263288075383	0	0	0	0	0	0	0.2026908974331	0.0251233592674097	0	0	0	0	0	0.0144322811167669	0	0	0	2.2032007584818e-08	0	0	0	0	0.0279442049747993	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230676291160281	0	0	0	0.0385845852738243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157927425530796	0	0	0	0	0	0	0	0	0	0	0	0.0246380301112287	0	0	0.0676033825514607	0.0487106163888653	0	0	0	0	0	0	0.0994435257040854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.332416143279459	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.0579297890897709	0	0	0	0	0	0	0.01568422483143	0	0.0485211651323883	0	0.0685766161687674	0.0549702631837457	0.0112467211933117	0	0	0	0	0.0411846662570318	0	0.0557872028083207	0	0	0	0	0	0	0	0	0	0	0.0760663289319963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0133992616828333	0	0	0.104678469423828	0.0405574182801741	0.104106182294166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307291674102628	0	1.66196069305073e-08	0	0	0	0	0
0	0	0	0	3.25664062146958e-08	0	0.0764289623027237	0	0	0.0344909582564453	0	0	0	0	0	0	0	0	0	0	0	0.227453207822697	0	0.0222270761409208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020246504175146	0	0	0	0	0.0444015608084696	0	0	0	0.203528986257187	0	0	0.159979644613734	0	0.0631534742467336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0259178927675753	0	0	0	0	0	0	0.12217170004196	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.10229387935925	0	0.0888655760260193	0.0855635538638994	0	0	0	0.214808403068812	0	0.0726034084583306	0	0.0729929518984191	0	0	0.0199489278926691	0.0962678481183431	0	0	0	0	0	0	0	0	0.037026397689994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501314642255037	0	0	2.45243316152301e-08	0.0487451633968662	0	0	0	0	0	0.0578585458194818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0528938556580795	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0544430042109527	0	0	0	0	0	0	0	0	0	0	0.0500704228009827	0	0	0	0	0	0	0	0	0	0	0	0	0.0160905046731955	0	0	0.0126988525978965	0	0	0	0	0.0922032082528783	0	0	0.0599839513747611	0	0	0.0434250223214562	0	0	0.129167222079008	0	0.250976606426017	0.240831037976138	0	0	0	0.0501101672867146	0	0
