	SBS3	SBS4	SBS5	SBS8	SBS9	SBS12	SBS25	SBS26	SBS29	SBS35	SBS37	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS44	SBS46	SBS89	SBS92	SBS93	SBS94	SBS95	SBS96	SBS98	SBS99
Sample1	0.0	0.0	0.0	0.1553678656705829	0.0	0.08766484393310413	0.0	0.0	0.0367164653584754	0.0	0.0	0.043213399778057826	0.022758940595289576	0.0	0.0	0.0	0.0	0.055912953652710505	0.0	0.422348283264171	0.0	0.17601724774760877	0.0	0.0	0.0	0.0
Sample2	0.01662815897785549	0.0	0.0	0.0	0.0	0.09959397716183435	0.0	0.0	0.029571537008903213	0.08477138552916359	0.0	0.0	0.0	0.0	0.21341302728377556	0.0	0.0	0.1048416807205923	0.0	0.0436113354202902	0.0	0.40756889789758527	0.0	0.0	0.0	0.0
Sample3	0.0	0.0	0.0	0.0	0.08649847444322019	0.0	0.0	0.03693865080105578	0.0	0.0	0.0	0.0	0.0	0.0	0.04556791503017493	0.0	0.07618805102140341	0.0	0.0	0.5748821975926638	0.0	0.17992471111148187	0.0	0.0	0.0	0.0
Sample4	0.0	0.0	0.0	0.3228109731910095	0.0	0.0	0.1673706704120542	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06118326916890567	0.15018102178535958	0.0	0.0	0.19178047255018804	0.0	0.009702459588390982	0.0	0.025451865826069134	0.0	0.07151926747802287
Sample5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.019983874309289978	0.03888932832980315	0.0	0.16877290520094615	0.0	0.0	0.11160975965860048	0.0	0.0	0.0	0.6029377161679307	0.0	0.0578064163334295	0.0	0.0	0.0	0.0
Sample6	0.0	0.03279514611824005	0.0	0.0	0.0	0.0	0.04828176918108519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19801696799235857	0.0	0.27235528342747345	0.0	0.4485508332808427	0.0	0.0	0.0	0.0
Sample7	0.0	0.0	0.0	0.0	0.0	0.10899302695627498	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038291778756590754	0.0	0.46241661777941623	0.0	0.21205996443375646	0.024154250876917548	0.15408436119704394	0.0	0.0
Sample8	0.0	0.0	0.14539496741965047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009696023976557758	0.03240919306592769	0.38347409858150544	0.015116953718651877	0.07910593395606615	0.08536478959407606	0.0	0.08825158219514696	0.16118645749241753	0.0	0.0	0.0	0.0	0.0	0.0
Sample9	0.0	0.0	0.0	0.1031559764697131	0.0	0.0	0.0	0.0	0.0	0.03265710690839967	0.0	0.07553175337466175	0.33571051613074493	0.0	0.13905504023288565	0.14241800166182872	0.0	0.14537015022169	0.0	0.0	0.0	0.026101455000076188	0.0	0.0	0.0	0.0
Sample10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033792861823598294	0.0	0.17503108604254522	0.0	0.0	0.0	0.2094045049028144	0.0	0.0	0.0	0.3989381990385509	0.18283334819249128	0.0	0.0	0.0	0.0	0.0
Sample11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33387180037707787	0.0	0.0	0.5090408352874891	0.12602633547817516	0.0	0.0	0.03106102885725786	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sample12	0.0	0.1422505472389776	0.0	0.0	0.0	0.0	0.0	0.0250891610805853	0.0	0.05431499845489263	0.12407348534725451	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02290649362585488	0.4628835650018016	0.0	0.09048327846622212	0.0	0.0	0.0	0.07799847078441137
