"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS10c"	"SBS10d"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22a"	"SBS22b"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40a"	"SBS40b"	"SBS40c"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"	"SBS86"	"SBS87"	"SBS88"	"SBS89"	"SBS90"	"SBS91"	"SBS92"	"SBS93"	"SBS94"	"SBS95"	"SBS96"	"SBS97"	"SBS98"	"SBS99"
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391676680646161	0.00531854412678241	0	0	0	0.0118898045725989	0.0281340980248223	0	0	0	0	0.0406444810731785	0	0	0	0	0	0	0	0	0.165982463509097	0	0.00062593203196471	0.0226498071063875	0	0	0	0	0.0205623285267882	0.317980686471846	0	0	0	0	0	0	0	0.0645774126516381	0.0292452598218827	0	0	0.00106390809866479	0	0.0889150374390636	0	0.0350534884619847	0.00442730791309933	0	0	0	0.012084110316973	0	0	0	0	0	0.0547493573838807	0	0	0.0237410382456308	0	0	0	0	0	0	0.00415694789160564	0	0.0290303182674949
0	0	0	0	0	0	0	0.0302071240757127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0984312168451175	0.0843276199478334	0	0	0.0657873223158307	0.0677201161425909	0	0	0	0	0	0	0.030068895850118	0	0	0	0	0	0.0244226011833846	0	0	0	0	0.00411077587283106	0	0.0792175705778759	0	0	0	0	0	0	0	0.113463537031028	0.0363743219964711	0	0	0	0	0	0	0	0.0915395009590268	0	0	0	0.040659490379921	0	0.0260343537607735	0	0	0	0.00283912570432869	0	0	0	0	0	0	0.118209475781207	0	0	0	0	0.0865869515759492
0	0	0	0	0	0	0	0	0	0.00571333247055784	0	0	0	0	0	0	0	0.0355782153416195	0	0.0341970685847733	0	0	0.0173353603486475	0	0	0.0277928234115717	0.0366707170438799	0	0	0	0	0	0	0	0	0.00341576878564981	0	0	0	0.0992880218908071	0	0	0.081030682259337	0	0	0	0.02243008711797	0	0	0	0	0	0.0209101331417478	0	0	0	0	0	0	0	0	0	0	0.0363896864746417	0	0	0.0138550361551426	0	0	0	0	0	0	0	0.0505424197741523	0	0	0	0	0	0.371434843961671	0	0.12201111691019	0.0214046863276401	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197595568538824	0	0	0	0.0248767038613429	0	0	0	0	0	0	0	0	0	0	0	0	0.0543358278483301	0	0.0557954353243606	0.157248677736162	0	0	0.0041427567670003	0	0	0	0.018848879276829	0.0973142920677429	0	0	0	0	0	0	0.0142490803401859	0	0	0	0	0	0	0.0414612341687265	0	0.128370457504084	0.0634166198033264	0	0	0	0.0130294611291998	0	0	0	0	0	0.0239838390302546	0	0.0604588262214385	0	0	0.11375659316529	0.10128583392889	0	0	0	0.00766592497295294	0	0
8.63621043554558e-05	0	0	0	0	0	0.0881273667456309	0	0	0	0	0	0.0174986411551704	0	0	0	0	0.0981632125465114	0.00506815493080053	0	0	0	0	0	0	0.0153520853046759	0	0.049124039798061	0.070058771400958	0	0	0	0	0	0	0	0	0	0.0922651027050151	0.0580724715261142	0	0	0	0	0.145487257411649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00351495520948159	0	0.0025532670388169	0.0104410583813466	0	0.028015939792152	0	0	0	0	0	0	0	0	0	0.1217834963214	0.0252850541155196	0.00514671235657073	0	0	0	0.140597267671992	0	0.023358783483778	0	0	0
0	0	0	0	0	0	0	0	0	0.00648259351430585	0.042754922086704	0	0.0106865110110378	0	0	0	0	0.26033307457564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147512248808445	0	0	0	0.0564784068289202	0	0	0.031688866374777	0	0	0.0080634780504066	0	0.0931712349311077	0	0	0	0	0.174159775901389	0	0	0	0	0	0.000500409582949837	0	0	0	0	0	0.0179918632495888	0.0268017911861404	0	0	0	0	0	0	0	0	0	0	0	0	0.0193584346331086	0.0772108546422397	0.0647858408569749	0	0	0	0.0152219525575279	0.041210024571848	0.0383487405644894
0	0	0	0	0	0	0.0154807889167342	0	0.0366181861580897	0	0	0	0.0119488648801256	0.028257683444332	0	0	0.0107954770572639	0	0.0270615608843811	0	0	0.0788848665662578	0.0231770034868171	0.0139545636984672	0	0.0197870785847837	0	0	0	0	0.0290726776900733	0	0	0	0	0.00535416713789893	0	0	0.228235874572031	0	0.0294729941060019	0.00851512533377544	0	0	0.0489290554775783	0	0	0	0	0	0	0.0244089186136448	0	0	0	0	0	0	0.00860973765593984	0.0502949544024072	0	0	0	0	0	0	0.0223422844703712	0.0461073505930641	0	0	0	0	0.106595324647199	0.0296732842691321	0	0	0	0	0	0	0.0964221773536309	0	0	0	0	0
0	0	0	0.119387410228807	0	0	0.00326912678775098	0.0461367463603964	0.0910334802098303	0.0126610187899539	0	0	0	0.000953603402314737	0	0	0	0	0	0	0	0.0240622150121389	0	0.0027941236151562	0	0.0182748568921628	0.0480034149068154	0	0.00824678674990334	0.0630687911982089	0	0.0188398548409493	0	0	0	0.0426070399167997	0	0	0	0.0922075271967209	0	0	0	0	0	0	0.0921238906290439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.166874246203554	0	0	0	0	0	0	0	0	0	0	0	0	0.0190003328342395	0	0	0	0	0	0.081478934316412	0.00270334375896561	0	0.0462732561498758
0	0.00127567921132121	0	0	0	0	0	0	0	0.0226942753144101	0	0	0	0.0103116956721077	0	0	0	0.0789124233321426	0.0208927752330472	0	0.0514200579416942	0.271205541663586	0	0.00927945616100695	0	0.0430560814886813	0.0083128062900004	0	0	0	0.0452055596271643	0	0	0	0	0	0	0	0	0	0.000564672591708377	0	0.107213088628851	0	0	0	0	0	0	0	0	0.0287816257493487	0	0	0	0	0	0.0113820484306726	0.0108164177140593	0	0	0	0	0.0493927075879664	0.00582558849767883	0	0	0.00871999426838081	0.0261127355533486	0.0101446531118122	0	0.0144677021355884	0	0	0.00795415269777048	0	0	0	0	0	0.0218705489823392	0	0	0.134187712115313	0	0
0	0.00505706429898889	0	0.00627392705895326	0	0	0	0	0.0145717856668517	0.000676975366582964	0	0	0	0	0	0	0	0	0	0	0	0.00970582343103217	0.0336533104683171	0.00388454903652446	0	0	0.0131456501614616	0.000366699756532588	0	0	0	0.048611706710156	0.0799807552216136	0.0535104273072272	0	0	0.0179249840335458	0.0320872776283066	0.01815234840655	0.00247963300725003	0	0	0	0	0	0.0534436434344232	0	0	0.13841977288013	0	0	0.0391098737303599	0	0.0638125979952222	0.00361071033951707	0	0	0.00757136196918478	0	0	0	0	0.0137542988387715	0.00997416335868832	0.00394511738035999	0	0.0666773871473978	0.0204752462493925	0.00107538200797799	0	0	0	0.0709184175260357	0	0.0764403801736523	0	0	0.000262104575848209	0.0865946769604033	0	0	0	0	0.0038319478727416	0	0
