"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS10c"	"SBS10d"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22a"	"SBS22b"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40a"	"SBS40b"	"SBS40c"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"	"SBS86"	"SBS87"	"SBS88"	"SBS89"	"SBS90"	"SBS91"	"SBS92"	"SBS93"	"SBS94"	"SBS95"	"SBS96"	"SBS97"	"SBS98"	"SBS99"
0	0	2.34813932801253e-08	0	0	0	0.0372836907353709	0	0	0	0	0	0	0	0	0	0	0	0.0142070831546267	0	0	0	0.024114078280882	0.0333098481075456	0	0	0	0	0.0310142004738389	0	0	0	0	0	0	0	0	0.121700481050428	0	0	0.038314649251211	0	0	0	0	0	0.327949625306447	0	0	0	0	0	0	0	0.0193454794816938	0	0.0363088585866726	0	0.0397112264225356	0	0.0668579124234409	0	0	0.0198466841069819	0	0	0	0.0332341296579058	0	0	0	0	0	0.0728312171144514	0	0	0.0492347293846332	0	0	0	0	0	0	0.0347360829799417	0	0
0	0	0.0642100112512852	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0423510398032327	0	0	0	0	0.132796036403249	0.0716958569619026	0	0	0.0586365287766512	0.0580737582023808	0	0	0	0	0	0	0	0	0	0	0	0	0.0144082485031965	0	0	0	0	0.0433917806023812	0	0	0	0	0	0	0	0	0	0.075957197202422	0	0	0	0	0	0	0	0	0.0577460163917438	0	0	0	0.0447103317349997	0	0.0314059643897568	0	0	0	0	0	0	0	0	0	0	0.291108337806631	0	0	0.0135088919701672	0	0
0	0.0142441704370774	1.42062088516614e-08	0	0	0	0	0	0	0.0201755013921323	0	0	0	0	0	0	0	0	0	0.0650926840611643	0	0	0.0172206215327201	0	0	0.0226947452371813	0.0153453298528672	0	0	0	0	0	0	0	0	0.0165181126216019	0	0	0	0.111294349634345	0	0	0.126744141546385	0	0	0	0.0363281990117986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0310944444774838	0	0	0	0	0	0.0232752080385101	0	0	0	0	0.0159059310251656	0	0	0	0	0	0.31974934007554	0	0.164317206849819	0	0	0
0	0	0.171158742209715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0573085655796897	0	0	0	0.0218657358048465	0	0	0	0	0	0	0	0	0	0	0	0	0.0709491157574814	0	0	0.14182525593459	0	0	0	0	0.0101767477316134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172624999488013	0.0603579153265195	0	0	0	0.0195053325620955	0.0083486546170952	0	0	0	0	0.0492489583733215	0	0	0	0	0.21662997661502	0	0	0	0	0	0	0
0	0	0	0	2.67374498279528e-08	0	0.0680564482428762	0	0	0.0103975953729971	0	0	0	0	0	0	0	0.0891036539719725	0	0	0	0	0	0	0	0.0247758946080079	0	0.0184602877497707	0	0	0	0.0163883166306493	0.168976136882799	0	0	0	0	0	0.0864318394394197	0.076814472615835	0	0	0	0	0.148061806390948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00132844996763259	0	0	0.126953340154297	0.0512374079501469	0.014256443518261	0	0	0	0.0573855067685638	0	0.0413723729983739	0	0	0
0	0	0	0	1.88349164100498e-08	0	0	0	0	0.0141150971127557	0.0694095329917806	0	0.0133398124683245	0	0	0	0	0.0891980063465041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00961382512595228	0.00520467432928354	0	0	0	0	0	0.00805733258110977	0	0	0.0459153424291982	0	0.0247277408338503	0	0	0	0	0.0885973677408416	0	0	0	0	0	0	0	0	0	0	0	0.0724382252001313	0	0	0	0	0	0	0	0.104414005336538	0	0	0	0	0	0.0159072107281024	0.211218790623159	0	0	0	0.0444499616977039	0.0490103896078901	0.0487031158308853	0.085679550181073
0	0	2.53677235513252e-08	0	0	0	0.0382055099816342	0	0.0469109161168333	0	0	0	0.0168313521834964	0.0355597018814677	0	0	0	0	0.0513583462418034	0	0	0.0902762720431187	0.0269998381822855	0.0448114668468936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26128201899572	0	0	0	0	0	0	0	0	0	0	0	0	0.0420447286385752	0	0	0	0	0	0	0.0089485763416804	0.0228411510810416	0	0	0	0.0196794289200502	0	0	0.0365187267896875	0	0	0	0	0	0.0823542585166105	0	0	0	0	0	0	0	0.175377681871378	0	0	0	0	0
0	0	0	0.0939939635994473	0	0	0.04543223479411	0.0107615486313602	0.0538348397725675	0.0153728791064332	0	0	0	0	0	0	0.0415766452172975	0	0	0	0	0	0	0	0	0	0.0966958682767258	0	0	0.115394289207322	0	0	0	0	0	0.0337362847795896	0	0	0	0.0142830310785143	0	0	0	0	0	0	0	0	0	0.219502455691531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127741992089787	0	0	0	0	0	0	0	0	0	0	0	0	0.0520237408261723	0	0.0309539096730866	0	0	0	0.0261635263921652	0	0	0.0225327908638901
0	0.0137537643450229	0	0	0	0	0	0	0	0.0341540607415924	0	0	0	0.00768954105445399	0	0	0	0.0456414924857797	0	0	0	0.301652998908863	0	0.00446435571917134	0	0	0	0	0	0	0.0188865005111449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180922760173494	0	0	0	0	0	0.0144715230771829	0.011999215137131	0	0	0	0	0.0412860935684998	0	0	0.0180071664687398	0	0.0363906400402775	0.0112819224665437	0.0613510911635658	0	0	0	0.0581125869608158	0	0	0	2.65337611341343e-08	0	0	0	0	0.13993426064396	0	0
0	0.0124822228856127	0.0237528891685324	0	0.167139054632934	0	0	0	0.0570305627778459	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144135567850813	0	0	0	0.0901755191869496	0	0	0	0	0.0365434775087346	0.137041624356326	0.0365724771250873	0	0.0259426036360174	0	0	0.021134120753852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105397119224754	0	0	0	0	0.0563248091991991	0.0325523478891168	0	0	0.0584236762275714	0.0136771487551711	0	0	0.0600495005631037	0	0.058756477159379	0	0.0163650593912394	0	0	0	0.0710831600757707	0	0	0	0	0	0	0
