	SBS3	SBS4	SBS5	SBS8	SBS9	SBS12	SBS25	SBS26	SBS29	SBS35	SBS37	SBS39	SBS40a	SBS40b	SBS40c	SBS41	SBS44	SBS46	SBS89	SBS92	SBS93	SBS94	SBS95	SBS96	SBS98	SBS99
Sample1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34722150362785636	0.16966261407348399	0.0	0.23423983781542246	0.0	0.0	0.0	0.0	0.0	0.0	0.22598555195108677	0.0	0.0	0.0	0.022890492532150402
Sample2	0.25420290676071094	0.0	0.0	0.0	0.0	0.0	0.0	0.06438716530528386	0.0	0.0	0.0	0.061454871787268515	0.0	0.0	0.0	0.0	0.18627217966521203	0.07025409870551605	0.0	0.36342877777600857	0.0	0.0	0.0	0.0	0.0	0.0
Sample3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01296785526854911	0.0	0.0	0.0	0.19230590109765996	0.01833760717937187	0.0	0.0	0.0	0.0	0.0	0.0	0.6147134029204326	0.0	0.1616752335339864	0.0	0.0
Sample4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14681476364867235	0.0	0.0	0.0	0.10336192798777764	0.0	0.0	0.0567019819245336	0.570476806027179	0.0	0.12264452041183745	0.0	0.0	0.0	0.0
Sample5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18270752705670085	0.11599597922542515	0.0	0.20531414916864837	0.05614188055044114	0.0	0.0	0.0	0.0	0.0	0.27812304766836354	0.0	0.04161355253307653	0.0	0.12010386379734449	0.0	0.0
Sample6	0.0	0.12867176906972252	0.2654577482133214	0.0	0.0	0.07908692840970337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09717221084855827	0.0	0.06218226642978195	0.0	0.0	0.23280760116143054	0.0	0.0	0.0	0.13462147586748177	0.0	0.0
Sample7	0.0	0.0	0.2920158478524485	0.0	0.08560711709391058	0.0	0.0	0.0	0.0	0.2953568039598639	0.0	0.08192186901943863	0.020946892020067314	0.0	0.0	0.0	0.0	0.12551257753897382	0.0	0.0	0.0	0.09863889251529724	0.0	0.0	0.0	0.0
Sample8	0.0	0.0	0.02892147295323478	0.17052106210732237	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025394732394374387	0.0	0.44269429956731	0.11132384687630664	0.0	0.0	0.14034280967941748	0.0	0.01612093069152324	0.0	0.0	0.0	0.0	0.0646808457305112
Sample9	0.0	0.0	0.0	0.0	0.0	0.09969752230668524	0.0	0.0	0.0	0.24274019969836805	0.12353073051233214	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5340315474826147	0.0	0.0	0.0	0.0	0.0	0.0
Sample10	0.0671038210410137	0.0	0.1582939055638263	0.0	0.0	0.0	0.181290227264721	0.0	0.0	0.0	0.0	0.0	0.1920596404045478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3552096076248594	0.0	0.0	0.0	0.0460427981010318
