	SBS7d	SBS10b	SBS13	SBS17b	SBS28
Sample1	0.1787386480320825	0.20125982268334375	0.19286946807366642	0.2032387618822787	0.22389329932862873
Sample2	0.23214418157575498	0.16291430546153168	0.2055453119381225	0.2286553127890313	0.1707408882355596
Sample3	0.17506713272857582	0.20012296590495401	0.22108061991389663	0.2268387706511656	0.17689051080140783
Sample4	0.20059545456127373	0.2031121881944583	0.19072465081405382	0.20814284622592788	0.1974248602042861
Sample5	0.2202468720452291	0.20517234488307992	0.19373769388650672	0.1936900933104537	0.1871529958747304
Sample6	0.20240718862714982	0.1876744850253996	0.2091688823000331	0.1982151803145654	0.20253426373285197
Sample7	0.17270675743028627	0.22909395583810557	0.1965638165789422	0.2190581745664949	0.182577295586171
Sample8	0.19176010866162213	0.19469086095140592	0.20620182023824282	0.19881215387811899	0.20853505627061011
Sample9	0.21356062805327092	0.17901075297830413	0.19403521452737496	0.20059582123985073	0.21279758320119924
Sample10	0.18081570742665043	0.1819702852664441	0.21467743195279615	0.20039018239336837	0.22214639296074085
Sample11	0.19153623925161226	0.1634317157811946	0.2015102592098028	0.24558370668030646	0.19793807907708375
Sample12	0.19571630998140951	0.19119594435146645	0.20458303243957393	0.1737429465691317	0.23476176665841839
Sample13	0.17160959410732107	0.2250103400920824	0.20670591820360504	0.2170782962506459	0.17959585134634562
Sample14	0.21673926237711502	0.18430785356982296	0.1930036563858516	0.20171417367544717	0.2042350539917633
Sample15	0.17921889694806364	0.2098396597538093	0.20613598923771895	0.2000525882580084	0.20475286580239968
Sample16	0.21216358942656266	0.1979731706406977	0.22238002464723108	0.1575145179882403	0.2099686972972683
Sample17	0.21849170512515226	0.191500947012739	0.2137360292584753	0.21194122015827507	0.16433009844535845
Sample18	0.2103131598595347	0.2050817351429	0.2036730208504407	0.20599121202257842	0.1749408721245462
Sample19	0.1938321473834486	0.22214827865313475	0.19237573724975468	0.19748425587877166	0.19415958083489043
Sample20	0.1821034447098232	0.20760688836597604	0.20781859300688044	0.22390863857905358	0.1785624353382668
