"SBS1"	"SBS2"	"SBS3"	"SBS4"	"SBS5"	"SBS6"	"SBS7a"	"SBS7b"	"SBS7c"	"SBS7d"	"SBS8"	"SBS9"	"SBS10a"	"SBS10b"	"SBS10c"	"SBS10d"	"SBS11"	"SBS12"	"SBS13"	"SBS14"	"SBS15"	"SBS16"	"SBS17a"	"SBS17b"	"SBS18"	"SBS19"	"SBS20"	"SBS21"	"SBS22a"	"SBS22b"	"SBS23"	"SBS24"	"SBS25"	"SBS26"	"SBS27"	"SBS28"	"SBS29"	"SBS30"	"SBS31"	"SBS32"	"SBS33"	"SBS34"	"SBS35"	"SBS36"	"SBS37"	"SBS38"	"SBS39"	"SBS40a"	"SBS40b"	"SBS40c"	"SBS41"	"SBS42"	"SBS43"	"SBS44"	"SBS45"	"SBS46"	"SBS47"	"SBS48"	"SBS49"	"SBS50"	"SBS51"	"SBS52"	"SBS53"	"SBS54"	"SBS55"	"SBS56"	"SBS57"	"SBS58"	"SBS59"	"SBS60"	"SBS84"	"SBS85"	"SBS86"	"SBS87"	"SBS88"	"SBS89"	"SBS90"	"SBS91"	"SBS92"	"SBS93"	"SBS94"	"SBS95"	"SBS96"	"SBS97"	"SBS98"	"SBS99"
0	0	0	0	0	0	0	0	0	0.288922496338027	0	0	0	0.121226242158851	0	0	0	0	0.171800863833493	0	0	0	0.000823638722761635	0.227505211525616	0	0	0	0.000235544840361455	0	0	0	0	0	0	0	0.112397828135676	0	0	0	0	0	0	0	0	0	0.0312664119647857	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00818034071015987	0.00459859778785754	0	0	0	0	0	0	0.00225847164020512	0	0	0	0	0.0172643532542231	0	0	0	0	0	0	0.0135199990879839	0	0	0	0	0	0
0	0.00637567401328814	0	0	0	0	0	0.0152687537699126	0	0.286165700518124	0	0	0.00925355503228796	0.110822621264106	0	0	0.0122080067935056	0	0.169897683388079	0	0	0	0	0.166026698179218	0	0	0	0	0	0	0	0	0	0	0	0.161530663281152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00313256830724781	0	0	0	0	0.0026377105858907	0	0.00796926371265695	0	0	0.0229695062049154	0	0	0	0	0.0215922371018208	0.00161371394804629	0	0	0	0	0	0	0	0	0	0.0025356438997482	0	0
0	0	0	0	0	0	0	0	0	0.242564826834266	0	0	0	0.191564799997399	0	0	0	0	0.119381121192764	0	0	0	0	0.19882687598838	0	0	0.0268226296547322	0	0	0	0	0	0	0	0	0.0854627527679782	0	0	0	0	0	0.0312285789422035	0	0	0	0.0294367972900246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00148762521920642	0	0	0.0451481787942883	0	0	0	0	0.00344298468799327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00535034677799161	0.000293083665616203	0.0189893981871567
0.000886051216733492	0	0	0	0	0	0.0337136465226837	0	0	0.127384031101618	0	0	0.0133244234100917	0.196101545843982	0	0.00632650110408526	0	0	0.14350348791356	0	0	0	0.000143204815708365	0.0753380195008514	0	0	0	0	0	0	0	0	0	0	0	0.26439617258384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0144030777104699	0	0.0420601498280759	0	0	0	0	0	0	0	0	0.0321239333415684	0	0	0	0.0469087714173436	0	0.00338698368938821	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0.124638199370463	0	0	0	0.0760957339239567	0	0	0.000335069005146379	0	0.166530552684827	0	0.0306519620282269	0.0189438477872531	0	0.164346943714901	0	0	0.00543179456800953	0	0	0	0	0	0	0	0	0.264241564290048	0	0	0	0	0.00280357318582798	0.00128342561844949	0	0	0	0	0	0	0	0	0	0.0443686833541331	0	0	0	0	0	0	0	0	0	0.00120677818330554	0	0	0	0.00603904878436496	0	0.0450312998764855	0	0	0	0	0.0136560901322621	0	0.0343954334923395	0	0	0	0	0	0	0	0	0	0	0
0	0.00139844890805415	0	0	0	0	0	0.0320954742234223	0	0.113399847233494	0	0	0	0.0831566226774235	0	0	0	0	0.285767275213102	0	0	0	0	0.212190211552135	0	0	0	0	0	0	0	0	0	0	0	0.0906944284455654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000528840757396181	0	0	0	0	0	0.00302171449391808	0	0	0	0	0	0	0.0232637427185333	0	0	0	0.0147606380218682	0	0	0	0	0.109517010373332	0.0302057453817565	0	0	0	0	0	0	0	0	0	0	0	0
0.00731829612248346	0	0	0	0	0	0.0266660433601823	0	0	0.14379235539091	0	0	0.0547623193960352	0.09367316396514	0	0	0	0	0.278743734350779	0	0	0	0	0.0962792726240003	0	0	0	0.02441408397621	0	0	0	0	0	0	0	0.20601948931256	0	0	0	0	0.00701423660039741	0	0	0	0	0	0	0	0	0	0	0.0511905291822523	0	0	0	0	0	0.00426557294097557	0	0	0	0	0.00586090277807476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0180507702303973	0	0.0665450933117208	0.137664378823466	0	0	0	0.145290803139192	0	0	0	0	0.180120225420737	0	0	0	0	0.175177380375937	0	0	0	0.0242150221014815	0	0	0	0	0	0	0	0.175078081485086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0480956473613426	0.00956536101771164	0	0	0	0	0	0	0	0	0	0.0201972367329274	0	0
0	0	0	0	0	0	0	0	0	0.022801308007926	0	0	0.0506367586386713	0.222962535149207	0	0	0	0.017293326054611	0.160923587901228	0	0	0	0	0.299840105158928	0	0	0	0.0190509072148372	0	0	0	0	0	0	0	0.0462519350719068	0	0	0	0	0.0114600216174363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0141116300730569	0	0	0.00662402310289574	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478849169946903	0	0	0	0.00393470896201692	0	0.0762242360525888
0	0	0	0	0	0	0	0	0.0179060305427673	0.0843699679896723	0	0	0.00715210196215989	0.213400320018296	0	0	0	0	0.187399141984237	0	0	0	0.0222263706115474	0.179861986290025	0	0	0	0	0	0	0	0	0	0	0	0.180691653257923	0	0	0	0	0	0.018775086480564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00697337076546864	0	0	0	0	0.0178015695102463	0	0.0105856149540277	0	0	0	0	0	0	0	0	0	0.0216057731390027	0	0	0	0	0	0	0	0	0.0312510124940621	0	0
