"SBS1"	"SBS2"	"SBS3"	"SBS4"
"Sample1"	0.20453118421381	0.343247474540291	0.140064965053407	0.312156376192492
"Sample2"	0.288171657274819	0.184353151563813	0.342469555990795	0.185005635170573
"Sample3"	0.325206391275465	0.193144693013613	0.287518808277444	0.194130107433479
"Sample4"	0.228062384093796	0.269142045646907	0.197912959104035	0.304882611155261
"Sample5"	0.215495974076379	0.275284932458535	0.267234940967716	0.241984152497371
"Sample6"	0.255417445919069	0.246841353672421	0.212622247362128	0.285118953046382
"Sample7"	0.310813241352274	0.274408538795371	0.27010656259017	0.144671657262184
"Sample8"	0.224281219942753	0.261868891402346	0.423268845898888	0.0905810427560132
"Sample9"	0.298447620129716	0.319964785441581	0.265901517931982	0.115686076496721
"Sample10"	0.258978382443655	0.214020902303572	0.308582175143442	0.218418540109331
"Sample11"	0.26272825153349	0.151186045652304	0.382674771771081	0.203410931043125
"Sample12"	0.270369413870226	0.215678675608362	0.294926152580938	0.219025757940474
"Sample13"	0.313510983635183	0.21020974211296	0.21271535792779	0.263563916324068
"Sample14"	0.359800960991012	0.186736250510758	0.343463554900413	0.109999233597818
"Sample15"	0.212045587857092	0.31448635902417	0.269768817631323	0.203699235487415
"Sample16"	0.211650782308361	0.282576294666553	0.361054153689515	0.144718769335572
"Sample17"	0.284843504195142	0.18638831413444	0.155355092359092	0.373413089311326
"Sample18"	0.178822867591296	0.38242970375923	0.254886901438768	0.183860527210705
"Sample19"	0.29338816064622	0.251312308047126	0.21057568937661	0.244723841930044
"Sample20"	0.314726922871837	0.236774252621247	0.236382892932618	0.212115931574298
"Sample21"	0.166484647356829	0.395992606460787	0.144382841414169	0.293139904768215
"Sample22"	0.215090187244871	0.245765339735549	0.226402643160189	0.312741829859391
"Sample23"	0.306920032484152	0.253760711057233	0.185555553240539	0.253763703218076
"Sample24"	0.228206994122696	0.246915278485618	0.262682149623052	0.262195577768635
"Sample25"	0.266038073416007	0.242370582120441	0.236775172322656	0.254816172140897
"Sample26"	0.17911401062599	0.370030674147172	0.168251087548295	0.282604227678543
"Sample27"	0.234620054305684	0.275637434902179	0.176528144615704	0.313214366176433
"Sample28"	0.247716460051012	0.216787044118057	0.214470971594144	0.321025524236786
"Sample29"	0.270939087027981	0.239267328151542	0.278470034675033	0.211323550145444
"Sample30"	0.302620190778004	0.22755099490287	0.121445115390087	0.348383698929039
"Sample31"	0.247561276752607	0.214675586114265	0.202484941385212	0.335278195747916
"Sample32"	0.212506834402197	0.256485098104849	0.279613203695738	0.251394863797217
"Sample33"	0.298710353395727	0.235018921668661	0.150403042316296	0.315867682619316
"Sample34"	0.22037136921816	0.268981428930197	0.207837943006424	0.302809258845218
"Sample35"	0.178437214195579	0.31050127699802	0.248570616087978	0.262490892718423
"Sample36"	0.180929767552088	0.250487771046608	0.389440604181614	0.179141857219691
"Sample37"	0.246773407257983	0.28246784211542	0.370672025371297	0.1000867252553
"Sample38"	0.174814760692321	0.308440274200798	0.26406313997269	0.252681825134191
"Sample39"	0.179665721940683	0.282807962149905	0.157213986735432	0.380312329173981
"Sample40"	0.236166883724374	0.243425209588014	0.347244832326993	0.17316307436062
"Sample41"	0.253947272265449	0.27685981696285	0.285591176922282	0.183601733849419
"Sample42"	0.286329796057108	0.187212802050035	0.200932555236899	0.325524846655958
"Sample43"	0.278068674798277	0.253391984326793	0.228450955454512	0.240088385420417
"Sample44"	0.213004939027499	0.258563955668977	0.160486879029848	0.367944226273676
"Sample45"	0.303617672171827	0.229513434979819	0.247049041101066	0.219819851747288
"Sample46"	0.302736427454886	0.213876810418402	0.223991149645071	0.259395612481641
"Sample47"	0.280555329385809	0.312455233099954	0.26262185178562	0.144367585728617
"Sample48"	0.252229176976161	0.212213418589681	0.246747083143997	0.288810321290161
