SBS1	SBS2	SBS3	SBS4
Sample1	0.2	0.4	0	0.4
Sample2	0.276785714285714	0.196428571428571	0.526785714285714	0
Sample3	0.32258064516129	0.204301075268817	0.473118279569892	0
Sample4	0.245283018867925	0.283018867924528	0	0.471698113207547
Sample5	0.235849056603774	0.264150943396226	0	0.5
Sample6	0.269565217391304	0.260869565217391	0	0.469565217391304
Sample7	0.55045871559633	0.44954128440367	0	0
Sample8	0.252427184466019	0.203883495145631	0.543689320388349	0
Sample9	0.518518518518518	0.481481481481481	0	0
Sample10	0.267241379310345	0.21551724137931	0	0.517241379310345
Sample11	0.26271186440678	0.144067796610169	0.593220338983051	0
Sample12	0.29126213592233	0.233009708737864	0	0.475728155339806
Sample13	0.326732673267327	0.217821782178218	0	0.455445544554455
Sample14	0.363636363636364	0.161616161616162	0.474747474747475	0
Sample15	0.224299065420561	0.317757009345794	0	0.457943925233645
Sample16	0.216216216216216	0.252252252252252	0.531531531531532	0
Sample17	0.275229357798165	0.18348623853211	0	0.541284403669725
Sample18	0	1	0	0
Sample19	0.294117647058824	0.294117647058824	0	0.411764705882353
Sample20	0.311320754716981	0.254716981132075	0	0.433962264150943
Sample21	0.197802197802198	0.395604395604396	0	0.406593406593407
Sample22	0.258333333333333	0.241666666666667	0	0.5
Sample23	0.311320754716981	0.283018867924528	0	0.405660377358491
Sample24	0.24468085106383	0.223404255319149	0.531914893617021	0
Sample25	0.284403669724771	0.256880733944954	0	0.458715596330275
Sample26	0	1	0	0
Sample27	0.232558139534884	0.290697674418605	0	0.476744186046512
Sample28	0.242105263157895	0.168421052631579	0	0.589473684210526
Sample29	0.295918367346939	0.224489795918367	0	0.479591836734694
Sample30	0.3125	0.2125	0	0.475
Sample31	0.264150943396226	0.254716981132075	0	0.481132075471698
Sample32	0.23469387755102	0.214285714285714	0.551020408163265	0
Sample33	0.315789473684211	0.263157894736842	0	0.421052631578947
Sample34	0.208333333333333	0.270833333333333	0	0.520833333333333
Sample35	0.151515151515152	0.282828282828283	0.565656565656566	0
Sample36	0.197368421052632	0.276315789473684	0.526315789473684	0
Sample37	0.268817204301075	0.279569892473118	0.451612903225806	0
Sample38	0.160377358490566	0.330188679245283	0.509433962264151	0
Sample39	0.170212765957447	0.287234042553192	0	0.542553191489362
Sample40	0.21875	0.239583333333333	0.541666666666667	0
Sample41	0.247524752475248	0.267326732673267	0.485148514851485	0
Sample42	0.306930693069307	0.198019801980198	0	0.495049504950495
Sample43	0.308510638297872	0.25531914893617	0	0.436170212765957
Sample44	0.196261682242991	0.271028037383178	0	0.532710280373832
Sample45	0.31858407079646	0.247787610619469	0	0.433628318584071
Sample46	0.326732673267327	0.207920792079208	0	0.465346534653465
Sample47	0.505154639175258	0.494845360824742	0	0
Sample48	0.253012048192771	0.216867469879518	0	0.530120481927711
Sample49	0.313725490196078	0.274509803921569	0	0.411764705882353
Sample50	0.26530612244898	0.316326530612245	0.418367346938776	0
Sample51	0.222222222222222	0.287037037037037	0	0.490740740740741
Sample52	0.290909090909091	0.263636363636364	0	0.445454545454545
Sample53	0.63265306122449	0.36734693877551	0	0
Sample54	0.479166666666667	0.177083333333333	0	0.34375
Sample55	0.268817204301075	0.21505376344086	0	0.516129032258065
Sample56	0.228070175438596	0.263157894736842	0	0.508771929824561
Sample57	0.376344086021505	0.225806451612903	0	0.397849462365591
Sample58	0.260416666666667	0.229166666666667	0	0.510416666666667
Sample59	0.275862068965517	0.155172413793103	0.568965517241379	0
Sample60	0.214285714285714	0.30952380952381	0	0.476190476190476
Sample61	0.163461538461538	0.317307692307692	0.519230769230769	0
Sample62	0.296296296296296	0.25	0.453703703703704	0
Sample63	0.292134831460674	0.235955056179775	0	0.471910112359551
Sample64	0.216494845360825	0.309278350515464	0.474226804123711	0
Sample65	0.570093457943925	0.429906542056075	0	0
Sample66	0.192307692307692	0.288461538461538	0	0.519230769230769
Sample67	0.283018867924528	0.254716981132075	0.462264150943396	0
