SBS1	SBS2	SBS3	SBS4
1.664757339676514736e-01	4.279914400395353202e-01	4.055328259928131507e-01	0.000000000000000000e+00
3.294593336972310160e-01	2.359840819900347331e-01	4.345565843127341954e-01	0.000000000000000000e+00
1.356061951267861498e-01	4.888647333739243317e-01	3.755290714992894907e-01	0.000000000000000000e+00
3.059831617071181453e-01	2.419702426727506073e-01	4.520465956201311641e-01	0.000000000000000000e+00
2.135775731110501618e-01	6.328221157978761724e-01	1.536003110910736380e-01	0.000000000000000000e+00
2.890278834848600265e-01	2.705310453798097647e-01	4.404410711353302643e-01	0.000000000000000000e+00
0.000000000000000000e+00	3.418691563167360337e-01	6.581308436832640218e-01	0.000000000000000000e+00
3.472201690683983655e-01	3.318883646892626937e-01	3.208914662423388298e-01	0.000000000000000000e+00
2.039454306225107205e-01	6.821058285282730616e-01	1.139487408492161347e-01	0.000000000000000000e+00
3.300640887664449963e-01	3.320964889403719145e-01	3.378394222931831448e-01	0.000000000000000000e+00
3.081901439521648745e-01	4.243683082638855519e-01	2.674415477839496291e-01	0.000000000000000000e+00
5.656854888019884342e-01	3.650014189330442194e-01	6.931309226496737419e-02	0.000000000000000000e+00
6.179187214491376201e-01	1.277716089920509779e-01	2.543096695588112910e-01	0.000000000000000000e+00
4.308524566668465727e-01	3.282454354543172248e-01	2.409021078788362025e-01	0.000000000000000000e+00
3.142333022511901164e-01	1.423388206058042171e-01	5.434278771430055555e-01	0.000000000000000000e+00
3.407182398837879100e-01	5.450163498871541945e-01	1.142654102290578261e-01	0.000000000000000000e+00
2.301598795972972789e-01	2.796777176116932995e-01	4.901624027910094217e-01	0.000000000000000000e+00
3.442179400414971391e-01	3.309139591057254082e-01	3.248681008527772862e-01	0.000000000000000000e+00
4.365147733546675402e-01	2.401312171392730732e-01	3.233540095060593034e-01	0.000000000000000000e+00
6.848735225205799804e-01	0.000000000000000000e+00	3.151264774794200196e-01	0.000000000000000000e+00
2.018559987587075499e-01	3.684622033999307988e-01	4.296817978413615680e-01	0.000000000000000000e+00
2.392207325153077047e-01	1.656073425121611653e-01	5.951719249725311300e-01	0.000000000000000000e+00
3.166278845483795346e-01	2.049459406291707086e-01	4.784261748224498123e-01	0.000000000000000000e+00
3.062415947509338765e-01	3.864576139872320515e-01	3.073007912618341830e-01	0.000000000000000000e+00
6.433695796858974747e-01	3.529660547261392889e-01	3.664365587963275012e-03	0.000000000000000000e+00
2.679689114351505030e-01	2.569046378098455707e-01	4.751264507550039817e-01	0.000000000000000000e+00
3.872988164005541356e-01	3.912204728513321017e-01	2.214807107481137904e-01	0.000000000000000000e+00
5.508715173824131339e-01	2.600714924734858213e-01	1.890569901441012113e-01	0.000000000000000000e+00
5.756531638314693611e-01	2.458998668345218352e-01	1.784469693340089425e-01	0.000000000000000000e+00
3.452142823597071364e-01	2.447121684148493570e-01	4.100735492254434789e-01	0.000000000000000000e+00
4.622730117802209548e-01	5.377269882197789341e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.656933880206061915e-01	3.693334238937038827e-01	2.649731880856897592e-01	0.000000000000000000e+00
2.791153923366906930e-01	3.162266933839265604e-01	4.046579142793826911e-01	0.000000000000000000e+00
2.686739940905781832e-01	4.744015368431476198e-01	2.569244690662741970e-01	0.000000000000000000e+00
5.173662745455579470e-01	2.054588251053663384e-01	2.771749003490756036e-01	0.000000000000000000e+00
1.903969090219624072e-01	2.272075266371152147e-01	5.823955643409224336e-01	0.000000000000000000e+00
4.229618187507365179e-01	3.794661064912649984e-01	1.975720747579984560e-01	0.000000000000000000e+00
3.195959572800153858e-01	5.728764507752523993e-01	1.075275919447322981e-01	0.000000000000000000e+00
3.636885695051582101e-01	2.962332202793228619e-01	3.400782102155189834e-01	0.000000000000000000e+00
3.582987295263175276e-01	6.220873067174258475e-01	1.961396375625661104e-02	0.000000000000000000e+00
2.246682589225993676e-01	3.151855695836653370e-01	4.601461714937352121e-01	0.000000000000000000e+00
3.799111043589549208e-01	4.134259146743863855e-01	2.066629809666588324e-01	0.000000000000000000e+00
3.942138005660394406e-01	3.173221943538932499e-01	2.884640050800672539e-01	0.000000000000000000e+00
2.784033348936083563e-01	2.394380447444444115e-01	4.821586203619473432e-01	0.000000000000000000e+00
1.561203639433640378e-01	6.119311683019051928e-01	2.319484677547307416e-01	0.000000000000000000e+00
2.467304496569493744e-01	4.068523501647909324e-01	3.464172001782596100e-01	0.000000000000000000e+00
2.587338819072932394e-01	1.268358416897386876e-01	6.144302764029679897e-01	0.000000000000000000e+00
3.807459137392610882e-01	1.882541979067771654e-01	4.309998883539618020e-01	0.000000000000000000e+00
2.410751934162199961e-01	7.048925653740237829e-01	5.403224120975614470e-02	0.000000000000000000e+00
3.587536282200698978e-01	1.613530908378232043e-01	4.798932809421068701e-01	0.000000000000000000e+00
3.681982042821635437e-01	3.878921436090452812e-01	2.439096521087911196e-01	0.000000000000000000e+00
1.689968350204100467e-01	1.771277664277986497e-01	6.538753985517914424e-01	0.000000000000000000e+00
4.096967702141516843e-01	2.373023353143662861e-01	3.530008944714818631e-01	0.000000000000000000e+00
2.191246573878053716e-01	5.887351707310829463e-01	1.921401718811117099e-01	0.000000000000000000e+00
4.081859044240006007e-01	3.251008763566302084e-01	2.667132192193691353e-01	0.000000000000000000e+00
2.227765325760350246e-01	3.468547047245649217e-01	4.303687626993999982e-01	0.000000000000000000e+00
4.289959125159125142e-01	4.780787156629854318e-01	9.292537182110217897e-02	0.000000000000000000e+00
2.624666499332858338e-01	2.800902645116101763e-01	4.574430855551040453e-01	0.000000000000000000e+00
4.824337973047579942e-01	1.629415116918986051e-01	3.546246910033434285e-01	0.000000000000000000e+00
5.262919570783747281e-01	3.263396686565319671e-01	1.473683742650932216e-01	0.000000000000000000e+00
4.731114004100920312e-01	3.004763602189396421e-01	2.264122393709683545e-01	0.000000000000000000e+00
2.255731063448403184e-01	3.627814257543328091e-01	4.116454679008269002e-01	0.000000000000000000e+00
4.259348716141380664e-01	2.994741325776646979e-01	2.745909958081974023e-01	0.000000000000000000e+00
4.824945876387993771e-01	4.365432776392155212e-01	8.096213472198504624e-02	0.000000000000000000e+00
4.767475081458084074e-01	2.940319866127613646e-01	2.292205052414302557e-01	0.000000000000000000e+00
4.678738207855622222e-01	5.321261792144377223e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.439163975538993556e-01	4.808775023668778736e-01	1.752061000792226875e-01	0.000000000000000000e+00
3.808251534547615891e-01	3.966475038880159509e-01	2.225273426572224045e-01	0.000000000000000000e+00
1.643088029685373930e-01	4.264246122150705531e-01	4.092665848163921649e-01	0.000000000000000000e+00
3.418655102887195874e-01	3.031369253833604005e-01	3.549975643279200122e-01	0.000000000000000000e+00
4.012679702905203594e-01	2.375247378875602333e-01	3.612072918219195183e-01	0.000000000000000000e+00
6.350499068516796131e-01	3.649500931483202759e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.988362751030558151e-01	4.011637248969441294e-01	0.000000000000000000e+00	0.000000000000000000e+00
3.386389904688648644e-01	4.682254517232432578e-01	1.931355578078920165e-01	0.000000000000000000e+00
2.629246169174200842e-01	3.706816630045726702e-01	3.663937200780071901e-01	0.000000000000000000e+00
4.519859049963005915e-01	2.363120341685076564e-01	3.117020608351917521e-01	0.000000000000000000e+00
1.467625351857836380e-01	5.561756514805238361e-01	2.970618133336925260e-01	0.000000000000000000e+00
4.692893095125710290e-01	3.446295933909014897e-01	1.860810970965274536e-01	0.000000000000000000e+00
2.906836115703652634e-01	4.487284170480982937e-01	2.605879713815364984e-01	0.000000000000000000e+00
3.098677702699591530e-01	5.784630210933158212e-01	1.116692086367250536e-01	0.000000000000000000e+00
2.884804876300351983e-01	3.162985434194487411e-01	3.952209689505160606e-01	0.000000000000000000e+00
1.125317555248304541e-01	4.442450606480332631e-01	4.432231838271362689e-01	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	1.000000000000000000e+00	0.000000000000000000e+00
2.103449804060793793e-01	5.417288769644746926e-01	2.479261426294459281e-01	0.000000000000000000e+00
4.138631556423761904e-01	3.013293094503776137e-01	2.848075349072463069e-01	0.000000000000000000e+00
3.667628396736489771e-01	2.860401786391673085e-01	3.471969816871837144e-01	0.000000000000000000e+00
2.934964356113204387e-01	7.065035643886794503e-01	0.000000000000000000e+00	0.000000000000000000e+00
5.322222217079267681e-01	3.879158554206540988e-01	7.986192287141914703e-02	0.000000000000000000e+00
3.444128386932368557e-01	0.000000000000000000e+00	6.555871613067630888e-01	0.000000000000000000e+00
4.054615309721703031e-01	2.646051471443657266e-01	3.299333218834639703e-01	0.000000000000000000e+00
2.494028367214223829e-01	3.915229684823438028e-01	3.590741947962339253e-01	0.000000000000000000e+00
3.638943178874743389e-01	2.617430356853896467e-01	3.743626464271359588e-01	0.000000000000000000e+00
2.821588082539065456e-01	1.457773928602894564e-01	5.720637988858039424e-01	0.000000000000000000e+00
2.401548656533233073e-01	3.836932130988929268e-01	3.761519212477838492e-01	0.000000000000000000e+00
2.386040597151416476e-01	3.611944189250546611e-01	4.002015213598036913e-01	0.000000000000000000e+00
4.057185706405145309e-01	3.482986326738232163e-01	2.459827966856624748e-01	0.000000000000000000e+00
2.369146944272622624e-01	3.752430353499038307e-01	3.878422702228339070e-01	0.000000000000000000e+00
2.872065350051353216e-01	4.186265946710837627e-01	2.941668703237809712e-01	0.000000000000000000e+00
4.587056608170337890e-01	1.845557814018814191e-01	3.567385577810847641e-01	0.000000000000000000e+00
4.583264007779215832e-01	3.872829132187876611e-01	0.000000000000000000e+00	1.543906860032907835e-01
