SBS1	SBS2	SBS3
Sample1	0.5	0.5	0
Sample2	0.571428571428571	0.428571428571429	0
Sample3	0.495238095238095	0.504761904761905	0
Sample4	0.55952380952381	0.44047619047619	0
Sample5	0.451327433628319	0.548672566371681	0
Sample6	0.556603773584906	0.443396226415094	0
Sample7	0.271844660194175	0.339805825242718	0.388349514563107
Sample8	0.541666666666667	0.458333333333333	0
Sample9	0.462365591397849	0.537634408602151	0
Sample10	0.541666666666667	0.458333333333333	0
Sample11	0.515151515151515	0.484848484848485	0
Sample12	0.564705882352941	0.435294117647059	0
Sample13	0.669902912621359	0.330097087378641	0
Sample14	0.544444444444444	0.455555555555556	0
Sample15	0.597938144329897	0.402061855670103	0
Sample16	0.470588235294118	0.529411764705882	0
Sample17	0.26890756302521	0.285714285714286	0.445378151260504
Sample18	0.556603773584906	0.443396226415094	0
Sample19	0.595505617977528	0.404494382022472	0
Sample20	0.636363636363636	0.363636363636364	0
Sample21	0.51685393258427	0.48314606741573	0
Sample22	0.289473684210526	0.25	0.460526315789474
Sample23	0.574257425742574	0.425742574257426	0
Sample24	0.531746031746032	0.468253968253968	0
Sample25	0.607843137254902	0.392156862745098	0
Sample26	0.554545454545455	0.445454545454545	0
Sample27	0.534653465346535	0.465346534653465	0
Sample28	0.6	0.4	0
Sample29	0.618181818181818	0.381818181818182	0
Sample30	0.579831932773109	0.420168067226891	0
Sample31	0.494949494949495	0.505050505050505	0
Sample32	0.532710280373832	0.467289719626168	0
Sample33	0.538461538461538	0.461538461538462	0
Sample34	0.5	0.5	0
Sample35	0.609756097560976	0.390243902439024	0
Sample36	0.258333333333333	0.266666666666667	0.475
Sample37	0.534246575342466	0.465753424657534	0
Sample38	0.46	0.54	0
Sample39	0.551724137931034	0.448275862068966	0
Sample40	0.473684210526316	0.526315789473684	0
Sample41	0.522935779816514	0.477064220183486	0
Sample42	0.52	0.48	0
Sample43	0.559139784946237	0.440860215053763	0
Sample44	0.567307692307692	0.432692307692308	0
Sample45	0.435185185185185	0.564814814814815	0
Sample46	0.489583333333333	0.510416666666667	0
Sample47	0.584269662921348	0.415730337078652	0
Sample48	0.58974358974359	0.41025641025641	0
Sample49	0.454545454545455	0.545454545454545	0
Sample50	0.580645161290323	0.419354838709677	0
Sample51	0.527777777777778	0.472222222222222	0
Sample52	0.264705882352941	0.254901960784314	0.480392156862745
Sample53	0.595959595959596	0.404040404040404	0
Sample54	0.410526315789474	0.589473684210526	0
Sample55	0.556962025316456	0.443037974683544	0
Sample56	0.520833333333333	0.479166666666667	0
Sample57	0.5	0.5	0
Sample58	0.558823529411765	0.441176470588235	0
Sample59	0.644859813084112	0.355140186915888	0
Sample60	0.58	0.42	0
Sample61	0.580645161290323	0.419354838709677	0
Sample62	0.504273504273504	0.495726495726496	0
Sample63	0.579545454545455	0.420454545454545	0
Sample64	0.535353535353535	0.464646464646465	0
Sample65	0.587719298245614	0.412280701754386	0
Sample66	0.535353535353535	0.464646464646465	0
Sample67	0.5	0.5	0
Sample68	0.552380952380952	0.447619047619048	0
Sample69	0.494949494949495	0.505050505050505	0
Sample70	0.53781512605042	0.46218487394958	0
Sample71	0.584905660377358	0.415094339622642	0
Sample72	0.594339622641509	0.405660377358491	0
Sample73	0.574257425742574	0.425742574257426	0
Sample74	0.5	0.5	0
Sample75	0.521739130434783	0.478260869565217	0
Sample76	0.6	0.4	0
Sample77	0.462264150943396	0.537735849056604	0
Sample78	0.570093457943925	0.429906542056075	0
Sample79	0.47887323943662	0.52112676056338	0
Sample80	0.482758620689655	0.517241379310345	0
Sample81	0.534653465346535	0.465346534653465	0
Sample82	0.481927710843373	0.518072289156627	0
Sample83	0.282828282828283	0.252525252525253	0.464646464646465
Sample84	0.505154639175258	0.494845360824742	0
Sample85	0.568421052631579	0.431578947368421	0
Sample86	0.571428571428571	0.428571428571429	0
Sample87	0.448818897637795	0.551181102362205	0
Sample88	0.56	0.44	0
Sample89	0.625	0.375	0
Sample90	0.576923076923077	0.423076923076923	0
Sample91	0.523809523809524	0.476190476190476	0
Sample92	0.574257425742574	0.425742574257426	0
Sample93	0.582417582417582	0.417582417582418	0
Sample94	0.509615384615385	0.490384615384615	0
Sample95	0.529411764705882	0.470588235294118	0
Sample96	0.553571428571429	0.446428571428571	0
Sample97	0.5	0.5	0
Sample98	0.486486486486487	0.513513513513513	0
Sample99	0.597122302158273	0.402877697841727	0
Sample100	0.55421686746988	0.44578313253012	0
