	SBS1	SBS2	SBS3	SBS4
Sample1	0.9952169676571727	0.0	0.0047830323428273746	0.0
Sample2	1.0	0.0	0.0	0.0
Sample3	0.9830800296503647	0.0	0.01691997034963528	0.0
Sample4	1.0	0.0	0.0	0.0
Sample5	1.0	0.0	0.0	0.0
Sample6	1.0	0.0	0.0	0.0
Sample7	0.984777830923832	0.0	0.01522216907616806	0.0
Sample8	1.0	0.0	0.0	0.0
Sample9	1.0	0.0	0.0	0.0
Sample10	0.9602397590307561	0.0	0.03976024096924382	0.0
Sample11	1.0	0.0	0.0	0.0
Sample12	1.0	0.0	0.0	0.0
Sample13	0.9896002885872759	0.0	0.01039971141272409	0.0
Sample14	1.0	0.0	0.0	0.0
Sample15	0.9982697612619941	0.0	0.001730238738005959	0.0
Sample16	1.0	0.0	0.0	0.0
Sample17	1.0	0.0	0.0	0.0
Sample18	1.0	0.0	0.0	0.0
Sample19	1.0	0.0	0.0	0.0
Sample20	1.0	0.0	0.0	0.0
Sample21	0.9836861693251022	0.0	0.01631383067489779	0.0
Sample22	1.0	0.0	0.0	0.0
Sample23	0.9957343012353704	0.0	0.0042656987646296565	0.0
Sample24	1.0	0.0	0.0	0.0
Sample25	1.0	0.0	0.0	0.0
Sample26	1.0	0.0	0.0	0.0
Sample27	1.0	0.0	0.0	0.0
Sample28	1.0	0.0	0.0	0.0
Sample29	1.0	0.0	0.0	0.0
Sample30	0.9974458355485707	0.0	0.00255416445142933	0.0
Sample31	1.0	0.0	0.0	0.0
Sample32	1.0	0.0	0.0	0.0
Sample33	1.0	0.0	0.0	0.0
Sample34	1.0	0.0	0.0	0.0
Sample35	0.9687809752246642	0.0	0.031219024775335797	0.0
Sample36	0.9931298408143493	0.0	0.006870159185650686	0.0
Sample37	0.9954507744396095	0.0	0.004549225560390492	0.0
Sample38	1.0	0.0	0.0	0.0
Sample39	1.0	0.0	0.0	0.0
Sample40	1.0	0.0	0.0	0.0
Sample41	0.9748950453190699	0.0	0.025104954680930002	0.0
Sample42	1.0	0.0	0.0	0.0
Sample43	1.0	0.0	0.0	0.0
Sample44	1.0	0.0	0.0	0.0
Sample45	1.0	0.0	0.0	0.0
Sample46	1.0	0.0	0.0	0.0
Sample47	0.9872968052815089	0.0	0.012703194718491174	0.0
Sample48	1.0	0.0	0.0	0.0
Sample49	0.9826389383466873	0.0	0.017361061653312648	0.0
Sample50	1.0	0.0	0.0	0.0
Sample51	1.0	0.0	0.0	0.0
Sample52	0.9950666853129548	0.0	0.00493331468704525	0.0
Sample53	1.0	0.0	0.0	0.0
Sample54	0.9740573000001898	0.0	0.025942699999810307	0.0
Sample55	1.0	0.0	0.0	0.0
Sample56	0.9630437670548578	0.0	0.03695623294514207	0.0
Sample57	1.0	0.0	0.0	0.0
Sample58	1.0	0.0	0.0	0.0
Sample59	1.0	0.0	0.0	0.0
Sample60	0.9880831795580042	0.0	0.011916820441995811	0.0
Sample61	0.985226765255931	0.0	0.014773234744068886	0.0
Sample62	1.0	0.0	0.0	0.0
Sample63	1.0	0.0	0.0	0.0
Sample64	1.0	0.0	0.0	0.0
Sample65	1.0	0.0	0.0	0.0
Sample66	0.9986138354836301	0.0	0.0013861645163698907	0.0
Sample67	1.0	0.0	0.0	0.0
Sample68	1.0	0.0	0.0	0.0
Sample69	0.9945053327740978	0.0	0.005494667225902122	0.0
Sample70	1.0	0.0	0.0	0.0
Sample71	1.0	0.0	0.0	0.0
Sample72	1.0	0.0	0.0	0.0
Sample73	0.9815748316039897	0.0	0.01842516839601018	0.0
Sample74	1.0	0.0	0.0	0.0
Sample75	1.0	0.0	0.0	0.0
Sample76	1.0	0.0	0.0	0.0
Sample77	0.9853651288391757	0.0	0.014634871160824249	0.0
Sample78	1.0	0.0	0.0	0.0
Sample79	0.9963016473396888	0.0	0.0036983526603111888	0.0
Sample80	0.9873026084567615	0.0	0.01269739154323844	0.0
Sample81	1.0	0.0	0.0	0.0
Sample82	0.9883433766067229	0.0	0.011656623393277077	0.0
Sample83	1.0	0.0	0.0	0.0
Sample84	0.9906096412967947	0.0	0.009390358703205226	0.0
Sample85	0.998836291203717	0.0	0.00116370879628298	0.0
Sample86	0.9840834335229851	0.0	0.015916566477014903	0.0
Sample87	1.0	0.0	0.0	0.0
Sample88	1.0	0.0	0.0	0.0
Sample89	1.0	0.0	0.0	0.0
Sample90	1.0	0.0	0.0	0.0
Sample91	0.9942070511987277	0.0	0.0057929488012722526	0.0
Sample92	1.0	0.0	0.0	0.0
Sample93	1.0	0.0	0.0	0.0
Sample94	0.9886469845218923	0.0	0.011353015478107744	0.0
Sample95	1.0	0.0	0.0	0.0
Sample96	1.0	0.0	0.0	0.0
Sample97	1.0	0.0	0.0	0.0
Sample98	1.0	0.0	0.0	0.0
Sample99	0.99720627343492	0.0	0.0027937265650800416	0.0
Sample100	0.9697911446766916	0.0	0.03020885532330846	0.0
