SBS1	SBS2
Sample1	0.415841584158416	0.584158415841584
Sample2	0.475409836065574	0.524590163934426
Sample3	0.454545454545455	0.545454545454545
Sample4	0.5	0.5
Sample5	0.521276595744681	0.478723404255319
Sample6	0.616071428571429	0.383928571428571
Sample7	0.481818181818182	0.518181818181818
Sample8	0.510869565217391	0.489130434782609
Sample9	0.464646464646465	0.535353535353535
Sample10	0.44047619047619	0.55952380952381
Sample11	0.577777777777778	0.422222222222222
Sample12	0.538461538461538	0.461538461538462
Sample13	0.372727272727273	0.627272727272727
Sample14	0.526785714285714	0.473214285714286
Sample15	0.526785714285714	0.473214285714286
Sample16	0.522222222222222	0.477777777777778
Sample17	0.5234375	0.4765625
Sample18	0.508333333333333	0.491666666666667
Sample19	0.548672566371681	0.451327433628319
Sample20	0.52991452991453	0.47008547008547
Sample21	0.535353535353535	0.464646464646465
Sample22	0.528301886792453	0.471698113207547
Sample23	0.443396226415094	0.556603773584906
Sample24	0.494623655913978	0.505376344086022
Sample25	0.471698113207547	0.528301886792453
Sample26	0.54	0.46
Sample27	0.467289719626168	0.532710280373832
Sample28	0.505263157894737	0.494736842105263
Sample29	0.5	0.5
Sample30	0.64957264957265	0.35042735042735
Sample31	0.541666666666667	0.458333333333333
Sample32	0.436619718309859	0.563380281690141
Sample33	0.510869565217391	0.489130434782609
Sample34	0.51063829787234	0.48936170212766
Sample35	0.546218487394958	0.453781512605042
Sample36	0.5	0.5
Sample37	0.433333333333333	0.566666666666667
Sample38	0.53125	0.46875
Sample39	0.588235294117647	0.411764705882353
Sample40	0.559139784946237	0.440860215053763
Sample41	0.573333333333333	0.426666666666667
Sample42	0.539130434782609	0.460869565217391
Sample43	0.480392156862745	0.519607843137255
Sample44	0.484848484848485	0.515151515151515
Sample45	0.583333333333333	0.416666666666667
Sample46	0.435294117647059	0.564705882352941
Sample47	0.427272727272727	0.572727272727273
Sample48	0.485981308411215	0.514018691588785
Sample49	0.531531531531532	0.468468468468468
Sample50	0.5	0.5
Sample51	0.549019607843137	0.450980392156863
Sample52	0.458823529411765	0.541176470588235
Sample53	0.604938271604938	0.395061728395062
Sample54	0.378640776699029	0.621359223300971
Sample55	0.45045045045045	0.54954954954955
Sample56	0.416666666666667	0.583333333333333
Sample57	0.532710280373832	0.467289719626168
Sample58	0.480769230769231	0.519230769230769
Sample59	0.490909090909091	0.509090909090909
Sample60	0.461538461538462	0.538461538461538
Sample61	0.53921568627451	0.46078431372549
Sample62	0.404040404040404	0.595959595959596
Sample63	0.523809523809524	0.476190476190476
Sample64	0.43956043956044	0.56043956043956
Sample65	0.561797752808989	0.438202247191011
Sample66	0.490384615384615	0.509615384615385
Sample67	0.610526315789474	0.389473684210526
Sample68	0.386138613861386	0.613861386138614
Sample69	0.477777777777778	0.522222222222222
Sample70	0.476744186046512	0.523255813953488
Sample71	0.490566037735849	0.509433962264151
Sample72	0.49	0.51
Sample73	0.5	0.5
Sample74	0.418604651162791	0.581395348837209
Sample75	0.410526315789474	0.589473684210526
Sample76	0.438775510204082	0.561224489795918
Sample77	0.483870967741935	0.516129032258065
Sample78	0.478260869565217	0.521739130434783
Sample79	0.557692307692308	0.442307692307692
Sample80	0.485981308411215	0.514018691588785
Sample81	0.46	0.54
Sample82	0.485436893203884	0.514563106796116
Sample83	0.489583333333333	0.510416666666667
Sample84	0.518518518518518	0.481481481481481
Sample85	0.586538461538462	0.413461538461538
Sample86	0.4	0.6
Sample87	0.528301886792453	0.471698113207547
Sample88	0.586538461538462	0.413461538461538
Sample89	0.490384615384615	0.509615384615385
Sample90	0.53125	0.46875
Sample91	0.389473684210526	0.610526315789474
Sample92	0.505263157894737	0.494736842105263
Sample93	0.537037037037037	0.462962962962963
Sample94	0.529411764705882	0.470588235294118
Sample95	0.504854368932039	0.495145631067961
Sample96	0.43298969072165	0.56701030927835
Sample97	0.535353535353535	0.464646464646465
Sample98	0.385542168674699	0.614457831325301
Sample99	0.53125	0.46875
Sample100	0.641304347826087	0.358695652173913
