 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.06461690861148306	0.10563847622423272	0.045231010583839604	0.314805396151832
SBS2	0.2636016278261226	0.7709802505023403	0.6689506584217259	0.49768040540702874
SBS3	0.461408312029006	0.3483329297852542	0.2181976489697146	0.7621570812051257
SBS4	0.18590808996813113	0.20474422899331546	0.08525834241331942	0.5867160347224365
SBS5	0.5253491085864205	0.4953340029281086	0.3610780413795477	0.7899260259952813
SBS6	0.17142299832669283	0.21870181751545303	0.12320968851000402	0.43354978389341436
SBS7a	0.6328276639738745	0.905810972242049	0.9970115289808966	0.5279311509589111
SBS7b	0.9484738023707975	0.6088881759203585	0.748838349764021	0.4492231823260926
SBS7c	0.3238413774711012	0.21831516237759252	0.08160702263030106	0.2804942387347591
SBS7d	0.29967225835362	0.20847954703810434	0.08323958118511265	0.32159403730553815
SBS8	0.20773202589944673	0.19970051304864245	0.05295490392204516	0.5599936015262104
SBS9	0.2953408168680218	0.2234938626628893	0.09698959709520749	0.5077417767233282
SBS10a	0.03882496771798205	0.09335068466875818	0.01626442341533707	0.2237305508424876
SBS10b	0.29084945258819705	0.2774626532435581	0.29673734303067323	0.3105510878623563
SBS11	0.6968292880108253	0.5371428931387799	0.5935610754949036	0.4576683157044299
SBS12	0.1871649289065982	0.16465255706765203	0.046511066652727306	0.3915253715631696
SBS13	0.02522128543280766	0.061748262440866175	0.017541994859271215	0.28013244348621436
SBS14	0.05258150308505671	0.10206430870529104	0.017737379255818086	0.37291950322750045
SBS15	0.11879890346857791	0.2210376307361469	0.10674183168746776	0.41651922077888237
SBS16	0.15060814075166906	0.14274388207640465	0.06111679408061366	0.35484147913860764
SBS17a	0.07106042289666137	0.10082257992257271	0.011555105992094528	0.15378223990772732
SBS17b	0.04834444992138853	0.006160226558033832	0.0023670338490202614	0.11546774321283737
SBS18	0.14889960109314715	0.23423989758611075	0.09933203378389888	0.5419532515746844
SBS19	0.6739402913001917	0.39142961230207385	0.36002593202149713	0.40473896629400474
SBS20	0.13898388227395198	0.1621466621011678	0.07051072050683005	0.4504828086643813
SBS21	0.1356232032335125	0.09481052873608464	0.021202346819109708	0.2672042440985192
SBS22	0.09409147478837576	0.04389019698635066	0.013140630948542453	0.19064000194257702
SBS23	0.6843876975611725	0.35191668461411374	0.33621156079898395	0.371081247335577
SBS24	0.1410404283365413	0.16723272182506854	0.08827143588970243	0.42078306845129143
SBS25	0.32763420877432137	0.30161188543659556	0.1627438891084747	0.6501148836736569
SBS26	0.16303435893475715	0.13585366239981278	0.03602732409716658	0.3646194040886256
SBS27	0.09811939292226257	0.0999475213757709	0.06659521947685443	0.18687460707372505
SBS28	0.08932646456767845	0.01947908620571903	0.014377818286358757	0.15311811586029145
SBS29	0.07809902669028068	0.1449425789960599	0.0421213437389778	0.46240817090514374
SBS30	0.7317745833619017	0.7277826036407798	0.7252153384553148	0.5653414490629418
SBS31	0.7803776394445225	0.30249396370195547	0.3168189237927458	0.4389857537096933
SBS32	0.4186133939469815	0.42729360220611445	0.32881366400463663	0.5173857298692415
SBS33	0.08785650888246321	0.0637057654908787	0.03767091612995854	0.1946389548018006
SBS34	0.12476846505185801	0.12393848536983687	0.01763593628030402	0.20438056221800038
SBS35	0.42948617547876267	0.20177406034431178	0.1669324169894716	0.48542829379073393
SBS36	0.09637708233335918	0.17809267278200847	0.058773633969664396	0.44040678079588746
SBS37	0.22369194422970728	0.18495333812271753	0.054491270647397116	0.455345314907714
SBS38	0.05765445474388686	0.17802745802968623	0.03360212841732879	0.48196156957433045
SBS39	0.1995233973410231	0.18166339929139574	0.08502116808817273	0.5537518842294444
SBS40	0.5285887907490945	0.55296106330775	0.39516858150711587	0.8645587798249993
SBS41	0.30316772316843266	0.25235216627197954	0.09979885676240496	0.5011589377406475
SBS42	0.4021574751214847	0.34275451012363245	0.2485773061976182	0.4803098852806196
SBS43	0.061191712718724145	0.02329384437274884	0.005344633958425993	0.1789561168500473
SBS44	0.16200456405230357	0.1998774698046153	0.054309487621955865	0.501215287614442
SBS45	0.04281135224854715	0.14611210263832652	0.016201877836542367	0.47616500963078134
SBS46	0.2796634214218273	0.2905342333855898	0.14792313305066784	0.4705267757912732
SBS47	0.2756605930762581	0.26053248526110806	0.211174120263792	0.403330775981527
SBS48	0.007402834123661606	0.008036072579938436	0.0010624537858280325	0.044634907780337296
SBS49	0.013174841887328648	0.06636670356200303	0.003419716671759776	0.2236987958340224
SBS50	0.37720819805766803	0.4246914429719645	0.46508085269443666	0.4776138555212823
SBS51	0.1884165098633157	0.13019809744196975	0.0769531870071305	0.39122342568383073
SBS52	0.04091182725527165	0.07552410152434341	0.010060973874559398	0.23098476387660827
SBS53	0.09441833012701706	0.19240996170627644	0.04782338019353838	0.44983867523396714
SBS54	0.06891779133163733	0.035916914734086536	0.010579170511153868	0.2048751870731811
SBS55	0.12160522860255618	0.05169497740013085	0.03973182060295566	0.2064996832309146
SBS56	0.04200948462461673	0.0939491753823386	0.005262880271435066	0.283735966637801
SBS57	0.34936629016001897	0.2688490013323752	0.14823031535512887	0.4375919265247138
SBS58	0.4400960386784859	0.3293926897492183	0.2794015935826255	0.5624380180596503
SBS59	0.01986961787158248	0.029907059376564793	0.004658206952162458	0.11622125255208526
SBS60	0.04850633887512712	0.00703642256003878	0.006637796094182247	0.09276136829307036
SBS84	0.31029974757791323	0.2935217359772768	0.18690875220740244	0.37902470787327114
SBS85	0.30186992484851016	0.24303953513711807	0.08089178389824747	0.4271644276779001
