 	Denovo A	Denovo B	Denovo C
SBS1	0.1072523191742194	0.3783474062420946	0.0937532668543537
SBS2	0.11460784907432509	0.3433284239539063	0.6802363542064181
SBS3	0.4288905306288845	0.846032688080104	0.39627145791600227
SBS4	0.13292355465037242	0.6240690754259844	0.1605352613154577
SBS5	0.42849336953815775	0.8377260371429078	0.4299915425472518
SBS6	0.14094368285386183	0.47799322959257473	0.14654782972629943
SBS7a	0.12700648827080507	0.416306290252476	0.5249818880618246
SBS7b	0.13119137192519903	0.4194497508997912	0.25063074281141107
SBS7c	0.21825174710788586	0.3335341389745857	0.1216054194322429
SBS7d	0.18328181964096601	0.28253790801622336	0.1124135773025372
SBS8	0.2139940176186994	0.6722569314532675	0.15668755635498666
SBS9	0.6806542220872741	0.5261867691126865	0.18438813942238252
SBS10a	0.06061517860049981	0.2724033677403137	0.09483226984434401
SBS10b	0.13797298817480907	0.28357972517466157	0.20748059817123465
SBS11	0.12919913946220507	0.41524946164317134	0.2484933513604468
SBS12	0.30153017552352135	0.41008456009506844	0.1381365956016538
SBS13	0.13693212623577922	0.3118643950737716	0.7218598609737767
SBS14	0.08350069686469486	0.40357736509918274	0.07677155315351403
SBS15	0.12071089539699476	0.43279451733737906	0.13937952551246102
SBS16	0.215614586988218	0.4054746663812283	0.193371637143529
SBS17a	0.4150236389334585	0.15093821418870912	0.0331536854633937
SBS17b	0.8681029690836055	0.06771465625254858	0.019837622748068107
SBS18	0.13826698475346422	0.5904669424008187	0.18749173216683512
SBS19	0.13049636484750038	0.40095637048968547	0.23517446772269435
SBS20	0.11946544347480659	0.4268836522386896	0.0887404406871557
SBS21	0.15827116994910617	0.25393537465537386	0.07123896250392148
SBS22	0.11627643489519812	0.26447189868032683	0.05620389938824899
SBS23	0.11153244404826712	0.3749463246236445	0.1521875479754513
SBS24	0.14079662831965845	0.5045061822436854	0.1388860093305464
SBS25	0.36755364185194184	0.7287483826808162	0.32446509956102776
SBS26	0.34237156239942457	0.3866399714962051	0.12252146287608068
SBS27	0.07660982316400688	0.22191737211108054	0.08796306100030149
SBS28	0.41398479877938454	0.13595813657623435	0.04060562986609284
SBS29	0.10186749675878426	0.5462190821297468	0.12953388897131835
SBS30	0.16757083656136884	0.5144519199247855	0.4014928794552344
SBS31	0.18875441173919016	0.480083816959222	0.16568137025030494
SBS32	0.16734428565271442	0.516055971825364	0.2679905420475015
SBS33	0.12138331617682463	0.21150745328156317	0.12806807536904197
SBS34	0.08331591064964394	0.23990732707506868	0.05064199948048831
SBS35	0.1876916598156323	0.5502590166598843	0.18682421926755743
SBS36	0.09582034613845192	0.4880208662837302	0.18618292283058058
SBS37	0.4048216425733867	0.4639631576811919	0.15042555665872093
SBS38	0.05796961318655247	0.3465987699517211	0.060233719899419946
SBS39	0.3258159039511095	0.648405956047669	0.4707381909825975
SBS40	0.48850085263122867	0.9014948772350154	0.5528671181422149
SBS41	0.370099920777629	0.5333935054617572	0.3327033671552284
SBS42	0.16304810410413473	0.5107741461162303	0.1629769570726518
SBS43	0.18239641025269948	0.17751906017727792	0.0365292761904038
SBS44	0.19752964057324784	0.5342742567597484	0.13500982529272465
SBS45	0.04498182506264348	0.3924298693635837	0.07708250065102529
SBS46	0.40919159092038715	0.4645856731545004	0.19209879644975814
SBS47	0.2032430971691337	0.40404198261179225	0.18467100806552517
SBS48	0.009330881463022744	0.05001555674772573	0.029915068028350644
SBS49	0.01242588769691344	0.1553998796994287	0.02022436613061951
SBS50	0.1761358016432536	0.5116959761651978	0.2589445215213444
SBS51	0.19224174505733782	0.43925239030608254	0.15974904753984887
SBS52	0.04961590281283701	0.24654174974678966	0.1279946417577802
SBS53	0.07687201664787457	0.31814692846461257	0.0703007380195455
SBS54	0.1816018481963667	0.2568910416161376	0.0819334350926697
SBS55	0.10756680976710786	0.1842493866105297	0.07399600378988547
SBS56	0.07944431709367294	0.3408109879444645	0.1195600274355132
SBS57	0.3243702567214307	0.44578835239885817	0.19877709584383352
SBS58	0.27579922280865954	0.5492339100130185	0.37757843848937456
SBS59	0.07374391368381539	0.1765414367577064	0.02619169908473884
SBS60	0.0584558187624411	0.07409219854589177	0.017758656711484466
SBS84	0.1378751216140628	0.4038042933150727	0.1350955286358313
SBS85	0.25355519327318254	0.4487914645536948	0.17110437034322
