 	Denovo A	Denovo B	Denovo C	Denovo D	Denovo E
SBS1	0.1198763359816386	0.26496359486361354	0.2226496464664347	0.2659624943590664	0.24652072778304257
SBS2	0.1745903511762048	0.18673074910427	0.04420960101863525	0.05321904587670134	0.17111634358289762
SBS3	0.7674163228373286	0.7277918251446855	0.7576532304602436	0.7816965794161922	0.7468025327299136
SBS4	0.4158577723741965	0.49240996815196403	0.5115425919110742	0.459474649046379	0.44140435321660854
SBS5	0.680345847063751	0.6112056916019143	0.6377824319257578	0.6988753502995206	0.6739136761429709
SBS6	0.24887029210748146	0.32060312240397515	0.3120119451947493	0.33196873110135816	0.3736770802816639
SBS7a	0.27247215728525553	0.26897310834883137	0.127403136080112	0.14061218730571912	0.25468171930643924
SBS7b	0.31350804665768517	0.3077987979952608	0.21875465502386726	0.2862020264677517	0.3101364540336806
SBS7c	0.2630119232107899	0.31290747774363026	0.2963003413602632	0.35803483319834994	0.3304996706196759
SBS7d	0.1885282661929477	0.19225369633531564	0.21136159348923544	0.2234732377513844	0.19055829676611136
SBS8	0.5603539054233191	0.570038891392158	0.5682473669074511	0.5366882978626276	0.5240206679869526
SBS9	0.5674227519682195	0.5277365614062852	0.5802192010971019	0.5097105358307435	0.4991731086042531
SBS10a	0.09514092025415466	0.11826024677978708	0.1338175359180297	0.20110036378727958	0.1724471916327659
SBS10b	0.13498166708920167	0.24824931227332614	0.14739501419298984	0.21518953304426225	0.1647565598272378
SBS11	0.3181650945468658	0.23638951504554673	0.1751186507261019	0.2665057834126401	0.3761973720506122
SBS12	0.35361394009949076	0.3265990074042078	0.3377318619228742	0.41808657836575835	0.3278398746002881
SBS13	0.1766320589890824	0.170690422202039	0.2285221011361953	0.23480589680845854	0.19852078383158045
SBS14	0.24808845447099492	0.28375919648447767	0.2711006436422597	0.20988349183798372	0.2667623148415732
SBS15	0.2383247137018728	0.3031788071678019	0.29803030915915096	0.30104286765060606	0.33591161906196165
