 	Denovo A	Denovo B	Denovo C
SBS1	0.2531612507637846	0.2539835812848932	0.26196325713323754
SBS2	0.4131748231376122	0.418888322102382	0.4201256892134646
SBS3	0.8394821754589332	0.8372571993480955	0.8368961601175757
SBS4	0.4982451718460523	0.514302125153685	0.4993116681869685
SBS5	0.8191262264734157	0.8162307436933693	0.8156189142201133
SBS6	0.3654377969756728	0.3642767873089303	0.3747412781722259
SBS7a	0.43153709524514827	0.4331792869036928	0.43534752583738645
SBS7b	0.3815179920105456	0.3820761038552285	0.37900763807113036
SBS7c	0.30185034675034694	0.31346512341521593	0.3173796199994625
SBS7d	0.29028910210257375	0.28507270644487304	0.2734320787821928
SBS8	0.56140738695633	0.5695389121772095	0.561914481435165
SBS9	0.5840627713965433	0.5782116046640517	0.5666235773537467
SBS10a	0.19291100937417782	0.20408999642618253	0.19037009339328503
SBS10b	0.28426434892981944	0.2944194525289272	0.2973281206918382
SBS11	0.38503036014152536	0.3772271580661619	0.38179156210819465
SBS12	0.4273403545401907	0.4190386473439891	0.4186631704872237
SBS13	0.4651506134595933	0.4615048371798489	0.4621660051621632
SBS14	0.2797850115358418	0.29557354671916036	0.2950029926879153
SBS15	0.3274620531695486	0.3285306034301586	0.3363712894411105
SBS16	0.38077811006069107	0.3793384531436399	0.37166460780145594
SBS17a	0.19290188812653475	0.1886180391973682	0.191027045792602
SBS17b	0.18391876251053385	0.18097484024558708	0.16609438561965262
SBS18	0.45948170019838463	0.47715090866421916	0.46592458933708114
SBS19	0.36486404672586625	0.36758070814088484	0.36721888281336423
SBS20	0.31974780791108126	0.333518229179936	0.3305293873158436
SBS21	0.2735505147887728	0.26905544329245334	0.2652677585975791
SBS22	0.27079485148239424	0.2767818252643175	0.2637003060534513
SBS23	0.33398732211724325	0.3304107469838623	0.3253521098271739
SBS24	0.4365709686289678	0.44350241303887983	0.43274346438706646
SBS25	0.7051648240270112	0.7098802689745489	0.702114454835044
SBS26	0.4126167656883558	0.40569531071092035	0.4042520111462964
SBS27	0.2216138778340695	0.22678113720443405	0.21741781179366504
SBS28	0.18895420776594085	0.1843709863329276	0.17307751898007107
SBS29	0.4225233887950868	0.43454485141175114	0.4298558873973204
SBS30	0.48707673958735276	0.48583422197275383	0.4865739592535895
SBS31	0.42290773669293813	0.42796123637727135	0.4186749140197379
SBS32	0.4645133969544162	0.4589385199252618	0.46937742668547533
SBS33	0.24582431576306807	0.23720490356103907	0.253688233430043
SBS34	0.2107341018805895	0.21061649930355775	0.19879347433665773
SBS35	0.47772792114989626	0.48642654234649896	0.4798574716663755
SBS36	0.3809115330116113	0.3997812183071574	0.3846811317681754
SBS37	0.4987088680744314	0.4908710738356542	0.48907293137094654
SBS38	0.22418215300508604	0.23611258177635375	0.23109630138402648
SBS39	0.7249874710240122	0.7216754382604545	0.7292173570977301
SBS40	0.8993511267687762	0.9010782451557566	0.8941634068771196
SBS41	0.5596362731025146	0.5589584515860947	0.5552112596927855
SBS42	0.4532992644994094	0.45523513347687505	0.4427661242638712
SBS43	0.23061988371418118	0.21412768948223415	0.22483114220107303
SBS44	0.44662786216087813	0.44809042650361786	0.4535071802123406
SBS45	0.2639335090720696	0.28094988897879414	0.2706192860730079
SBS46	0.48639696992259407	0.483690261240617	0.48172904241369163
SBS47	0.38382046764797806	0.3871883413622875	0.37269107963286907
SBS48	0.07663329902611593	0.08760674203576213	0.09122753206742773
SBS49	0.11468482829153648	0.11724784366400298	0.12958965673796252
SBS50	0.44991122015668283	0.4458587267185008	0.45273748936418845
SBS51	0.42006102092340514	0.40668452099476715	0.40011387971522394
SBS52	0.23066643992353075	0.24036364355290196	0.23172960413570154
SBS53	0.24225338122893636	0.2487315672208391	0.24605153554134984
SBS54	0.27716315303300987	0.2737633114958915	0.27787490266755444
SBS55	0.2213795263323204	0.20611295893999848	0.2122051457164047
SBS56	0.2601670362163868	0.27128880560931523	0.25708924206065764
SBS57	0.4232605315180573	0.4319220758453364	0.42933427969506355
SBS58	0.5278179865368506	0.5307696765105768	0.5282217215488181
SBS59	0.15420863015485398	0.1483822910175645	0.15769185522961393
SBS60	0.10454459677507977	0.09039157263579078	0.09784084944409499
SBS84	0.36972428285265435	0.3637360988500036	0.36982262565182655
SBS85	0.44059515012285566	0.4444034876813383	0.43038321837900506
