 	Denovo A	Denovo B	Denovo C	Denovo D	Denovo E
SBS1	0.43619185042327446	0.15345488436347265	0.03668617039598576	0.061562542579617796	0.09787493851478002
SBS2	0.41768445161610357	0.10824532300726752	0.0505206681354744	0.016712044451346997	0.6732402770898896
SBS3	0.7767112737726333	0.43097597524756726	0.915180894753156	0.9075569125332632	0.41056969819056
SBS4	0.6036413091992073	0.18223688588509857	0.5071391040509645	0.5427776902858013	0.16704670393982557
SBS5	0.8142000544776168	0.4248631045328175	0.8038820149784646	0.7281446071178619	0.4426900210664775
SBS6	0.5265127336074472	0.18137229626498574	0.19027376812762264	0.16439971843775925	0.15162108249458317
SBS7a	0.49253080467430144	0.13179679237280473	0.12163801353584847	0.04532942182786459	0.5217364813636283
SBS7b	0.4679452955990838	0.14458074687305944	0.23431878762415637	0.12311222009583578	0.25299405295674593
SBS7c	0.30593318439119765	0.20978746674259496	0.38767706443817707	0.36696259448740154	0.12867250468262192
SBS7d	0.27180540512831697	0.1684454948921783	0.3023217643644045	0.26675918325200476	0.11844811271538513
SBS8	0.6313580380593183	0.24939303968447435	0.6202935003835266	0.6781697261379461	0.16602471315728695
SBS9	0.4884435471221863	0.6672721680020199	0.6646590765474972	0.5695745298297733	0.2010449550925637
SBS10a	0.2740269263087376	0.08708640180761473	0.20312149853070816	0.17376778252037173	0.09751785991424222
SBS10b	0.3190732005152914	0.1474079374969013	0.12599830785197574	0.08854447386046205	0.20976824558938978
SBS11	0.45002278357562087	0.13809749019973316	0.2644810028011809	0.17871440968400232	0.2511931523010775
SBS12	0.37771127653152536	0.27044537359023835	0.504597918574025	0.44660055789477116	0.1488029464377837
SBS13	0.23799593049625622	0.10662099288221749	0.4014545959822442	0.45276929273330635	0.7245617448292155
SBS14	0.4014348404822249	0.12042780861011437	0.2715672349980489	0.3152890658150125	0.08114256568037859
SBS15	0.47706752156540577	0.15930925255912853	0.1688780306711385	0.14322157177500117	0.14364273782895876
SBS16	0.3686471587902054	0.20030122901343084	0.49558968685356264	0.43634761456144133	0.20106635480653168
SBS17a	0.13063122629777735	0.3621508861456857	0.24208819851659424	0.24071695115696534	0.04550706371737645
SBS17b	0.06492713161381924	0.8869688437725357	0.14879994331088353	0.14957199128265564	0.03238941207803192
SBS18	0.5898351412626229	0.189915301665187	0.41104859877796185	0.4337817305398881	0.19348161423984656
SBS19	0.42198349330133134	0.13792943662494983	0.29385538421127255	0.2219577408142417	0.23786475664326456
SBS20	0.42925350776135596	0.14702041212140604	0.3056921787926389	0.3195032663913502	0.09380421043122067
SBS21	0.24185652400520186	0.14524801442702417	0.2853941844586595	0.2411140754476082	0.07711583866313276
SBS22	0.23045362952898318	0.11795032539690065	0.3560238549183914	0.325837834181411	0.06080004211049217
SBS23	0.3951850020020624	0.12312960492830094	0.2790360164006722	0.19250575308229245	0.15565377719822737
SBS24	0.4853617524168913	0.1805928814337352	0.421476042465011	0.4436528202876304	0.14503238300674925
SBS25	0.6953881028685085	0.3765176296938175	0.7013934174671277	0.6852342767553617	0.33614660298935206
SBS26	0.36085242200260614	0.3085601357322112	0.47299226012563134	0.4054057121787503	0.13399313350015352
SBS27	0.2132036104253069	0.08354873658728101	0.22850521501458476	0.1940514028123249	0.09036687568047952
SBS28	0.12191876442692418	0.39329033037818806	0.2399753496753051	0.18246755645740032	0.04984065395571802
SBS29	0.5370533727985917	0.15643529941859569	0.375166005009933	0.4458298370157394	0.13503629928962857
SBS30	0.5671945481443855	0.17864617104919933	0.2990050910667903	0.18499889129832958	0.4027683750659228
SBS31	0.4817862819572387	0.19923222116964612	0.4057864295810485	0.35702928324028294	0.17217653988761406
SBS32	0.5340091460330236	0.1818923051234318	0.361548407430762	0.330986182697363	0.2725660872688108
SBS33	0.20250294141975766	0.1106413115330871	0.21243523453456348	0.19403358371209778	0.13222618013439147
SBS34	0.23066313129172922	0.0945139150900991	0.26238688109463504	0.18612969978142502	0.05426387940358346
SBS35	0.5202509350027317	0.21232986121159325	0.5053619545738514	0.5340466518717676	0.19410736918329607
SBS36	0.48340379161438296	0.13912484804233904	0.36888631098573144	0.35659654849168465	0.19054064543962124
SBS37	0.42243374203908424	0.3679988947145547	0.5886475817295213	0.533496099239274	0.16381300842700008
SBS38	0.36440468496670775	0.09299206767613133	0.17037345877987753	0.19400835430259367	0.0632588322873141
SBS39	0.5534367395662733	0.3147674362233599	0.8020061602104721	0.8420976534913313	0.48146921306193247
SBS40	0.8634664205099657	0.4915369299471619	0.8827929570627164	0.8310330167526899	0.5655585603499192
SBS41	0.49052654867710443	0.3539216867407573	0.6308519589995448	0.5465176783895367	0.3434471947660068
SBS42	0.5066400613109107	0.1851914437948612	0.45607693937635885	0.38352521719419674	0.1690268605533909
SBS43	0.15394973752064367	0.16798939408363123	0.19719238560724606	0.26412214039455506	0.04293717316264645
SBS44	0.5296906995890472	0.21378536270423643	0.4597288630887726	0.41067758157425405	0.14321066600748522
SBS45	0.39941304681297773	0.08688709487048496	0.23570193414343754	0.2618162466304145	0.08020745166964827
SBS46	0.4453371480176851	0.3741211786369376	0.4837948799956068	0.461488137304477	0.20494577279059822
SBS47	0.4085509029465879	0.21122799318818464	0.36210839573065234	0.2739191344084123	0.19042730433276023
SBS48	0.049017913980460515	0.01256837350757134	0.04108363428960349	0.037577283702547315	0.03034349055506491
SBS49	0.16352409419535485	0.03138009702893252	0.0694368893076952	0.08262032192724655	0.021411653556095422
SBS50	0.524799914559874	0.19943283796829514	0.3358462150089907	0.36214205500581564	0.2634805235222941
SBS51	0.4229870125895434	0.20242605372668687	0.41092658192975773	0.3996383916373043	0.166413789895959
SBS52	0.23875211382630124	0.06754770976109115	0.235751367812852	0.18688232608419586	0.1299953053008226
SBS53	0.33304542066357123	0.10012263565909385	0.18048824188131918	0.18192512603762334	0.07374112204464134
SBS54	0.24197156857494095	0.16206427419568425	0.29669637657606607	0.2547926721341194	0.0888055209528984
SBS55	0.16709384920149017	0.10203568362253435	0.19316401659899562	0.22623642119641452	0.07775929744351151
SBS56	0.3341901100027056	0.10819767197749708	0.29010533019632945	0.2521127383774795	0.12316322605345786
SBS57	0.43164386351966	0.3076264967046418	0.4624952071294388	0.40203858553101113	0.20853249508910554
SBS58	0.5566982691269189	0.27028541697173036	0.46068551759991416	0.392975983187165	0.38434007929195046
SBS59	0.16226865171206528	0.09247916613136886	0.1305230617937334	0.20330885722562408	0.0291985164467623
SBS60	0.06377743050763351	0.05495706650173926	0.08032783549716094	0.11123024394966918	0.019888836771375873
SBS84	0.39165707865426236	0.14499737390586598	0.39587626541584464	0.34415556649299806	0.1404631446631628
SBS85	0.4204424416743763	0.2417869641811139	0.5300283099897372	0.4376885088940755	0.17969550301197557
