 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.00027856102532541893	0.00027856102532541893	0.00027856102532541893	0.00027856102532541893
SBS2	0.4805747085458053	0.4805747085458053	0.4805747085458052	0.4805747085458053
SBS3	0.08220557670372441	0.08220557670372441	0.08220557670372441	0.08220557670372441
SBS4	0.04706799961373409	0.04706799961373409	0.04706799961373409	0.04706799961373409
SBS5	0.17001316234177066	0.17001316234177066	0.17001316234177077	0.17001316234177077
SBS6	0.023349334197054983	0.023349334197054983	0.023349334197054983	0.023349334197054983
SBS7a	0.24530373583509724	0.24530373583509724	0.24530373583509724	0.24530373583509735
SBS7b	0.2994298638444244	0.2994298638444244	0.2994298638444244	0.2994298638444244
SBS7c	0.012553362790795108	0.012553362790795108	0.012553362790795108	0.012553362790795108
SBS7d	0.14477363509470953	0.14477363509470953	0.14477363509470953	0.14477363509470953
SBS8	0.047255135507192736	0.04725513550719285	0.047255135507192736	0.047255135507192736
SBS9	0.043272951542913995	0.043272951542913995	0.043272951542913995	0.043272951542913995
SBS10a	0.03470990976543964	0.03470990976543964	0.03470990976543964	0.03470990976543964
SBS10b	0.26857504792982256	0.26857504792982256	0.26857504792982256	0.26857504792982256
SBS11	0.35997089836351037	0.35997089836351037	0.35997089836351037	0.3599708983635105
SBS12	0.035985541696662904	0.035985541696662904	0.035985541696662904	0.035985541696662904
SBS13	0.003036927457213512	0.003036927457213512	0.003036927457213512	0.003036927457213512
SBS14	0.01123312793024922	0.01123312793024922	0.01123312793024922	0.01123312793024922
SBS15	0.006091001921453509	0.006091001921453509	0.006091001921453509	0.006091001921453509
SBS16	0.0795057240687771	0.0795057240687771	0.0795057240687771	0.0795057240687771
SBS17a	0.01862991737100972	0.01862991737100972	0.01862991737100972	0.01862991737100972
SBS17b	0.0026763595424468267	0.0026763595424468267	0.0026763595424468267	0.0026763595424468267
SBS18	0.021710908150177066	0.021710908150177066	0.021710908150177066	0.021710908150177066
SBS19	0.1892930800573881	0.1892930800573881	0.1892930800573881	0.1892930800573881
SBS20	0.002263124029689423	0.002263124029689423	0.002263124029689423	0.002263124029689423
SBS21	0.004291132771330752	0.004291132771330752	0.004291132771330752	0.004291132771330752
SBS22	0.002384390045449103	0.002384390045449103	0.002384390045449103	0.002384390045449103
SBS23	0.08543465837507269	0.08543465837507269	0.08543465837507269	0.08543465837507269
SBS24	0.028925385098228507	0.028925385098228507	0.028925385098228507	0.028925385098228507
SBS25	0.09511422274733139	0.09511422274733139	0.09511422274733139	0.09511422274733139
SBS26	0.01739318331120554	0.01739318331120554	0.01739318331120554	0.01739318331120554
SBS27	0.032545524089986455	0.032545524089986455	0.032545524089986455	0.032545524089986455
SBS28	0.005606286150024231	0.005606286150024231	0.005606286150024231	0.005606286150024231
SBS29	0.02664218812871466	0.02664218812871466	0.02664218812871466	0.02664218812871466
SBS30	0.1874749946489085	0.1874749946489085	0.1874749946489085	0.1874749946489085
SBS31	0.09329911661505452	0.09329911661505452	0.09329911661505452	0.09329911661505452
SBS32	0.2688371379502492	0.2688371379502492	0.2688371379502492	0.2688371379502492
SBS33	0.023984832274052237	0.023984832274052237	0.023984832274052237	0.023984832274052237
SBS34	0.0024321750463855984	0.0024321750463855984	0.0024321750463855984	0.0024321750463855984
SBS35	0.051977834795498	0.051977834795498	0.051977834795498	0.051977834795498
SBS36	0.031215567310696635	0.031215567310696635	0.031215567310696635	0.031215567310696635
SBS37	0.04510124590227438	0.04510124590227438	0.04510124590227449	0.04510124590227449
SBS38	0.016470437248772063	0.016470437248772063	0.016470437248772063	0.016470437248772063
SBS39	0.03653865446912752	0.03653865446912752	0.03653865446912752	0.03653865446912752
SBS40	0.19430180059971347	0.19430180059971347	0.19430180059971347	0.19430180059971347
SBS41	0.06435754949281702	0.06435754949281702	0.06435754949281702	0.06435754949281702
SBS42	0.07358893608825945	0.07358893608825945	0.07358893608825945	0.07358893608825945
SBS43	0.006083745918542105	0.006083745918542105	0.006083745918542105	0.006083745918542105
SBS44	0.016445374120684475	0.016445374120684475	0.016445374120684475	0.016445374120684475
SBS45	0.009274780846495356	0.009274780846495356	0.009274780846495356	0.009274780846495356
SBS46	0.0374516301447283	0.0374516301447283	0.0374516301447283	0.0374516301447283
SBS47	0.3021641858572719	0.3021641858572719	0.3021641858572719	0.3021641858572719
SBS48	4.431421730399787e-05	4.431421730399787e-05	4.431421730399787e-05	4.431421730399787e-05
SBS49	0.0011473420402683399	0.0011473420402683399	0.0011473420402683399	0.0011473420402683399
SBS50	0.3400692990445269	0.3400692990445269	0.3400692990445269	0.3400692990445269
SBS51	0.18706597237326372	0.18706597237326372	0.18706597237326372	0.18706597237326372
SBS52	0.004411927901208479	0.004411927901208479	0.004411927901208479	0.004411927901208479
SBS53	0.022432056922076615	0.022432056922076615	0.022432056922076615	0.022432056922076615
SBS54	0.0031954468850984297	0.0031954468850984297	0.0031954468850984297	0.0031954468850984297
SBS55	0.08640085726520008	0.08640085726520008	0.08640085726520008	0.08640085726520008
SBS56	0.0024030164782533614	0.0024030164782533614	0.0024030164782533614	0.0024030164782533614
SBS57	0.15426325136479035	0.15426325136479035	0.15426325136479035	0.15426325136479047
SBS58	0.7513055652578623	0.7513055652578623	0.7513055652578622	0.7513055652578623
SBS59	0.005815896693166289	0.005815896693166289	0.005815896693166289	0.005815896693166289
SBS60	0.006332222625672568	0.006332222625672568	0.006332222625672568	0.006332222625672568
SBS84	0.0658905596985887	0.0658905596985887	0.0658905596985887	0.0658905596985887
SBS85	0.181903501160516	0.181903501160516	0.181903501160516	0.181903501160516
