 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.01507137860527219	0.0006809262797538018	0.0026805686672349838	0.0007820402924094694
SBS2	0.017889660950729414	0.0002308560771763224	0.0005847747106467738	0.00026170702181482763
SBS3	0.34405989521672065	0.04494609670390981	0.08599696016774594	0.04673717437863001
SBS4	0.2519744703135074	0.10927415259407158	0.1743357217672057	0.11771577301003833
SBS5	0.2677570144715742	0.041384921549083575	0.06459398253565318	0.0398737170770711
SBS6	0.051875916103056086	0.001954669380094032	0.01151648192798882	0.001655004046719144
SBS7a	0.027631795307479612	0.0002677551030210168	0.001178035472934158	0.00036270223357859344
SBS7b	0.04987769632351957	0.002189026628209967	0.0026555865253079514	0.0020099522196347364
SBS7c	0.08805682330221276	0.004414607162552264	0.006433038180190365	0.0037085224941694195
SBS7d	0.05612527537746925	0.002313524104360809	0.0027294173305472125	0.0022731141235764474
SBS8	0.18929517733564372	0.03327794754193103	0.04738524023773971	0.04009985683094952
SBS9	0.256535060109228	0.023181837155863527	0.019146424856223976	0.021858219298574788
SBS10a	0.010590551381694402	0.0017688963412092473	0.0011948973126604256	0.0013466118125733395
SBS10b	0.027728151796033274	0.002027727712010874	0.003667289020219844	0.001523249431519491
SBS11	0.04088828528674071	0.00041919084221797576	0.002134736429897366	0.0005989602042389963
SBS12	0.158511753247077	0.009038113037469486	0.03174224896872213	0.010116981619873955
SBS13	0.11219739925683003	0.026003801260846893	0.07559828354728215	0.015352669369165128
SBS14	0.08267264456895274	0.0031185515866144486	0.025426052575964975	0.002590371032204719
SBS15	0.04878050323024208	0.00158907100446537	0.010762713404577795	0.0016067137143160881
SBS16	0.09075396141211667	0.01014356455953136	0.013124368370268535	0.009363482135837264
SBS17a	0.04306428355893133	0.001494719697457847	0.002011016593098325	0.0018913197739152121
SBS17b	0.08595742243713411	0.0039508135153902835	0.00044521663858321237	0.002627711866807214
SBS18	0.13349323467995033	0.06147265592596096	0.07419762805758046	0.04708574873009186
SBS19	0.06167263410914847	0.0031488896332683147	0.00613712247253273	0.0030011637816749204
SBS20	0.11308425412326484	0.004782133561976654	0.03543511481353068	0.0028714435546122186
SBS21	0.15673257349867797	0.007890471992175407	0.06175719041292771	0.009901037252529332
SBS22	0.20771276830382268	0.014085002488495646	0.005052590734693774	0.019640779337084302
SBS23	0.055794968449898175	0.0006191265120210065	0.003770573636477592	0.0006300354687395204
SBS24	0.20727053676452978	0.10332717329609242	0.28510069476710376	0.1176213391673715
SBS25	0.2922239365161998	0.023301180868189553	0.04439508434473305	0.03113170669430232
SBS26	0.17433068001259788	0.008030256212266829	0.030736521319534527	0.009326811381977218
SBS27	0.10976641269095244	0.008794097158742131	0.008918204141838304	0.009381684422407499
SBS28	0.10109024538566747	0.0061402313903075045	0.0006468688267750045	0.0041723836054866625
SBS29	0.18324487508592213	0.11675534008875332	0.1387499912473542	0.12301453892451253
SBS30	0.06532974282272552	0.0014950248747425121	0.0063367344437961215	0.0015169682704431198
SBS31	0.1247513827486163	0.01339645389257138	0.0119781782373658	0.014333033966920539
SBS32	0.07904916767824544	0.018507560059060624	0.010312623619865402	0.021978439216627343
SBS33	0.1107563275173955	0.006849335778950971	0.009172893523324177	0.0059157223041794715
SBS34	0.06211721654860303	0.0014753148814024009	0.0015686562115302394	0.0012331701989265476
SBS35	0.18817718350453871	0.014877920138949619	0.03132936877495651	0.018622481073881425
SBS36	0.09008843755791629	0.04866804504924682	0.04042494322159229	0.03630616918512586
SBS37	0.22567128638872314	0.028190083148481482	0.02352222466356213	0.027449418470731013
SBS38	0.07687412597184551	0.014252944726458328	0.09617942406300073	0.008410112746594867
SBS39	0.3893789746324985	0.09281714863506596	0.1343747488879552	0.08568522144464064
SBS40	0.29389450262809547	0.05418709384457754	0.06640705587221152	0.052101206367707764
SBS41	0.18493911091981574	0.01060438736900815	0.021232734979203638	0.007661115280860109
SBS42	0.11665013688853187	0.008733887960376774	0.023250665904118173	0.007914966264224721
SBS43	0.19219008710097274	0.037212093443502514	0.00454034936882497	0.04568804021645545
SBS44	0.14189079913403546	0.004781424631816522	0.03642188732472984	0.004053879078245282
