 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.009889885366166529	0.008568920914839073	0.08006772786323546	0.2253782139349363
SBS2	0.009057082308584263	0.00053663172088525	0.006991020998808994	0.0233761204386832
SBS3	0.32764655021536715	0.10533666987984469	0.23277583517027967	0.2719115837263142
SBS4	0.21987108045917259	0.1186231967644108	0.1839639190988479	0.2723158261712557
SBS5	0.24956188610348018	0.07784896557400367	0.1642203457997371	0.20241769492837403
SBS6	0.03134704608769623	0.012667739472332573	0.10201084006436179	0.2525477761542443
SBS7a	0.013035669346298628	0.0006328850589385482	0.011525921903393521	0.031670663732942916
SBS7b	0.026632319186459363	0.0039456375678644795	0.016252170915734387	0.026754045159233186
SBS7c	0.07966438872398485	0.013834272926342095	0.019973149141048863	0.024621163758299813
SBS7d	0.040100541641704956	0.007954131502625583	0.01587007760285719	0.023724292690754822
SBS8	0.17462884570154436	0.06385189381365175	0.1407110898320083	0.2719381448715332
SBS9	0.2877010435419505	0.08617209616999244	0.11879198366012866	0.09957432275671663
SBS10a	0.011807630261479019	0.002803398381277189	0.009058243320577142	0.018362542105794466
SBS10b	0.027387549751683005	0.0044040715848667755	0.01780919749352272	0.04742798996015829
SBS11	0.017739271546061253	0.0012917676341189788	0.013352411552473131	0.040196267310510736
SBS12	0.14578308399965323	0.023339431603219385	0.07082428556439302	0.040399496921230016
SBS13	0.07477270104022915	0.00927429080638531	0.02174067882163977	0.06985913182317838
SBS14	0.06344526808185513	0.01811807094688589	0.042550733686952946	0.13373983958583668
SBS15	0.0317244752226864	0.016126221020052234	0.13697071177284492	0.3143638673433333
SBS16	0.09007339775374335	0.021245671625817364	0.03748576596985009	0.0450447402577997
SBS17a	0.04201342458122004	0.006567452194523482	0.014811779253196655	0.016979047239275902
SBS17b	0.08000528091327952	0.01187311631349186	0.013590669962276092	0.011445962593396808
SBS18	0.11910246156481374	0.044227270270426944	0.08933171708526721	0.17084045949502813
SBS19	0.03629424433716688	0.006635467747539647	0.021895857377897676	0.0434870164663671
SBS20	0.08305275491713981	0.017654858683953556	0.03946909827034939	0.11298393579983279
SBS21	0.13542920417861204	0.025607804554445446	0.08908710405490439	0.05153792042899519
SBS22	0.20820946290186348	0.03503097194548643	0.0659053016012916	0.03445969375259428
SBS23	0.023475660201850435	0.002134845917258321	0.01807039024116075	0.05108956560146394
SBS24	0.17965487130711244	0.10250332456523459	0.18690749080164404	0.48119396909674417
SBS25	0.26730178280123407	0.0496543446164186	0.1265264145414965	0.16219223895089652
SBS26	0.16955446102862448	0.027134397759901896	0.07756256843022313	0.048227421643665114
SBS27	0.10470317613955493	0.01922055870735062	0.05078124478964896	0.04405846617347675
SBS28	0.1287781613366975	0.01748753472636355	0.02402637422106657	0.015099508694642938
SBS29	0.16218463681935258	0.09990395353259873	0.1912622040923112	0.34764325808786367
SBS30	0.03409006536905057	0.004448350746232066	0.02363943669517443	0.04818383356515055
SBS31	0.09669390440244263	0.033359060355512615	0.07033154300312827	0.10570448840208035
SBS32	0.056662159670408885	0.023710257455810346	0.0594105089463004	0.10996317146943946
SBS33	0.11137167408316029	0.02044523658962316	0.0463532718662486	0.02941476965078471
SBS34	0.05171921940402169	0.008172321392975967	0.022169410574840787	0.03677082970881451
SBS35	0.16713359339165945	0.08393959561538011	0.1467950645013969	0.25347863579915897
SBS36	0.07713479211550278	0.023833853115765358	0.0550554022352987	0.09741997786658507
SBS37	0.23948145545360477	0.06749653487373863	0.12707524455099017	0.10749825402189428
SBS38	0.059594302496707496	0.031985475954956155	0.03472079315499377	0.08310368559204884
SBS39	0.3715649397367261	0.1954335045729173	0.3211361188623024	0.318940109897486
SBS40	0.2805325435683179	0.09087793065275784	0.17554051272873072	0.2220083224924767
SBS41	0.18221413139336495	0.03095446947197089	0.0704152247247275	0.09078755787330328
SBS42	0.08546918382021707	0.020738616958940748	0.05962197842592498	0.12953318176322226
SBS43	0.2330845464925514	0.18281380420174653	0.12734758415978764	0.09143404277780609
SBS44	0.10775649121738518	0.019175739686759785	0.07460526593351491	0.15555897492525483
SBS45	0.09332506062782331	0.04653644317579708	0.054241732883422156	0.09648424525861121
SBS46	0.14121984290630007	0.029921494924391223	0.0897119352085688	0.07977815283879863
SBS47	0.10471851736483861	0.042203983873377426	0.05779907837633147	0.08602718009830856
SBS48	0.472497184416792	0.12868165660170483	0.36064271211765986	0.04020823025685227
SBS49	0.16924557959123454	0.17099339140371528	0.1356257671677049	0.18690695801748114
SBS50	0.09233501612686701	0.09998267702645425	0.19187629380136217	0.32805697764424147
SBS51	0.13177659323569224	0.05053864336163649	0.07466919028784447	0.08446583030799748
SBS52	0.15259847800591853	0.041191281061032425	0.11508325543410525	0.03659966243090118
SBS53	0.13345468618529277	0.1505423657893925	0.17315303142928595	0.24509843490579575
SBS54	0.1495780423266908	0.03063310444862677	0.06215419737585903	0.057852995252685946
SBS55	0.1550889434451701	0.01918781439245032	0.04146227504266298	0.03893613161595921
SBS56	0.035528426049106776	0.008353987189254397	0.020309760044364467	0.03623345538569556
SBS57	0.12271303720485471	0.026117632944675284	0.05542886885614429	0.06660458483509812
SBS58	0.09763508721466307	0.025100180945548334	0.052177046608607	0.07826091215301023
SBS59	0.04174291714064193	0.01764591881840727	0.04878465513126806	0.12150465220189999
SBS60	0.06575188612890948	0.032239708226550645	0.019550332825369	0.01942493933717926
SBS84	0.10380819308817846	0.029279062631625163	0.09435357510430797	0.13234605480063388
SBS85	0.13150925683489256	0.026378759169252364	0.059307692332909	0.05453473063902636
