 	Denovo A	Denovo B	Denovo C
SBS1	0.05276780356942545	0.052766194392946386	0.05277766317611754
SBS2	0.643316174751042	0.6433163522997822	0.6433155827699664
SBS3	0.26590469371406544	0.2658952127028923	0.26595594338065043
SBS4	0.10895420688689939	0.10894930004694725	0.10898414184552385
SBS5	0.4033807338628399	0.40337204176578867	0.40342685440421566
SBS6	0.13827483530169693	0.13827166128347312	0.13829336906015843
SBS7a	0.989039441582218	0.9890400273539538	0.9890363134841057
SBS7b	0.8043889687579395	0.8043876711751984	0.8043965164335705
SBS7c	0.11878132563604404	0.11877696617064426	0.11880465592614442
SBS7d	0.11737831603363502	0.11737400203639903	0.11739992767084706
SBS8	0.08143249337936742	0.08142540404788468	0.08147279395346707
SBS9	0.13174956366987844	0.1317414760533977	0.1317910303897455
SBS10a	0.02241052500599927	0.022409285966206727	0.022418720871174913
SBS10b	0.30824358485461767	0.3082417211134225	0.3082546316518191
SBS11	0.6316306716553667	0.631628520629731	0.6316431266162511
SBS12	0.07078398406683495	0.07077762769760243	0.07081571906372797
SBS13	0.022962171276174503	0.022960897794093826	0.022969054405436284
SBS14	0.027317448025861224	0.027315209843330246	0.027332294552184444
SBS15	0.11656624577813035	0.1165638065127258	0.11658051105341694
SBS16	0.07883131178314862	0.07882691717276769	0.07885368386553071
SBS17a	0.02138489801875021	0.021381843888694352	0.0214013546891888
SBS17b	0.00976358760921936	0.009761481592978849	0.009774355426089731
SBS18	0.11612992013908374	0.11612617470117625	0.11615298369818106
SBS19	0.4160891891474203	0.41608622770692816	0.41610656816418357
SBS20	0.08703650817577002	0.08703354676640551	0.08705516016621895
SBS21	0.03978704784034748	0.03978267051616702	0.039808434598206266
SBS22	0.026293509922828973	0.026288249359800675	0.026321231128923483
SBS23	0.395898216139257	0.3958950199970148	0.3959167429081538
SBS24	0.10423069942439467	0.1042262835241412	0.1042566000000048
SBS25	0.19685756297731183	0.19684867656158633	0.1969047645402504
SBS26	0.057886189436368585	0.057879995928214356	0.05791716615746623
SBS27	0.07498740516616387	0.07498389714530662	0.0750059792485438
SBS28	0.02634439907171282	0.026341864413133464	0.026357070394760318
SBS29	0.054625581253824884	0.054621857254885775	0.05464881184077175
SBS30	0.7561802770956959	0.7561781808273463	0.7561923163041664
SBS31	0.39174200925492375	0.39173769162078753	0.39176644632874424
SBS32	0.3568194878855697	0.3568152937151008	0.356843471101158
SBS33	0.047668427415128	0.047664958780436195	0.04768614914120983
SBS34	0.03437004226336826	0.034366585668350824	0.034388045127865974
SBS35	0.2119791027026	0.21197413202773752	0.21200816001842648
SBS36	0.07137904958688868	0.07137626888115367	0.07139656186307775
SBS37	0.08353661945403446	0.08352904734105548	0.08357442999886111
SBS38	0.04382512196214117	0.043823952794370125	0.04383430141381173
SBS39	0.11022361437642991	0.11021610839876683	0.1102633799741195
SBS40	0.43569449374734126	0.4356860006306713	0.4357406458705364
SBS41	0.13516523997036778	0.1351586059890838	0.13519960061807945
SBS42	0.2820020890678385	0.2819969792249465	0.2820311162372443
SBS43	0.015097745607568158	0.01509288307062151	0.015120124149505032
SBS44	0.07579761129587537	0.07579237428450425	0.07582706261515137
SBS45	0.02653915288339559	0.026537569142289996	0.02655132135362459
SBS46	0.17530893035433082	0.17530261449238727	0.17534141712656548
SBS47	0.231044717005491	0.2310402988743504	0.23106780719805387
SBS48	0.01200431710764771	0.012003187525281067	0.012012504633652998
SBS49	0.008280638528645357	0.008279882126446703	0.008287587369856686
SBS50	0.4749321376649791	0.47492919051858484	0.4749483563579264
SBS51	0.09853715932735119	0.09853148745703522	0.09856654551245081
SBS52	0.019885533543063993	0.019883520564706547	0.01989751275158591
SBS53	0.061188357076149	0.06118626403750538	0.06120143075207518
SBS54	0.020988721662720145	0.02098447416511562	0.021010494402140534
SBS55	0.05402962296287339	0.05402552066101607	0.05404780571154677
SBS56	0.01374816599779305	0.013746131333103206	0.013760708533112842
SBS57	0.18408886174176176	0.1840841144247638	0.18411432109833958
SBS58	0.31530262373474205	0.31529816345144135	0.31532677222092476
SBS59	0.008240185090411245	0.008238914847629064	0.008247790650259379
SBS60	0.013346507302201327	0.013343948906928582	0.013356944288857364
SBS84	0.21313389411113548	0.21312962040729255	0.21315789432351018
SBS85	0.11685917328489503	0.11685259584681562	0.11689267514324142
