	SBS1
Sample1	1.0
Sample2	1.0
Sample3	1.0
Sample4	1.0
Sample5	1.0
Sample6	1.0
Sample7	1.0
Sample8	1.0
Sample9	1.0
Sample10	1.0
Sample11	1.0
Sample12	1.0
Sample13	1.0
Sample14	1.0
Sample15	1.0
Sample16	1.0
Sample17	1.0
Sample18	1.0
Sample19	1.0
Sample20	1.0
Sample21	1.0
Sample22	1.0
Sample23	1.0
Sample24	1.0
Sample25	1.0
Sample26	1.0
Sample27	1.0
Sample28	1.0
Sample29	1.0
Sample30	1.0
Sample31	1.0
Sample32	1.0
Sample33	1.0
Sample34	1.0
Sample35	1.0
Sample36	1.0
Sample37	1.0
Sample38	1.0
Sample39	1.0
Sample40	1.0
Sample41	1.0
Sample42	1.0
Sample43	1.0
Sample44	1.0
Sample45	1.0
Sample46	1.0
Sample47	1.0
Sample48	1.0
Sample49	1.0
Sample50	1.0
Sample51	1.0
Sample52	1.0
Sample53	1.0
Sample54	1.0
Sample55	1.0
Sample56	1.0
Sample57	1.0
Sample58	1.0
Sample59	1.0
Sample60	1.0
Sample61	1.0
Sample62	1.0
Sample63	1.0
Sample64	1.0
Sample65	1.0
Sample66	1.0
Sample67	1.0
Sample68	1.0
Sample69	1.0
Sample70	1.0
Sample71	1.0
Sample72	1.0
Sample73	1.0
Sample74	1.0
Sample75	1.0
Sample76	1.0
Sample77	1.0
Sample78	1.0
Sample79	1.0
Sample80	1.0
Sample81	1.0
Sample82	1.0
Sample83	1.0
Sample84	1.0
Sample85	1.0
Sample86	1.0
Sample87	1.0
Sample88	1.0
Sample89	1.0
Sample90	1.0
Sample91	1.0
Sample92	1.0
Sample93	1.0
Sample94	1.0
Sample95	1.0
Sample96	1.0
Sample97	1.0
Sample98	1.0
Sample99	1.0
Sample100	1.0
