 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.14275803729748116	0.1288159484206537	0.1280635982289554	0.11914168520796542
SBS2	0.16793160697535447	0.15789308942034852	0.14070344011537717	0.14680946633086467
SBS3	0.4871768916975211	0.594226648341543	0.5785835401139166	0.4716538125382348
SBS4	0.21560040893215093	0.255166870973326	0.28823405845186245	0.1835269196261794
SBS5	0.4961208222121669	0.5843827902661779	0.5916308254594195	0.4757402120846732
SBS6	0.16992501201527366	0.21553064428816548	0.2171808760667875	0.17319373383700254
SBS7a	0.2194041574990384	0.22733293376152586	0.20124294232933504	0.20434727653053408
SBS7b	0.23256568479270356	0.28181348012715923	0.2256411214171692	0.21586418783284667
SBS7c	0.22433394605090218	0.254662040705093	0.2542487187330693	0.18831774093755294
SBS7d	0.4230362126623268	0.40602085550993317	0.3870181039842655	0.4019251055272747
SBS8	0.2384233183453356	0.3004672613905447	0.35096941138409044	0.22866813476940417
SBS9	0.6664751326334076	0.7002692872303151	0.6923906272839082	0.6410857342306157
SBS10a	0.20322015993181308	0.20587964258162683	0.2028014704375093	0.21368714357337026
SBS10b	0.5028202882007681	0.4582314852285758	0.43623165616534765	0.5027892977902723
SBS10c	0.42412665686778483	0.4336686011529606	0.4507847895201853	0.4198024159766762
SBS10d	0.26266560199839906	0.26846965016428814	0.2743409405822723	0.2635006226394172
SBS11	0.18651163994609798	0.26592331260509217	0.2347491793289479	0.1884054885204829
SBS12	0.2729579960777171	0.32880892776687265	0.35385921323658476	0.24196045800800903
SBS13	0.4384080248175056	0.4299768793846437	0.4117471554539067	0.4385137128740675
SBS14	0.154623695758503	0.16332246319906807	0.23088119560350817	0.14940950133188302
SBS15	0.1474922228053308	0.18675226277118373	0.20397043322376907	0.13900222520554395
SBS16	0.21582617485226696	0.22437433605824442	0.2921279295089094	0.18148853188699532
SBS17a	0.13312214412004197	0.15499857312674137	0.15528914760914692	0.08686093296593533
SBS17b	0.5511704468576499	0.5036131203079733	0.4674760143565002	0.5441123448848129
SBS18	0.27994486963182075	0.2993840072014926	0.33350488660490507	0.2548603654442727
SBS19	0.1595537602306898	0.24031119302467863	0.1684777323301727	0.1478730046032164
SBS20	0.13202408481638805	0.15250324072445687	0.15163240371761422	0.11471919109652873
SBS21	0.23703273613737263	0.23697270504361145	0.28578883829845414	0.23461156591354027
SBS22a	0.072269634155124	0.17454528999195662	0.13360950474939526	0.10148669731727333
SBS22b	0.1708059117925691	0.26498648810285075	0.24457896593633066	0.17744206707552057
SBS23	0.11743680740322004	0.22562551943767128	0.16327533070888522	0.12443617976532573
SBS24	0.19590975802303334	0.24840903087779465	0.345738749551198	0.18652907647093753
SBS25	0.4031742723095647	0.4896847646493694	0.5042535862021865	0.40279554604392764
SBS26	0.28394106607674474	0.322452115223792	0.34413142132438157	0.26231804344411824
SBS27	0.06044733916624734	0.17309668977654624	0.13254731821762666	0.12192773586949424
SBS28	0.5662306915092301	0.5116154209462984	0.4885380635206271	0.565866398306105
SBS29	0.18453261902840679	0.21533206635928004	0.3088532199116273	0.16219326803584855
SBS30	0.19118343827041606	0.26720956075952307	0.2575816489944993	0.19216833486293305
