 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.16240105748279887	0.15938365065846793	0.15617159831507732	0.1633735175576697
SBS2	0.16488071376254543	0.18100890650483425	0.1642651533840367	0.17445987620859515
SBS3	0.4795841531492381	0.5930021958721647	0.5573501366905275	0.5946108354759769
SBS4	0.1946268154124835	0.2756266087725774	0.24849334399066358	0.27622192152114966
SBS5	0.5159573134389343	0.6043279977325047	0.5813101064259901	0.6074463383766118
SBS6	0.2039579957563208	0.22894506732826214	0.22090973609971531	0.237031240796729
SBS7a	0.21956984382931755	0.24608696487429127	0.22963835194963056	0.23728759722476722
SBS7b	0.23205017486615676	0.26957568734217385	0.251533776356319	0.2646282014993593
SBS7c	0.21875176557411624	0.26518522681639367	0.25041582334980583	0.26198267535620934
SBS7d	0.43342472737653337	0.4294007234246493	0.43030960099453086	0.4321402134484985
SBS8	0.22632345938871	0.3179337165877838	0.29215613511002503	0.3209848739671114
SBS9	0.6756897467580961	0.717805310969372	0.7092216997093331	0.7213640695348781
SBS10a	0.20414114102727932	0.21485991457520925	0.21766064282300057	0.21023240439511237
SBS10b	0.5130484967431123	0.4832808375598725	0.48952863160443294	0.47755571679497544
SBS10c	0.4299045461003381	0.4672223344670434	0.4621019044613286	0.46454724946048653
SBS10d	0.265461379017625	0.28584274587256686	0.2831755044242842	0.2823717172080543
SBS11	0.20017849843967095	0.2438108126543037	0.23122740899377037	0.24594157777246894
SBS12	0.298297463454708	0.3500414581908218	0.3379701946518897	0.35397092389152385
SBS13	0.4348256081303328	0.43276272124822157	0.44072321149625493	0.4301202551526324
SBS14	0.14932679517265535	0.19492097653291973	0.18759534161376346	0.1889592145040817
SBS15	0.17775432303998018	0.2020484322435716	0.19357901451581094	0.21047721810858433
SBS16	0.2313606921997745	0.26849352112661284	0.2655593201711609	0.2730220391659197
SBS17a	0.12784362318946085	0.16181041523650475	0.15230490603319602	0.16612581279015648
SBS17b	0.5370855496216154	0.5109813878025101	0.5164203543991926	0.507367655384752
SBS18	0.2694981670642085	0.32672976999430026	0.31275068936424044	0.32282597134295155
SBS19	0.16096414129690684	0.213920702209066	0.1889043102516933	0.2084598344462889
SBS20	0.1223923388376279	0.18361816020956578	0.16220277776774839	0.17849508705183148
SBS21	0.25855791221200963	0.27895308900321836	0.27488777907444784	0.2817109325203415
SBS22a	0.06670815986064516	0.11823286216437923	0.09546331624105608	0.12389817886029708
SBS22b	0.1774459921978886	0.228998493856866	0.21046709131843921	0.23475173317018116
SBS23	0.12805383223564237	0.18286323828319107	0.16240056003430237	0.18292284421903626
SBS24	0.19430822269336945	0.2606236886700509	0.24659164926409427	0.2633412551590977
SBS25	0.41139320557062276	0.49423179937232486	0.46544916664393454	0.49738571715516067
SBS26	0.30523444368478647	0.3534768464251904	0.34274010729939053	0.35645078995786306
SBS27	0.06663555223672213	0.10084420271149364	0.08437279843306078	0.0994262062611746
SBS28	0.5407924260102929	0.5217727917381623	0.5254207698978964	0.5241161247835315
SBS29	0.17231951306157	0.23744211266828086	0.22192200961936892	0.23590693806527685
SBS30	0.20586919528719672	0.26013605108598714	0.23970338051875006	0.2583554647361106
SBS31	0.15512177455745269	0.22813052428567682	0.19822340746050748	0.22257712615357128
SBS32	0.24877397769230525	0.2964574351340117	0.28670894714041295	0.3004916021119852
SBS33	0.14245415515749416	0.17552737236307603	0.16984747737324646	0.17628109590509333
SBS34	0.12076722807226858	0.13716382758220536	0.13763562888923497	0.14633081394051461
SBS35	0.17465716059141845	0.25980878666135854	0.22588772768077692	0.2557625093225917
SBS36	0.25939616882025096	0.300827643476945	0.29255633665910297	0.297163605133574
SBS37	0.451107689569509	0.49932408646997406	0.49017358738742045	0.5028394345457933
SBS38	0.09889758554532646	0.1358452635643076	0.11799264061961612	0.13390260517623498
SBS39	0.4534848583059983	0.5301419777505301	0.5073415177887526	0.5293655200808101
SBS40a	0.49752611076270914	0.5828330986624902	0.55774709370462	0.5843935392245659
SBS40b	0.6867027498363631	0.7568939960284712	0.7347755176323968	0.7567679996081635
SBS40c	0.493999832637513	0.5933368781056667	0.563171443442327	0.5959837609676115
SBS41	0.5836054874561465	0.61753830825974	0.6085090329559113	0.6205299411767454
SBS42	0.2238175590316377	0.29227258358635977	0.2747673785232094	0.29941952117417014
SBS43	0.1326231011072596	0.1759928903351351	0.16555264146888016	0.18055321124839674
SBS44	0.23514351214529472	0.3029874019889276	0.28733600221736033	0.30783828509844535
SBS45	0.1204739220836627	0.16343053610075708	0.14406658389299165	0.1612525635392127
SBS46	0.31007586992622493	0.3739663557976043	0.3583896115812585	0.3781587274757936
SBS47	0.24728244133135624	0.27847848259065844	0.27069227327207723	0.28671249602671656
SBS48	0.07988762127909599	0.07929770565531746	0.0818579623663871	0.08070120964214889
SBS49	0.03474912394011065	0.056992303380593023	0.041399844632469596	0.05363667623238222
SBS50	0.22612666966178696	0.27609992708242204	0.263070076495457	0.2776811670589918
SBS51	0.18000155321671518	0.2373628275076256	0.22409824142192125	0.24610815155507737
SBS52	0.1964908176766682	0.21271035266505356	0.20568375121114357	0.2133686399283058
SBS53	0.11189454096636897	0.14311899979213394	0.12709900835472332	0.14748324118274736
SBS54	0.10329724254660744	0.15493511360058476	0.1414392154420383	0.1575479076627666
SBS55	0.17919564560621914	0.20993077053533837	0.19885759794278468	0.21323621620970545
SBS56	0.24904118894120875	0.2688385434535375	0.26770902545916386	0.2641517752265087
SBS57	0.411246110391707	0.4610297388836847	0.44042381732194935	0.45493105048318916
SBS58	0.33876201907840275	0.3842533428886139	0.37181971128717106	0.3900744068826574
SBS59	0.04238724374857661	0.07454797365569132	0.07394882702258543	0.07924810987340514
SBS60	0.07893714449173383	0.0948167942791418	0.09127861294317097	0.09817118520470525
SBS84	0.19540953793179683	0.25282263420387263	0.23668191532319993	0.25885393330241435
SBS85	0.3315115890794573	0.37642559374019857	0.3675122226114027	0.38254521906284267
SBS86	0.3354812948117143	0.37213265676066776	0.35845871323248035	0.3693488623829453
SBS87	0.24899102896818326	0.2685334526222569	0.2599586995887324	0.2709768597146569
SBS88	0.3597150719840363	0.3910531670909507	0.38787524238985194	0.39262673839118667
SBS89	0.3964521584161482	0.4905488005979348	0.46575955830230986	0.4948619002337915
SBS90	0.12400171559949791	0.14317419029432543	0.135553378556991	0.14610544754181487
SBS91	0.18678643898947556	0.19840116295965293	0.19548414750394405	0.1993703842200012
SBS92	0.3955132820441314	0.4705592342731504	0.4492337856018467	0.47325512476597476
SBS93	0.6357907633626002	0.6750389034558877	0.6609837830222615	0.6767585913447678
SBS94	0.3232470694401234	0.40955506390501806	0.3781094067391315	0.4110408082849606
SBS95	0.2354247136700086	0.3179498308669926	0.2957460370315683	0.31712886492541614
SBS96	0.32352186000314664	0.41099021848628614	0.38884931238185727	0.419689904063949
SBS97	0.13123472374221568	0.16953083268520563	0.14774241638652197	0.1647058060729809
SBS98	0.2589108900095286	0.29280092411821523	0.28370612215719637	0.29583050495715013
SBS99	0.3164929813941664	0.3787241250572788	0.36033568460592225	0.3844577899567394
