	Signatures
SBS1	0.019830126636786703
SBS2	0.08569435978196258
SBS3	0.30135982684475543
SBS4	0.02322624681466101
SBS5	0.06874158195676099
SBS6	0.022657795469023752
SBS7a	0.029696409568645932
SBS7b	0.11396105115423553
SBS7c	0.008639362339280037
SBS7d	0.009991326221876796
SBS8	0.04928789005672008
SBS9	0.13192646338024536
SBS10a	0.039255125139167915
SBS10b	0.022427674732913596
SBS11	0.02423041328632734
SBS12	0.013466711615523532
SBS13	0.0015311349911639861
SBS14	0.01076581061593337
SBS15	0.018289733790293073
SBS16	0.005020955603723025
