 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.023728480880677916	0.002738060283541066	0.3667695322714375	0.0030148924844510816
SBS2	0.042348322287030116	0.0015749480216433742	0.2083085993543221	0.0025197736302324802
SBS3	0.14772612787500128	0.0695569279848115	0.5727933911946159	0.06714628794407163
SBS4	0.16013809443877813	0.05721052755345668	0.26181179773822216	0.05478074589340087
SBS5	0.13894984864868265	0.05116554504602733	0.6385732411319983	0.05244082597350408
SBS6	0.040469771286526623	0.00649895636177078	0.44428634975844117	0.008846050081114387
SBS7a	0.05557542505836177	0.0015076380482567098	0.4800066113778356	0.004149796267539085
SBS7b	0.06802975134348077	0.0033419496209171617	0.6114666352042469	0.007022435144404038
SBS7c	0.04830906924934919	0.013323409344984216	0.16923185434262367	0.015480049067517987
SBS7d	0.05987004350971126	0.004852692512699708	0.1965647165858473	0.007354472736776363
SBS8	0.11108730291824964	0.03668766909192467	0.27692157893925406	0.035889881949066615
SBS9	0.0968372455854728	0.06010727746981648	0.44518988258866377	0.06307676057300182
SBS10a	0.013940930553407394	0.004021557032046763	0.05753942485403862	0.003788152138788803
SBS10b	0.020359687664042725	0.004979653777709259	0.2480779043972765	0.00818318134441387
SBS11	0.05153807989637593	0.0024711654607675326	0.41466624449553613	0.006608184921150229
SBS12	0.08319439765449377	0.01531965773080668	0.311600401045219	0.015235151543962822
SBS13	0.020944041007719516	0.025822302149771326	0.050922766466340086	0.01868565744154571
SBS14	0.051453656817887605	0.015621302130475967	0.12926229111137666	0.015444903395477882
SBS15	0.03349217945067395	0.007449265788317616	0.3788683983720196	0.009511241972604556
SBS16	0.05922816035577172	0.016163686275093903	0.20844173771768248	0.0161851616241514
