 	Denovo A	Denovo B	Denovo C
SBS1	0.2837784471417193	0.2829992828198238	0.2829319693586363
SBS2	0.4234464949962309	0.42361615703982747	0.4231754498379119
SBS3	0.8454490836788965	0.8455387119759945	0.8457787160012408
SBS4	0.5304186504876761	0.5302103589936126	0.5308842782552311
SBS5	0.8201263994477344	0.8196386945462086	0.8200485850049405
SBS6	0.39480906181594366	0.3943955387228941	0.39424383537608276
SBS7a	0.43825965189031213	0.4385168659442986	0.43827727187098187
SBS7b	0.3862963126669152	0.3867797749872677	0.386638238064003
SBS7c	0.31068078103995844	0.31041113226722594	0.31104022022491296
SBS7d	0.2820842153657155	0.281933923489627	0.2818636236819615
SBS8	0.5939956995677922	0.5939424953553583	0.5945336084453586
SBS9	0.5606848470736285	0.5605679068026332	0.5603106326217713
SBS10a	0.20199311911062334	0.20184363425180296	0.20186660811691082
SBS10b	0.2936488466427275	0.2935564107941735	0.293866603443098
SBS11	0.3870073920677847	0.38798724192268075	0.38750391064270107
SBS12	0.4132638909059606	0.41294255914504163	0.41360154947618333
SBS13	0.432216380922246	0.4326975610701165	0.43229518593908944
SBS14	0.30889268957362404	0.30878429948366226	0.3095971743319027
SBS15	0.3545402485029161	0.3548900951654883	0.354637267831414
SBS16	0.3751240260683709	0.37421206130529927	0.37475771247906975
SBS17a	0.18360406396310347	0.18297555767018459	0.18354324394005783
SBS17b	0.14198989787547023	0.14259597434849824	0.14214707323655196
SBS18	0.4933827495019185	0.4933095837180096	0.4938742883151809
SBS19	0.3742795784744264	0.37388819899929493	0.3741108962216798
SBS20	0.3416283104232398	0.3409683028866479	0.34158256194936865
SBS21	0.2665318849728209	0.26699641135250074	0.26745152620825285
SBS22	0.27702783635889716	0.2771373822739249	0.27621259727228153
SBS23	0.33871090737975273	0.3392133605884262	0.33909570311666903
SBS24	0.46581624069685335	0.4655028132253076	0.4663823190947918
SBS25	0.7161230841494047	0.7158733607761973	0.715977816807324
SBS26	0.392756933789024	0.3923366042551759	0.3931390205481782
SBS27	0.2268462776198441	0.22597463758136782	0.22583306063082353
SBS28	0.17184770834623275	0.17167162241341927	0.17206643964586898
SBS29	0.46459728144621004	0.46424692951044966	0.4652554051712209
SBS30	0.4956554813460595	0.4959442887736296	0.49555468131820524
SBS31	0.43414235632655407	0.4338625846158859	0.4342934449517839
SBS32	0.47532750275929114	0.47535844833862984	0.4752464330675451
SBS33	0.2279100251805395	0.2277006948760958	0.2273281351861548
SBS34	0.2070953967526471	0.20666353427421802	0.206337475413925
SBS35	0.5013757815468393	0.501836410504321	0.5020465482239839
SBS36	0.4059257227373725	0.40599056783801135	0.40608920779292346
SBS37	0.4886096657082415	0.4881873488544818	0.4888880012234499
SBS38	0.23883444568193146	0.23926120441651877	0.23964659875110095
SBS39	0.7177855581744437	0.7180882861654251	0.7179763163376681
SBS40	0.9025844873440143	0.9026175827803049	0.9029541630265854
SBS41	0.549384308963825	0.5492686858239189	0.5490752353319533
SBS42	0.4661360207166796	0.466726210283231	0.46669173537934183
SBS43	0.2254168219097198	0.22553341218947176	0.2254283810677884
SBS44	0.4616201447569468	0.4610573881979788	0.46139852071137843
SBS45	0.28492150944731787	0.28485019911980636	0.2853712878011203
SBS46	0.4780777135530633	0.47727257014075475	0.4782328886601692
SBS47	0.38267858025512047	0.38286876709855466	0.38225392922709145
SBS48	0.08170663260083222	0.081808514694515	0.08161778967675037
SBS49	0.12519706053529422	0.12447383450718486	0.12578767087956655
SBS50	0.47152118528103415	0.472186021579293	0.4725960134944488
SBS51	0.4233521761783925	0.42286410317662004	0.42333853289405554
SBS52	0.23668115651605404	0.23716397134434142	0.23623021143163736
SBS53	0.2489604126718341	0.24953799580091374	0.24991463506977163
SBS54	0.2562905563544773	0.2558145359859877	0.2562254607090323
SBS55	0.219302710617862	0.21956969495661305	0.2191268845092612
SBS56	0.2704037524822216	0.2702762173930522	0.2700984379630036
SBS57	0.4302069401717863	0.43009803376649836	0.43056526478761004
SBS58	0.5368067656412694	0.5363858435816886	0.5364952872590829
SBS59	0.16938791464140424	0.16950016077842167	0.1700909212987347
SBS60	0.10214053220815622	0.10231425390568993	0.10188897620092752
SBS84	0.37698162807506175	0.37731335347511463	0.37702677198648127
SBS85	0.4369917723557041	0.43670378740843585	0.436929952422365
