 	Denovo A	Denovo B	Denovo C	Denovo D	Denovo E
SBS1	0.2837642751508742	0.28328640061682187	0.28372516153485283	0.28290562230376315	0.2823332542989332
SBS2	0.42389606518250145	0.42219205619448985	0.42435600652152417	0.42419170192280276	0.4222550887586518
SBS3	0.8456991655998399	0.8457698007760673	0.8437042997125165	0.8458852685857261	0.8464962927590086
SBS4	0.5312537859276188	0.5279674070839631	0.529432573931119	0.5329786993443862	0.5306499349495516
SBS5	0.8187894925509265	0.8200707371279945	0.8203344414408017	0.8200478783369304	0.8200513323789066
SBS6	0.39400671111407015	0.39428596869396637	0.3958364679292855	0.3943040104767678	0.393790680488286
SBS7a	0.4389972721214018	0.43794652637617615	0.4395939430756248	0.4384128919772795	0.4365420557602868
SBS7b	0.3874464515692224	0.38674530949643415	0.3871311903608159	0.386385988707034	0.3848030709980783
SBS7c	0.3108661856031847	0.311720901187612	0.31017281357295123	0.3084018671203129	0.31227321465756064
SBS7d	0.2803923725303079	0.2843834363986677	0.2827300928358476	0.28182798081551663	0.2803816622436075
SBS8	0.5954230153747551	0.5928789044133542	0.5935490463822363	0.594802981046952	0.5938326850313176
SBS9	0.5594857947991347	0.5617426327976116	0.5593203837948756	0.5600511842581619	0.5616413932029499
SBS10a	0.2006478379744685	0.20022462497888704	0.2043018967230089	0.2013334252690151	0.2029023064931157
SBS10b	0.29339820970159514	0.29487774149663903	0.29563090769948697	0.29300053492567546	0.2915243636973932
SBS11	0.38867267931337013	0.3876656030259309	0.3884345431934797	0.38662754788787335	0.38569355243909564
SBS12	0.4113772179754036	0.41387691468021115	0.41349627752259677	0.413903852239909	0.41354583127093214
SBS13	0.43045467768707346	0.4329669735706141	0.4335721019848078	0.4310940744967915	0.433709938423227
SBS14	0.3082145260093644	0.30855259898721177	0.3091049749946775	0.31026755456204147	0.30906137299524783
SBS15	0.3548884675351789	0.35387353477474714	0.3565539039808572	0.35405598775629354	0.3538408501038204
SBS16	0.37274064152419417	0.3749870067943095	0.3753617255219841	0.3744837706669244	0.3756620340983401
SBS17a	0.18619870387104176	0.18258872009052463	0.1825814101232821	0.18157978850469136	0.18384909706334884
SBS17b	0.1410703991898491	0.14332816099747014	0.141386413831612	0.1421274097095392	0.143196709339513
SBS18	0.49307597573119266	0.4900610168982984	0.49532964018680004	0.49459589162450546	0.49425314621589356
SBS19	0.37454031564671886	0.37313941786696125	0.3752239978846206	0.3749447620193507	0.3724077020700074
SBS20	0.34009741620692324	0.3417234433338656	0.34054527458018313	0.34349631449007245	0.340883168854869
SBS21	0.26539993829178077	0.26933119695502483	0.2664750832961842	0.267981609550745	0.2657066749000363
SBS22	0.2795578271585373	0.27790307117263424	0.2733714659675949	0.27637920516709336	0.2767436374594696
SBS23	0.3398565469722393	0.338322232820607	0.34001767128927374	0.3391979226680042	0.3373282548370089
SBS24	0.4671707060625089	0.46221016131225445	0.4672926658260549	0.4666870540356848	0.46602582086098754
SBS25	0.7180355167244322	0.7169624170010105	0.7145110656746345	0.7152692694350828	0.7149446267132166
SBS26	0.391290007958601	0.39405289634685003	0.39179384552582075	0.3937042643717159	0.3927023026141725
SBS27	0.22849755334481037	0.22616171198241752	0.22466003239339527	0.22361147365287815	0.22823431142718575
SBS28	0.17124791234983006	0.17391240822174492	0.1715906437354342	0.17185041105606536	0.1706153265411372
SBS29	0.4651158818339851	0.46097648994727547	0.46556498360501797	0.46658645860287595	0.4650066706797773
SBS30	0.49710707575641333	0.49546341225392254	0.49566738665543997	0.49497986863599097	0.495064313017901
SBS31	0.4353009383862305	0.43273484967433673	0.43391368997530777	0.4353675632262679	0.43287494822546835
SBS32	0.47670529008065066	0.47481994146826656	0.4757314596706663	0.47443461338075843	0.47454316053599
SBS33	0.22588913099411556	0.22685407498541865	0.22956728097709145	0.2265280758901993	0.22921645351531672
SBS34	0.2081689263274522	0.20638677120616422	0.20641081784174364	0.2048216186924412	0.20750944428882245
SBS35	0.5031394315709127	0.5015792552232463	0.5000785211699094	0.5028458630562621	0.5008413083034596
SBS36	0.40587168438893984	0.40286319879016685	0.4076862879180061	0.4067488096572258	0.40656445482002146
SBS37	0.4876163771414046	0.4893019973488255	0.48848822042837303	0.4885977505283089	0.48871357182829
SBS38	0.23929130356734718	0.23750182442945345	0.23870192874883078	0.24135687895743163	0.2393173718218774
SBS39	0.7168448205383623	0.7197933482749065	0.7156457307394624	0.7168513393556772	0.7203049562944781
SBS40	0.9025229529091784	0.9024192678092955	0.9027266296271127	0.9025985742173327	0.9028364458305985
SBS41	0.5476048275230532	0.5503383187552596	0.5494129701022603	0.547575660984317	0.5510189007013637
SBS42	0.46738919767244547	0.4658776848409788	0.46792393528896925	0.4654940485251263	0.46560138164374265
SBS43	0.22824611804607753	0.22420998525275582	0.2254544567388922	0.2263693761339004	0.2231603101280546
SBS44	0.45963672326435945	0.46189511498611213	0.4616715067615119	0.46224551627272836	0.46114231056456234
SBS45	0.2849713735673145	0.28313059464608237	0.2841802266183221	0.28760248853879666	0.285261932237294
SBS46	0.478880281303783	0.47758019271058905	0.47717017959907704	0.47736479081030625	0.4782689587801372
SBS47	0.3842045441314311	0.3820145330587803	0.3817304566575329	0.3826692845663937	0.3821924202975694
SBS48	0.08393313941148872	0.07987931655795966	0.079944852517844	0.08336420363207342	0.08164031496442359
SBS49	0.12503384095181824	0.12318808968601536	0.12408764899053315	0.12707662268609	0.1267044685187031
SBS50	0.4722087239923378	0.47163157985102444	0.47250542964804765	0.4729915453399097	0.47089367666545257
SBS51	0.4246584360297404	0.4226713440470773	0.42246892956935234	0.4236795701845937	0.42218115000479095
SBS52	0.23808910447164588	0.23456391608576554	0.2359286932517055	0.2384986735251362	0.236217004805787
SBS53	0.24964574965438713	0.24743455940834425	0.2486021211063142	0.2513089750071673	0.2504654070366279
SBS54	0.2551417843823929	0.25695571664732086	0.25546908728833795	0.2563880134494263	0.25641641741360155
SBS55	0.22143253990299128	0.21874047493436888	0.22061714882687933	0.2200406098599581	0.21585509021663363
SBS56	0.26938547299873883	0.2683513587647519	0.27190456340617053	0.2705827344159568	0.27087339593912596
