 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.25989622068844265	0.041159654793182954	0.01035210245823115	0.003126167819612169
SBS2	0.6681139897799584	0.015575637970873246	0.06776094500524776	0.7933368377433333
SBS3	0.36584843382775456	0.4028896979434293	0.10568705287462477	0.14227930216407247
SBS4	0.21279291115283916	0.2656486540736436	0.1278521066504239	0.03062194877329627
SBS5	0.45384720381686305	0.3205980779386304	0.1015466371190592	0.19270784968867827
SBS6	0.31351680127680415	0.05930998673983989	0.015835230682531454	0.03582850857115549
SBS7a	0.6329767173101851	0.026541136382542962	0.05602066980011122	0.4982430947283294
SBS7b	0.4394246981495782	0.05021466984331324	0.03573586160761866	0.027083306483388747
SBS7c	0.08291762635471223	0.15161250509802482	0.03259534723568569	0.06404572762950855
SBS7d	0.09848666442432341	0.1438870325948557	0.02258881340834551	0.007934151214573193
SBS8	0.1641120959163842	0.29667262787431603	0.053710769763257504	0.03244425517203686
SBS9	0.16392706778356236	0.3673694488338297	0.13115972079211968	0.04116783654916367
SBS10a	0.24050454163768253	0.02548817803096859	0.012526207384121135	0.0015815208759949462
SBS10b	0.38801000601585844	0.03719631704828197	0.028964035353817308	0.013565166838137244
SBS11	0.3616710222638937	0.055830951874096035	0.030805655840094093	0.03768175099187965
SBS12	0.06831574131183193	0.24881827777856003	0.04442702278133781	0.02900480590967247
SBS13	0.5779443351633574	0.02574144218232388	0.06814668195530449	0.42622253606849214
SBS14	0.12479598824970362	0.0983468234482312	0.019169364571256953	0.009672351597909135
SBS15	0.29737566712758134	0.06088900360012206	0.015861785809917484	0.07068500661971355
SBS16	0.16905133749322054	0.12682718382304725	0.038805506217749586	0.05524822818070774
SBS17a	0.005981332363940717	0.11361022764331608	0.007855592382295273	0.003400519177246375
SBS17b	0.003729702114816935	0.08442245372636803	0.015944138671987407	0.0011245425303625378
SBS18	0.30698278730787765	0.15140290544959534	0.057450036632349044	0.05307775674696924
SBS19	0.3365242796995671	0.05463475321810607	0.028418818902430254	0.12549719301284246
SBS20	0.09045927634276119	0.11228611890596407	0.02324183390940182	0.0259015889756099
SBS21	0.02190893933485405	0.21596122587920363	0.03097364893508847	0.011512656642666763
SBS22	0.01925288322416585	0.2672558660342186	0.02454610472778407	0.009213868595606689
SBS23	0.2320372506417714	0.04717076321371694	0.01457821211179644	0.04412880266448682
SBS24	0.20660165152903665	0.27260157536772	0.24534105275430862	0.02275112504840271
SBS25	0.3275353143906594	0.35705719740522324	0.05632048018671498	0.13306445954773427
SBS26	0.05818833644996646	0.23977816469675273	0.0389910774780351	0.018108417081249217
SBS27	0.08552120509648442	0.1086809831994291	0.013538474142727908	0.049023694607788104
SBS28	0.018692955021175517	0.10034369391345355	0.03641380899090396	0.008888793034381504
SBS29	0.19909921059444313	0.19245070503838935	0.1205216693304304	0.027528865296373772
SBS30	0.5082997582773215	0.05691088971743663	0.04175507180865434	0.3140671349502908
SBS31	0.2288971255171831	0.15439338469899044	0.037279046523464476	0.03670791017202579
SBS32	0.33385951119988566	0.121452043650637	0.04053106032696063	0.09785910223583516
SBS33	0.08956505483933475	0.16830250488831677	0.07382925656786044	0.05989579828934655
SBS34	0.0188935336525623	0.09056003427583603	0.006203453619411992	0.00548478565080146
SBS35	0.19369885942309206	0.2385217419108946	0.04772254311116819	0.058760654882192065
SBS36	0.33652417057430206	0.08994767864675857	0.03819982960157131	0.04541166361951654
SBS37	0.08930714379780769	0.3408440055970575	0.10774188215288572	0.028329765365385673
SBS38	0.058789797838995295	0.09111109246826887	0.03562817563104237	0.01851833057690444
SBS39	0.3833714450492929	0.3735641816650078	0.13685446392425504	0.20805099183953113
SBS40	0.5603443382456834	0.3486996666116946	0.1404940014830116	0.316000370358159
SBS41	0.2607970642939711	0.25360525609686047	0.08457629234355557	0.15944942302999232
SBS42	0.24279634303578268	0.12402805333678257	0.025715080042189475	0.023142811861260104
SBS43	0.008930130589730023	0.3618816831797207	0.13736415030970017	0.00046316587643546736
SBS44	0.16749402532834967	0.14389402381968042	0.024324371188323757	0.010789765515497596
SBS45	0.11322777291433184	0.09892651566282751	0.049353205527007726	0.011548684494633421
SBS46	0.15314895550382013	0.25137040709080427	0.054261884809186256	0.09537514293736571
SBS47	0.2094830043251431	0.16119405167577172	0.05050731237098338	0.03476114413878428
SBS48	0.035927235835240046	0.06309472766691593	0.03785134597072237	0.0003813536566195097
SBS49	0.019304653273629624	0.157205455702359	0.1788930883423676	0.000644667443349678
SBS50	0.34479606766782767	0.1769788869504514	0.07146773637856985	0.0814214099609295
SBS51	0.17507811859595712	0.22109073789171152	0.06321168934126331	0.019263875450296175
SBS52	0.23928702287823544	0.05254270827319518	0.028919968355207715	0.005482996278378005
SBS53	0.0648813185698861	0.2236457762381756	0.17190065632144402	0.021241116773430768
SBS54	0.03790140363796968	0.16882824929812645	0.05031833504354699	0.004324979437955956
SBS55	0.06992956828338981	0.27680946738760226	0.03802901937588088	0.009863877722375736
SBS56	0.2685492267079417	0.047105367308307056	0.016392933343423843	0.0013448377699396552
SBS57	0.20352153223851177	0.15408199466002837	0.039020952977420253	0.05305044172022022
SBS58	0.489529129210972	0.15111180750869735	0.07144642725050054	0.06617167510425803
SBS59	0.018932370152439315	0.06485011549993258	0.019938493345877606	0.0013281007019129154
SBS60	0.008748478840416518	0.2127143030242995	0.03161248330549471	0.0008238641587740014
SBS84	0.1617535944498807	0.10225238977713025	0.020260222555923746	0.00803497652566798
SBS85	0.11920028262279647	0.21527401255808132	0.04214027853814151	0.03176043937203399
