 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.09689170990630092	0.1732257520846382	0.018928674268151147	0.15223261993622894
SBS2	0.6336759244435506	0.5378697631291455	0.6320416660123176	0.5944709402461875
SBS3	0.366426818069709	0.6827215863989657	0.16958014618569983	0.5113801795976302
SBS4	0.13920298006406973	0.3763159083022749	0.0644685960938447	0.2440496052133282
SBS5	0.5195111103233494	0.7536499543294152	0.29624558287689784	0.6473565452653505
SBS6	0.2407856459902722	0.31876858724427737	0.07349381743459915	0.3058594464276754
SBS7a	0.8810907076556161	0.7611310393063537	0.9801014816207456	0.846765933944884
SBS7b	0.8551399150627431	0.765164968736197	0.6828887813154157	0.8433485616697844
SBS7c	0.2500720851938276	0.33556612754132764	0.07016780789731547	0.27975843191242
SBS7d	0.2357722444471858	0.3294972939277421	0.05007602422968849	0.2947711987134015
SBS8	0.1482382381876164	0.4192865006418349	0.03181232832433489	0.26252217747458273
SBS9	0.211623693632207	0.47826172063131045	0.07177819128411689	0.34021089174645813
SBS10a	0.035042823001335655	0.12146944506569135	0.011031382506311416	0.069634977652971
SBS10b	0.41388262568759193	0.4085897057384823	0.21567004024841108	0.4286730340988718
SBS11	0.7087348314029345	0.6511619685009993	0.5347651325358002	0.7186772921627912
SBS12	0.12200333722523471	0.32465700194228897	0.03014908659898108	0.2299221148025541
SBS13	0.019029561903169845	0.12947127352968468	0.015181924203211516	0.06436691449153298
SBS14	0.049377304298824254	0.2010680120738948	0.007514767627800456	0.1144263191243089
SBS15	0.1834352610150919	0.2649933626086516	0.07279216138016409	0.2439800413805664
SBS16	0.10823312971759491	0.2615226527410637	0.04356077839118955	0.19790357955651972
SBS17a	0.06794385415054893	0.14986788914538784	0.0014985490203555107	0.10676044268385187
SBS17b	0.013006986773729912	0.12206050770314081	0.0013710011124578037	0.06841712897474694
SBS18	0.14257452476728116	0.33836049823314407	0.08063972479549919	0.23036291075681836
SBS19	0.6332692208962486	0.5745797776700093	0.25621337434090363	0.6133230529937881
SBS20	0.14125635941618797	0.28392362170166163	0.047850441863961146	0.2170741519488667
SBS21	0.08757693242800735	0.2260338366863175	0.007151607526570403	0.15735649846804
SBS22	0.04156673760778484	0.20464427736265445	0.008296832733395654	0.11232141917281868
SBS23	0.6036827639056249	0.5568251323846289	0.2366204057759025	0.6067055210802248
SBS24	0.13641041226718176	0.31558604064536366	0.06831778836912061	0.21202883268792627
SBS25	0.28997046335011256	0.5651029684406412	0.1190757634435533	0.42257842547234414
SBS26	0.10331771865199602	0.30243847595633766	0.020884323804636673	0.20618618513721454
SBS27	0.09792619843161732	0.1919008417064415	0.052804619663836316	0.14371869215490274
SBS28	0.04774851783167888	0.14235034431372218	0.012877746242375032	0.09987702271836063
SBS29	0.07640722807466693	0.2741572823478955	0.025165045705808353	0.15678573337147284
SBS30	0.8181951350545041	0.7570040197220982	0.6570269051523631	0.8206814227366516
SBS31	0.5692184885220293	0.6122859966869035	0.22795081388812832	0.5971357018936256
SBS32	0.4998654701087858	0.5374665239165533	0.25823525010315573	0.5383973885148694
SBS33	0.05963317715370331	0.17218395717225898	0.030823691666684194	0.11112520672369197
SBS34	0.10589954450982475	0.18153657834845083	0.003667665813349097	0.15142124691830694
SBS35	0.2950766282909316	0.47084753708833305	0.12259412968898831	0.3711771120733234
SBS36	0.08515942054908554	0.25413712858569704	0.04749188707626051	0.15858503207297647
SBS37	0.1458002505858258	0.3928400591865898	0.034464170802104066	0.26990159657739365
SBS38	0.0497090595098415	0.18233285235062635	0.026832213067705002	0.1243558868530713
SBS39	0.15581574721602243	0.44029655627611175	0.062267729047989384	0.2676355052643167
SBS40	0.5281197110955975	0.792492568974955	0.3431119240392845	0.654606235628335
SBS41	0.24172093845331788	0.44037583941112934	0.07616200727857203	0.35009479144543154
SBS42	0.4224299401939182	0.5065617874836853	0.1837062563404338	0.4845671426094549
SBS43	0.014678686741316782	0.16901941834335676	0.0007948844280780687	0.07763030770383805
SBS44	0.18313050162599687	0.35135045955451805	0.01802038500710379	0.2789545106517364
SBS45	0.029839239308732224	0.1888149664666432	0.01058795873570717	0.11050435617527976
SBS46	0.2472851270780445	0.4300554900661334	0.11687337349569848	0.34046951319718377
SBS47	0.25572991291962344	0.3784990265747439	0.19429803917517408	0.3338497218526122
SBS48	0.0019458415251993877	0.04178978489942331	0.0006266546353160818	0.010992388414665988
SBS49	0.006851307777931082	0.08809220144686147	0.0014420185296860621	0.04273032206469973
SBS50	0.4112113450133055	0.5019718438132413	0.46200754793060184	0.46131563382575713
SBS51	0.1516163447973572	0.32435699229482073	0.05334366412122116	0.23508870406712323
SBS52	0.020277809976701477	0.1255597979554529	0.006077888956916522	0.06700053569442199
SBS53	0.08270822658478483	0.20603913391328021	0.033961242499870425	0.151270957914036
SBS54	0.03397052113950483	0.17083640204195416	0.003329780144189831	0.09847580580557347
SBS55	0.06390141176230968	0.19355848472098203	0.03056739390099439	0.126412601051334
SBS56	0.02543603215827117	0.15137997048083096	0.0007974811774815738	0.07808399148939293
SBS57	0.28393416668079874	0.41076753901184193	0.12213954549144435	0.3474522604539152
SBS58	0.40469161306670065	0.5122420978931613	0.2322752550244811	0.4753682549151923
SBS59	0.011943470709183335	0.08589468795536992	0.0021117706166601247	0.03246003948657039
SBS60	0.01408201217835614	0.09442680525059288	0.0032905208704675504	0.046425255280819644
SBS84	0.3588527225226341	0.4076796719925654	0.12435435994324096	0.39690149930010166
SBS85	0.2312361509072789	0.4001118211265615	0.057899918317163346	0.318040752844978
