 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.06423472327364343	0.00024327221025532975	0.00015426738344037627	0.12578282600324175
SBS2	0.6761291296567067	0.0007923636614446394	0.0001193046383473062	0.655421579954949
SBS3	0.2959848184287762	0.08630539703897988	0.08589218334282067	0.44062455132270806
SBS4	0.11380990811148817	0.1255731747062725	0.12540615109327646	0.22094645075801111
SBS5	0.4403688254871585	0.05798970063455755	0.057454828225235954	0.5809242561430591
SBS6	0.15855565814050165	0.004141898521030196	0.003934724637741249	0.2567286241954958
SBS7a	0.9623564567392888	0.0010086325734736112	7.336582696260141e-05	0.9239439076981181
SBS7b	0.8509130228552121	0.0018572302456302259	0.0009854289196900012	0.8407752072316115
SBS7c	0.15525446696967005	0.001440767775517604	0.001159748808255312	0.19459811058390086
SBS7d	0.149922999175094	0.0011647854320258055	0.0009631826536393717	0.23132211064146602
SBS8	0.09608352399534503	0.16361301920332427	0.16340663858597526	0.20832734820427712
SBS9	0.1494281557932846	0.054144038185515386	0.0538580295458948	0.2640393732785542
SBS10a	0.021878968754300954	0.015926642156438797	0.015859994783340214	0.06409780818210153
SBS10b	0.3682923322508952	0.006217850572587946	0.00579404864397437	0.40752916634635994
SBS11	0.6566728114842497	0.0007537032922233511	6.23007899772654e-05	0.694072681564514
SBS12	0.0794928781207287	0.0008189441925204877	0.0006856930962821917	0.1756322839743032
SBS13	0.0180084755493487	0.0037268036514062075	0.0036825039236513257	0.06231987657851412
SBS14	0.023957500098228945	0.35048882147934957	0.3503707604672892	0.10111081365789487
SBS15	0.12598003818399506	0.051155300185575014	0.05098770501396688	0.21163970432286583
SBS16	0.08794731824233293	0.02058532722209505	0.020460244018546625	0.16443869269432332
SBS17a	0.028061460242467806	0.0002706543101963499	0.0001895957886952626	0.0725295242837608
SBS17b	0.007531705377955222	0.001007400601636399	0.000910986272920411	0.04860532343050983
SBS18	0.11642814644318766	0.2741577098390193	0.2739702405797617	0.21381964339350557
SBS19	0.5235552229833934	0.0021057793668668445	0.0015153648153218846	0.5630514497310911
SBS20	0.09038032387882766	0.009019666663665937	0.008845829598103538	0.18605338768352286
SBS21	0.04670057862953392	0.027140541938494134	0.027058846560325422	0.11878543391898455
SBS22	0.030113411946998903	0.0023713940672205336	0.002293638768248951	0.075552451329721
SBS23	0.4832783809014587	0.0007014599319099535	0.00015209575497654448	0.5401280138667607
