 	Denovo A	Denovo B	Denovo C
SBS1	0.052763741622738336	0.052762112819422335	0.05278375290668358
SBS2	0.6433732654966173	0.6433734345132489	0.6433722817656952
SBS3	0.26562959781536377	0.2656193449709494	0.26573345501852463
SBS4	0.10803952507121817	0.10803470968166418	0.10810026300765596
SBS5	0.4030393123224323	0.40302974250043544	0.4031328336423593
SBS6	0.13827211223501634	0.13826877601443854	0.1383097273402556
SBS7a	0.9891307501981963	0.9891313548727896	0.9891247140238904
SBS7b	0.8044399220798847	0.8044385968198415	0.8044554428981046
SBS7c	0.1187815401422544	0.11877677591908908	0.11882882269637585
SBS7d	0.11735710933572485	0.11735216327667553	0.11740090050733987
SBS8	0.08125422248202097	0.08124678655671724	0.08133589595518542
SBS9	0.1316805278984431	0.13167148899094483	0.13176449127028023
SBS10a	0.022392656112636744	0.02239151219351665	0.022409286242261572
SBS10b	0.30825565908991726	0.3082537039486253	0.3082781532676161
SBS11	0.6316849032910716	0.631682613038606	0.6317103425112363
SBS12	0.07074448289773272	0.070737225480348	0.07080873375960373
SBS13	0.022543329235601428	0.02254199065594298	0.022557286763793094
SBS14	0.027307031267301052	0.02730498441654916	0.027337144479971043
SBS15	0.11656570429141677	0.11656313283759534	0.1165946660676741
SBS16	0.07875818469168294	0.07875321257345413	0.07880349953785348
SBS17a	0.02137529178948072	0.02137193792517189	0.021408629999820294
SBS17b	0.009758722840197631	0.009756407455194016	0.009780499480968818
SBS18	0.11545603820050532	0.11545240419082481	0.11550284228496654
SBS19	0.4160934005743284	0.41609032919342614	0.4161287431240537
SBS20	0.08701079575742576	0.08700794203360052	0.08704863470340873
SBS21	0.03976638950972311	0.03976132835868995	0.03980968031761578
SBS22	0.026269662693911067	0.026263911231947046	0.026325771148674848
SBS23	0.39592467042005985	0.3959213197324265	0.3959623307433834
SBS24	0.10291666277131495	0.10291215465809878	0.10296924076200631
SBS25	0.19674073395149572	0.196731000795904	0.19683635518609466
SBS26	0.057870093423761815	0.057863036780212984	0.05793280026069658
SBS27	0.07494072241448912	0.07493685026954156	0.07497835310825463
SBS28	0.02633967312287755	0.026336863029584046	0.026365299818779997
SBS29	0.05358090815556904	0.053577328037750616	0.05362805734302056
SBS30	0.7562385980629536	0.7562363864235078	0.7562632139229368
SBS31	0.39169389685006073	0.3916893922171074	0.39174349809592135
SBS32	0.3567164080097962	0.3567119314419118	0.35676513558634704
SBS33	0.04762807903841937	0.04762421994585442	0.047663949992653665
SBS34	0.03436598555805104	0.03436209108227328	0.03440246186583118
SBS35	0.21195737325796882	0.21195231780900314	0.2120162908096328
SBS36	0.0708391917871346	0.0708365407510625	0.07087473651146126
SBS37	0.08340107739393643	0.08339244893113928	0.08347762517433555
SBS38	0.043736215037782133	0.04373536048980886	0.043754865048350244
SBS39	0.10910395515611027	0.10909574832079183	0.10918454433434666
SBS40	0.4352693633950885	0.43526019699139895	0.43536296960830145
SBS41	0.13508190603963877	0.13507454138511055	0.13515150280424293
SBS42	0.28195493252122994	0.28194949755659926	0.282013841543016
SBS43	0.014841218484968444	0.014835416287263037	0.014886481934721751
SBS44	0.07578816384855158	0.07578258846854868	0.07584785898929824
SBS45	0.02601405026764636	0.026012849044366737	0.026038782152943862
SBS46	0.17518294397429668	0.17517585340397912	0.17524876668937683
SBS47	0.23104215767865477	0.23103721357386775	0.2310889877334964
SBS48	0.0023367986745040925	0.0023358504281731918	0.0023539605141216224
SBS49	0.007542787279092966	0.007542381686171606	0.007556940942994639
SBS50	0.47490551890298893	0.4749023462584627	0.47493851080467997
SBS51	0.09823443437334856	0.09822811609977611	0.09829396070056129
SBS52	0.017139314715026943	0.017137296988555373	0.017163747129101847
SBS53	0.06079722597373827	0.06079519885362139	0.06082377146257634
SBS54	0.020867929275628527	0.020863187388617477	0.020912000131522834
SBS55	0.05394278323367663	0.053937872433579725	0.05397952626892577
SBS56	0.013626817302222038	0.01362483207970322	0.013652248577065706
SBS57	0.18401301052724317	0.1840078907005802	0.18406460699604454
SBS58	0.3151275751173449	0.31512272383622064	0.3151765883425277
SBS59	0.008164962433262257	0.008163721713658423	0.008180368752987444
SBS60	0.013337619741133233	0.01333438504470208	0.013358699799935314
SBS84	0.21310586932437348	0.2131012506298433	0.21315457642649294
SBS85	0.11684808563949023	0.11684062642154203	0.11691595238495844
