 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.0050824709948456	0.0006047934967824409	0.001070683672956152	0.0006013522117338521
SBS2	0.05596799247822193	0.00021476239401618802	0.00557310160703417	0.0002758628814550912
SBS3	0.18464091627612855	0.04234138985393976	0.0492107317278897	0.041538488649085936
SBS4	0.1541682520860247	0.11315495429078748	0.1540705230839715	0.10851179099277808
SBS5	0.1532645196482657	0.03760459062929378	0.0447970565998137	0.03565177041494361
SBS6	0.014838092285759052	0.0016946612421842033	0.011498084456040836	0.0007766724383315715
SBS7a	0.08115378168983323	0.00026908362946309605	0.008213091246966897	0.0003896002586531999
SBS7b	0.08005232670038687	0.001922966726830122	0.007660483062827184	0.0020861084207048908
SBS7c	0.0420173547141548	0.004374054943798167	0.00818872045024821	0.006111930251223585
SBS7d	0.021462977276487716	0.0021874165464013107	0.0022933594395420087	0.0023421189577561563
SBS8	0.08751392741068342	0.03891145148184194	0.04869934554982169	0.03923651820286056
SBS9	0.1541021009240744	0.021211108706130744	0.016084087276056924	0.024578256300275325
SBS10a	0.004734770420119605	0.0013897871913305382	0.0014682544499079464	0.0010992221592058815
SBS10b	0.03739283156136508	0.001584820560599165	0.004055892337293865	0.0016664191307810272
SBS11	0.05678359251732834	0.0005340849814587934	0.005894969398794192	0.0004428260842922471
SBS12	0.06663528082817882	0.009422592994701495	0.008064048548188651	0.0065414589937390355
SBS13	0.030899856236160317	0.017644123554183766	0.052452300085283676	0.00990501648551878
SBS14	0.012174168520555417	0.002817163518887389	0.032437764152944415	0.0022204372906198255
SBS15	0.01598777447947075	0.0014958821202701866	0.007766167980436944	0.0007356590009631736
SBS16	0.03695389491107082	0.009278783961056969	0.009219638861712509	0.008782685795846512
SBS17a	0.009418749902822765	0.0015815945632261519	0.0011240926481494995	0.0014794941067622913
SBS17b	0.030700087182452873	0.0028873536566217384	0.00010802678798971233	0.0038985409525578163
SBS18	0.07160902430542926	0.04751290291341903	0.07238936197647072	0.035461443554895444
SBS19	0.054989009538481626	0.002710419912878681	0.006933884697547521	0.0024461462555194213
SBS20	0.019269474104557816	0.0025523595626656403	0.040061790576261136	0.0015233575537173527
SBS21	0.08559748439508741	0.008605260932097902	0.009573352980111083	0.0032206359003275065
SBS22	0.12466832771338243	0.0214194617930501	0.0021211080754648393	0.02139172124020039
SBS23	0.04415868413284563	0.0006114167485414823	0.0055064976257629406	0.0002133808665575332
SBS24	0.11281758162947353	0.09532449966363798	0.10149265320352441	0.08952249310787719
SBS25	0.1536882026802454	0.029396221261179134	0.02589285840198663	0.030054094408669463
SBS26	0.0749709115095778	0.008744125328496555	0.004745168217351603	0.0059313161175170714
SBS27	0.05804007443822734	0.010710824174242961	0.004076132214454686	0.009992069954827043
SBS28	0.07501732426299013	0.0052658109061860525	0.0005427102413437801	0.007808852843179004
SBS29	0.11082317802957997	0.11964662064706044	0.10021625871307371	0.10963395761550909
SBS30	0.07241618672716366	0.001484307817298136	0.010188817253048654	0.000990296628492815
SBS31	0.08585225208928837	0.013544136985534583	0.01135766850806974	0.013478014094410296
SBS32	0.05830530984912663	0.02187087740128635	0.009047940626660034	0.021335669484171538
SBS33	0.035100274096543815	0.008236964957956339	0.005111077924057739	0.005073937322760402
SBS34	0.01595666339399837	0.0012745763056634107	0.0017282044146965658	0.001479774238585807
SBS35	0.10285086883146366	0.017763272053840096	0.03916340646196126	0.02002539351951982
SBS36	0.045922349856768796	0.037672817270220205	0.03964071738752184	0.02635480169281601
SBS37	0.1319526126198367	0.02418796991089245	0.009967044664294988	0.029236748337153284
SBS38	0.031290658996688925	0.008323374440555531	0.12554096621870048	0.007511772297635666
SBS39	0.22250100211786483	0.07163724404836902	0.07171532682587312	0.07097061823061468
SBS40	0.17602349934248995	0.050246333774660035	0.04672877018796917	0.048982853059027054
SBS41	0.08606096841678701	0.008600020473431225	0.01278160558382957	0.009986195075191606
SBS42	0.05676227418115376	0.007633414203632616	0.022856602447796526	0.00592807771661763
SBS43	0.15446856957019417	0.03054321409965688	0.0016492473578115785	0.056809965156751296
SBS44	0.030647617210818323	0.004128482947660661	0.03190663447102626	0.0015830666590451736
SBS45	0.0597984338434312	0.035101692514859506	0.1933235225101413	0.02377854734985485
SBS46	0.067674248821048	0.013867476102374487	0.028576050562043154	0.009783874376991464
SBS47	0.06678384094740297	0.012258471234357415	0.009320319355322404	0.018412812809942336
SBS48	0.5376156872729457	0.5857389505405868	0.18589354051430784	0.3604722403516414
SBS49	0.16778952760326415	0.05296943821511846	0.9003471264120163	0.03776447560383056
SBS50	0.08336056908440426	0.025596433791394757	0.0326028351705161	0.03168096260583275
SBS51	0.07452228549555673	0.03411190766616501	0.02193338714958626	0.034165267837258595
SBS52	0.1579572582130946	0.17183721763250448	0.029579815852383784	0.10970892007061905
SBS53	0.10900686363729784	0.08867909208434033	0.18926332722021777	0.10069206835399946
SBS54	0.05611846775201412	0.014304930923472958	0.020968653829097406	0.012698048983400323
SBS55	0.09612886373854068	0.011972830071956153	0.004462440556621816	0.016403648520519898
