 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.02635426473231628	0.10846246648784807	0.051330535050738035	0.05429310929655462
SBS2	0.010066400590600266	0.004087040100078654	0.6354535800154956	0.6658721341023132
SBS3	0.3010331396594119	0.4127349618894689	0.26560868316586894	0.2596555678123733
SBS4	0.19444280624049504	0.28739296248076585	0.10887640149772693	0.10219089278566496
SBS5	0.23741869501257806	0.30899864996898696	0.40269015395911123	0.3991906805359906
SBS6	0.05013075055262817	0.15511752668247514	0.13725602822817384	0.13812705550369864
SBS7a	0.014271419680369157	0.0042548181300434695	0.988202075337806	0.987954451141953
SBS7b	0.024496822013670316	0.011083864254079256	0.8001286136368871	0.8142503962301573
SBS7c	0.07374232172090334	0.039434493759451184	0.12313362495654345	0.10572981734990006
SBS7d	0.038544054830092156	0.029379168856707216	0.12112330425756923	0.10669659158926315
SBS8	0.16584831290563873	0.2580907865069244	0.08320691479233522	0.07228705444515293
SBS9	0.27148608067274016	0.23236276462327865	0.1348323854289264	0.11916138442455626
SBS10a	0.012237226372111332	0.02317540400689333	0.023406198768670783	0.019017758641990623
SBS10b	0.029009471390585295	0.023407665212460516	0.30836138064034513	0.3080644066155792
SBS11	0.01904161400338611	0.016929558954382307	0.6338588840578722	0.6235181458734274
SBS12	0.14910707371344256	0.19554041211829998	0.07379628607349564	0.059509743121431646
SBS13	0.0622730550074323	0.1641467102692027	0.022468405773871214	0.018943988139116463
SBS14	0.05723200242362225	0.1320325569907208	0.028912820621166957	0.02044005985043318
SBS15	0.0532772988092044	0.18634435422563966	0.11655177222731505	0.11314305882966791
SBS16	0.0831918006023874	0.10002587281607733	0.08022236853502251	0.07295158462383144
SBS17a	0.03843331828236207	0.04361957998983623	0.022830137665278416	0.016664991392932316
SBS17b	0.0612234521695203	0.03657568441853709	0.011689635464360748	0.003493696555387449
SBS18	0.10324186487160703	0.1616985334583727	0.1165032526117944	0.10984103016876667
SBS19	0.034327820085318095	0.03952508169499325	0.40563998035527504	0.4461393785588492
SBS20	0.061707603294187896	0.12313262200891306	0.089093474742033	0.07866499671760996
SBS21	0.14724388319837856	0.2403513177858686	0.04130715978368127	0.03263269565748961
SBS22	0.2046320282714107	0.13266985080999338	0.02681753580524282	0.02246553993957401
SBS23	0.022964221578121724	0.029612185018977	0.38717638262979104	0.4207247416101758
SBS24	0.1475442033417551	0.3043054584148973	0.10421339330969515	0.0957607637475979
SBS25	0.2456523521436913	0.3028188460032375	0.19725444782856227	0.19072565210356718
SBS26	0.16968889699391276	0.21618413858980778	0.06020030600318471	0.048238788329398985
SBS27	0.11807618316535984	0.09229661040705217	0.0744892179198896	0.07478748084749998
SBS28	0.1190054005084169	0.04208824715492698	0.02881804136720323	0.018181798411305183
SBS29	0.15208851801787193	0.2740878212345099	0.05399691460518696	0.04918540801828142
SBS30	0.03993009210703624	0.04967154044095912	0.7505219268020091	0.7697486630171104
SBS31	0.08965632842232574	0.1130537422257949	0.3793234233022914	0.4258161491202994
SBS32	0.06494734255732082	0.10368668751969201	0.3577847373042953	0.3520782193160066
SBS33	0.11526904035166696	0.08720110713251761	0.048223285736473165	0.04432349632767074
SBS34	0.054305793940436775	0.05237354068707367	0.03733579059849135	0.025104277800859554
SBS35	0.1501358741917913	0.23623199186544142	0.206642724183157	0.2237803175979871
SBS36	0.06835722674501954	0.10852871689329469	0.07187354874597962	0.06610556154351788
SBS37	0.23823286072649918	0.24700873609703122	0.08660526829428417	0.07098737582488635
SBS38	0.04008959918601196	0.08631020109655752	0.04679705760007091	0.03362577972030789
SBS39	0.3333786295018708	0.5159934484099233	0.10926994179581961	0.10188796867328442
SBS40	0.2602099240916106	0.3213077928785013	0.4348766833127685	0.4311682796668215
SBS41	0.1762206437502135	0.1521345442137717	0.13981863332530353	0.11867050391400036
SBS42	0.0779973730322796	0.1207354019462763	0.28269426541934495	0.2778267644194359
SBS43	0.18356483471362006	0.19913430884738736	0.01597975357523629	0.00968486094541654
SBS44	0.1084745885779459	0.19960933011060722	0.07918525892761241	0.06269850247342035
SBS45	0.06582815796798247	0.12002641118428414	0.028921713158396534	0.016017420279050176
SBS46	0.14498566320943906	0.19455125703310838	0.1753259615659002	0.17196189901361214
SBS47	0.09512078168066074	0.1101319359560664	0.23495419788466276	0.21806114876535432
SBS48	0.503191080043433	0.3027912730020178	0.0020157328718501955	0.002391797642081084
SBS49	0.11661114185123733	0.23863527954354957	0.00834163122031173	0.0033908727067013533
SBS50	0.10212568301720415	0.22384643905439638	0.4790972101541564	0.45840912389173005
SBS51	0.12034852719380251	0.1439345589799651	0.09958428208798031	0.09269536456409966
SBS52	0.15922588142734762	0.11522494457794441	0.017835619475143782	0.014330164881266039
SBS53	0.10954058275672462	0.21497606360510058	0.06270448310147336	0.05384296058076332
SBS54	0.1291486360920493	0.1450013139960158	0.021292778376945543	0.017427611455421155
SBS55	0.1188984078567028	0.0712883990484876	0.05544119718215157	0.04831626356330532
SBS56	0.03451736330813904	0.04679582235465363	0.014884548478492854	0.009123113936475025
SBS57	0.12217585020556321	0.09878436245670974	0.1866125190054151	0.17484152623627203
SBS58	0.0962487697714347	0.11915315272381477	0.3171736838029622	0.3080693428148241
SBS59	0.04357451132297607	0.10565755250219366	0.008337009383590055	0.006023433135770251
SBS60	0.05119113339610404	0.04177238757583501	0.014671382057908966	0.009050167805630172
SBS84	0.09561351036948085	0.16847529634727387	0.21350201012900294	0.20989639392281179
SBS85	0.13076854540850602	0.1342165058070064	0.12170696785589563	0.10156024911696804
