	Signatures
SBS1	0.023023200632847053
SBS2	0.00658298300898378
SBS3	0.0
SBS4	0.0
SBS5	0.0006495839733643877
SBS6	0.0031864280928477844
SBS7a	0.39551240076972793
SBS7b	0.3718563190334858
SBS7c	0.00473991678094208
SBS7d	0.009342671597540259
SBS8	0.0
SBS9	0.0002727817829799048
SBS10a	0.0
SBS10b	0.05989297695340136
SBS11	0.02130006253943056
SBS12	0.0
SBS13	0.002164316722589916
SBS14	0.0
SBS15	0.0
SBS16	0.0006455241186020184
SBS17a	0.0016841072461921851
SBS17b	0.0025943633625163235
SBS18	0.00029991113830288323
SBS19	0.0026864422461780847
SBS20	0.000295547616583543
SBS21	0.001729946225345832
SBS22	0.0017847371494455152
SBS23	0.01736788091176564
SBS24	0.00024712190697699166
SBS25	0.0035735185340764987
SBS26	0.0
SBS27	0.001036156727431698
SBS28	0.0007725519016631357
SBS29	0.0
SBS30	0.01010390659929991
SBS31	0.0045931649446960526
SBS32	0.0
SBS33	0.0021069286066471033
SBS34	0.00030949207899903667
SBS35	0.004248959230129571
SBS36	0.0
SBS37	0.0031108056089737385
SBS38	0.004292561073523228
SBS39	0.004135954019383549
SBS40	0.0
SBS41	0.0
SBS42	0.0011534945495332099
SBS43	0.000794434347192393
SBS44	0.0
SBS45	0.0014107250371705616
SBS46	0.004349167396767486
SBS47	0.0
SBS48	0.00015388876944630965
SBS49	0.0024802682164343608
SBS50	0.0023619627193731283
SBS51	0.0007631759206454282
SBS52	0.0005831712102190077
SBS53	0.009827576352874212
SBS54	0.004507688667181352
SBS55	0.0024335275529690915
SBS56	0.0
SBS57	0.0
SBS58	0.0
SBS59	0.0002120436580072873
SBS60	0.0
SBS84	0.0024985181082456654
SBS85	0.0003271343590671721
