	Signatures
SBS1	0.004038990947159197
SBS2	0.03509289695455453
SBS3	0.03487329314165938
SBS4	0.01461014873629015
SBS5	0.14163164686652477
SBS6	0.0031119733024790584
SBS7a	0.4960513852276552
SBS7b	0.1765749364774911
SBS7c	0.02158096399767614
SBS7d	0.023088453718869802
SBS8	0.0070418143215415915
SBS9	0.021493611437409032
SBS10a	0.0
SBS10b	0.004209561856272719
SBS11	0.0019413014863295984
SBS12	0.0007244011243814374
SBS13	0.007384036947089035
SBS14	0.0002922862908744223
SBS15	0.005819068684387356
SBS16	0.0004392284813553988
