 	Denovo A	Denovo B	Denovo C	Denovo D
SBS1	0.17537366918692332	0.06958103633652213	0.36830301604394045	0.07851952985889943
SBS2	0.30146259900482186	0.09224626625031673	0.16953286188388828	0.099072739547994
SBS3	0.6796323742497056	0.5943904868726011	0.6246501657018707	0.6326702121367477
SBS4	0.4050082419615756	0.3734544764705314	0.26211786788281133	0.38580753317726746
SBS5	0.7224101174296084	0.4806596149272191	0.6724095605321118	0.5414092288151435
SBS6	0.3132357073999109	0.14541527534611087	0.5086476226357157	0.23127644408369108
SBS7a	0.40096201652897756	0.09222893432140622	0.3582089980827081	0.1572390140140144
SBS7b	0.46485421997722187	0.10534369320087089	0.44373258123592696	0.18978275681715895
SBS7c	0.33774394596847435	0.18427018633874948	0.20062263662406699	0.20908631877634132
SBS7d	0.3694946703995915	0.11040755212110553	0.20411291545045984	0.15797499067145548
SBS8	0.42910301878424484	0.42512679640026074	0.32914243549813316	0.455062120972043
SBS9	0.56185536137514	0.40969418470349805	0.44089347650591015	0.47879898242694097
SBS10a	0.09442074440976989	0.04683388088524931	0.08017348505671762	0.04646391603776545
SBS10b	0.19243163225271798	0.060604748728473656	0.213884345255685	0.18240665697775715
SBS11	0.42109269287642004	0.09777793872778306	0.355489747918607	0.2208791579948679
SBS12	0.43797079294685615	0.28714721331453097	0.3308309390152453	0.2816631689776411
SBS13	0.11218022083691992	0.14412490747724127	0.2522044007601534	0.17102131598144932
SBS14	0.26194277237738894	0.1742147724745705	0.16821280791538973	0.21827772061439965
SBS15	0.288317403658912	0.14581777634984228	0.4514137312215746	0.22277757721463698
SBS16	0.34614060459489826	0.20198684022239277	0.25233269909670986	0.2085235485820528
