#k	Lambda	logpmf
2	0	9190.593222758114
2	0.01	9182.866384352508
2	0.05	9159.877135010376
2	0.1	9159.721756056368
2	0.2	9225.029885582782
3	0	25127.397663703687
3	0.01	32496.900848298228
3	0.05	32496.900848298228
3	0.1	25129.36640136909
3	0.2	32496.900848298228
4	0	7398.136599989377
4	0.01	7399.779376090906
4	0.05	7397.911137866562
4	0.1	7402.314073696801
4	0.2	7413.53992390694
5	0	24608.104503170685
5	0.01	24786.315515571234
5	0.05	24872.268125948754
5	0.1	24613.861026651153
5	0.2	24614.105788008936
